name,code,close,rate,premium,tag,mtexp,fundfirm,listdate,index,avgamount,m1,y0,y1,y3,y5,scale
黄金ETF,518880,4.48,10045,10000,商品，黄金,0.60%,华安基金,2013-07-29,黄金9999指数,59616.25,9850,11239,11749,11299,16428,104.07
纳指ETF,513100,1.119,10072,10000,跨境，美国,0.80%,国泰基金,2013-05-15,纳斯达克100指数,36308.95,9799,14005,13798,12211,21864,85.5
豆粕ETF,159985,2.22,9982,9978,商品，农产品,0.60%,华夏基金,2019-12-05,大商所豆粕期货价格指数,9961.7,9569,11045,12299,19406,10000,5.06
创新药ETF,159992,0.86,9954,9992,行业，医药,0.55%,银华基金,2020-04-10,CS创新药指数,38950.93,10591,9178,9328,6143,10000,77.31
医疗ETF,512170,0.415,9952,9998,行业，医药,0.60%,华宝基金,2019-06-17,中证医疗指数,54416.37,10197,8169,8137,5531,10000,226.83
煤炭ETF,515220,2.276,10035,10002,行业，煤炭，资源,0.60%,国泰基金,2020-03-02,中证煤炭指数,11087.63,9857,10690,9128,20183,10000,38.25
通信ETF,515880,1.092,10009,10006,行业，TMT，通信,0.60%,国泰基金,2019-09-06,通信设备指数,13250.67,10263,13269,12862,9487,10000,32.82
科创50ETF,588000,0.924,10087,9993,宽基，中小盘，科创板,0.60%,华夏基金,2020-11-16,科创50指数,250337.61,9946,9212,9259,10000,10000,671.92
半导体ETF,512480,0.824,10110,10008,行业，半导体，芯片,0.60%,国联安基金,2019-06-12,半导体指数,103024.56,9940,10000,10391,7984,10000,247.29
沪深300ETF,510300,3.705,10032,9989,宽基，大盘股,0.60%,华泰柏瑞基金,2012-05-28,沪深300指数,372129.57,9783,9556,9642,7979,12664,718.71
酒ETF,512690,0.74,9987,9996,行业，食品饮料，酒,0.60%,鹏华基金,2019-05-06,中证酒指数,45460.97,9215,8706,9451,10443,10000,126.68
医药ETF,512010,0.427,9977,10002,行业，医药,0.60%,易方达基金,2013-10-28,300医药指数,61709.06,10240,8933,8859,5990,11193,185.87
恒生科技指数ETF,513180,0.53,10076,10000,跨境，香港，科技,0.65%,华夏基金,2021-05-25,恒生科技指数,170650.51,9431,9654,11857,10000,10000,185.95
中概互联网ETF,513050,1.005,10030,10000,跨境，中概股,0.85%,易方达基金,2017-01-18,中国互联网50指数,57140.62,9720,9654,10669,4836,8762,345.76
光伏ETF,515790,0.968,10010,9990,主题，光伏，新兴产业,0.60%,华泰柏瑞基金,2020-12-18,光伏产业指数,36327.6,9768,7045,6119,10000,10000,164.95
军工ETF,512660,0.977,10041,10004,行业，军工,0.60%,国泰基金,2016-08-08,中证军工指数,25868.23,9485,9080,8692,8700,15707,103.31
标普500ETF,513500,1.507,10074,10000,跨境，美国,0.85%,博时基金,2014-01-15,标准普尔500指数,12359.51,9735,12008,12153,13638,17067,71.88
上证50ETF,510050,2.553,10039,9993,宽基，大盘股,0.60%,华夏基金,2005-02-23,上证50指数,145345.64,9834,9638,9864,7753,11182,576.21
恒生医疗ETF,513060,0.478,10042,10000,跨境，香港，医药，医疗保健,0.65%,博时基金,2021-03-29,恒生医疗保健指数,118941.03,10021,7980,10149,10000,10000,98.11
芯片ETF,159995,0.958,10095,9992,行业，半导体，芯片,0.60%,华夏基金,2020-02-10,国证芯片指数,43158.67,9948,9580,9716,8153,10000,249.82
日经ETF,513520,1.192,10127,10000,跨境，日本,0.25%,华夏基金,2019-06-25,日经225指数,3618.24,9536,11618,12053,10827,10000,4.36
纳指ETF,159941,0.845,10072,10000,跨境，美国,1.05%,广发基金,2015-07-13,纳斯达克100指数,40171.1,9803,14083,13807,12858,21046,170.26
能源化工ETF,159981,1.587,9888,10000,商品，化工,0.60%,建信基金,2020-01-17,易盛能化A,3339.81,9248,10496,10393,18034,10000,4.28
消费ETF,159928,0.88,10057,10004,行业，消费，必选消费,0.60%,汇添富基金,2013-09-16,中证消费指数,12860.52,9473,8429,8611,7719,18182,108.93
芯片ETF,512760,0.924,10076,9991,行业，半导体，芯片,0.60%,国泰基金,2019-06-12,中华半导体人民币指数,29834.44,9925,9893,10210,7986,10000,195.06
新能源ETF,516160,0.699,10087,10012,主题，新能源，新兴产业,0.20%,南方基金,2021-02-04,中证新能指数,21171.51,9708,7082,6175,10000,10000,64.43
游戏ETF,159869,1.028,10010,10018,主题，游戏,0.60%,华夏基金,2021-03-05,动漫游戏指数,21064.84,9809,13473,14791,10000,10000,80.38
房地产ETF,512200,0.581,9915,10000,行业，金融，房地产,0.60%,南方基金,2017-09-25,房地产指数,14341.09,9135,8069,8115,6254,9078,44.15
旅游ETF,159766,0.75,10027,10009,主题，旅游,0.60%,富国基金,2021-07-23,中证旅游指数,14742.92,8844,6643,7979,10000,10000,29.51
工业母机ETF,159667,0.937,9979,10028,行业，机床,0.60%,国泰基金,2022-10-26,中证机床指数,3932.59,9989,10331,10000,10000,10000,5.75
钢铁ETF,515210,1.274,10063,10011,行业，钢铁,0.60%,国泰基金,2020-03-02,中证钢铁指数,5614.54,9688,9938,9750,11310,10000,15.49
