,nlmy,jchg,gt,ysjs,dz,jydq,spyl,fzfs,qgzz,yysw,gysy,jtys,fdc,smls,shfw,zh,jzcl,jzzs,dlsb,gfjg,jsj,cm,tx,yx,fyjr,qc,jxsb,ms,sysh,hb,mrhl
name,农林牧渔,基础化工,钢铁,有色金属,电子,家用电器,食品饮料,纺织服饰,轻工制造,医药生物,公用事业,交通运输,房地产,商贸零售,社会服务,综合,建筑材料,建筑装饰,电力设备,国防军工,计算机,传媒,通信,银行,非银金融,汽车,机械设备,煤炭,石油石化,环保,美容护理
code,801010,801030,801040,801050,801080,801110,801120,801130,801140,801150,801160,801170,801180,801200,801210,801230,801710,801720,801730,801740,801750,801760,801770,801780,801790,801880,801890,801950,801960,801970,801980
open,2992.42,3751.55,2226.90,4571.15,3880.70,7388.15,21333.28,1629.19,2299.85,8540.21,2366.38,2229.06,2586.05,2232.18,10158.06,2750.27,5465.40,2216.50,9068.43,1584.12,4913.83,739.79,2758.32,3116.10,1513.78,5763.09,1582.11,2582.29,2286.90,1795.40,6245.87
close,2991.55,3744.83,2226.12,4524.53,3951.20,7363.13,21419.71,1633.47,2302.51,8576.13,2349.34,2230.13,2556.65,2234.39,10186.25,2757.04,5439.54,2210.71,9048.99,1590.03,4993.68,744.31,2776.29,3092.83,1513.95,5898.17,1594.49,2585.10,2293.57,1791.18,6261.96
low,2964.46,3733.21,2217.29,4506.95,3874.01,7315.27,21188.13,1621.81,2292.62,8477.28,2340.23,2220.61,2541.33,2223.73,10119.37,2743.56,5421.12,2199.80,9010.83,1580.35,4900.21,735.95,2758.32,3084.71,1505.93,5744.11,1578.88,2572.11,2282.12,1786.57,6213.93
high,3003.72,3752.52,2234.10,4580.72,3980.00,7404.13,21433.13,1633.68,2303.93,8618.65,2366.38,2239.59,2586.07,2240.93,10217.02,2760.57,5465.40,2226.59,9098.29,1595.47,5002.14,744.31,2797.08,3116.10,1519.89,5917.05,1600.47,2597.39,2305.94,1798.28,6273.70
amount,8159.95,28116.64,4000.49,33031.68,89453.26,15118.49,22956.09,4793.19,13015.40,47931.67,19398.61,13826.70,11494.01,9665.19,8840.53,1143.64,6865.72,16676.61,69298.36,34889.44,92269.53,47648.96,49601.31,10603.28,18459.15,84667.93,66197.42,6341.26,6024.71,5228.78,2628.31
number,910.64,2455.09,944.35,2989.54,5150.14,1260.21,824.72,652.34,1193.01,2564.09,2680.44,1814.22,3003.68,975.81,796.11,189.85,728.01,2125.66,3655.81,1765.66,5030.65,4063.75,2185.99,1933.13,1861.21,6015.68,5312.93,812.94,852.74,610.55,161.10
