fund_id,fund_nm,index_id,fee,m_fee,t_fee,creation_unit,issuer_nm,urls,eval_flg,ex_dt,ex_info,amount,amount_notes,unit_total,unit_incr,price,volume,last_dt,last_time,increase_rt,estimate_value,last_est_time,discount_rt,fund_nav,nav_dt,index_nm,index_increase_rt,idx_price_dt,owned,holded,pe,pb
159601,A50,-,0.60,0.50,0.10,260.0,华夏基金,https://www.chinaamc.com/fund/159601/index.shtml,Y,,,480199,,37.31,0.20,0.777,6350.92,2023-07-20,15:14:27,-0.26,0.7770,23:50:00,0.00,0.7770,2023-07-20,中国A50互联互通,-0.28,2023-07-20,0,0,-,-
159602,中国A50,-,0.60,0.50,0.10,200.0,南方基金,http://www.nffund.com/main/jjcp/fundproduct/159602.shtml,Y,,,197254,,15.31,-0.06,0.776,1249.73,2023-07-20,15:15:00,-0.13,0.7754,23:50:00,0.08,0.7754,2023-07-20,中国A50互联互通,-0.28,2023-07-20,0,0,-,-
159603,双创天弘,-,0.60,0.50,0.10,100.0,天弘基金,http://www.thfund.com.cn/fundinfo/159603,Y,,,228207,,19.47,0.03,0.853,326.66,2023-07-20,15:14:03,-1.04,0.8525,23:50:00,0.04,0.8527,2023-07-20,科创创业50,-1.04,2023-07-20,0,0,-,-
159606,500成长,-,0.60,0.50,0.10,100.0,易方达,https://www.efunds.com.cn/fund/159606.shtml,Y,,,63622,,5.13,-0.05,0.806,617.32,2023-07-20,15:14:30,-0.62,0.8062,23:50:00,-0.04,0.8063,2023-07-20,500质量,-0.70,2023-07-20,0,0,-,-
159608,稀有金属,-,0.60,0.50,0.10,80.0,广发基金,http://www.gffunds.com.cn/funds/?fundcode=159608&fromSearch=1,Y,,,33681,,2.28,0.00,0.678,1757.95,2023-07-20,15:14:33,0.89,0.6770,23:50:00,0.16,0.6769,2023-07-20,CS稀金属,0.76,2023-07-20,0,0,-,-
159609,光伏龙头,-,0.60,0.50,0.10,0.0,浦银安盛,https://www.py-axa.com/productDetails?fundCode=159609,Y,,,38890,,2.66,0.03,0.683,1570.04,2023-07-20,15:14:12,-0.58,0.6829,23:50:00,0.00,0.6830,2023-07-20,光伏产业,-0.66,2023-07-20,0,0,-,-
159610,500增强,000905,0.60,0.50,0.10,100.0,景顺长城,http://www.igwfmc.com/main/jjcp/product/159610/detail.html,Y,,,59957,,4.90,-0.02,0.818,1388.94,2023-07-20,15:14:36,-1.09,0.8190,23:50:00,-0.02,0.8182,2023-07-20,中证500,-1.13,2023-07-20,0,0,-,-
159611,电力ETF,-,0.60,0.50,0.10,80.0,广发基金,http://www.gffunds.com.cn/funds/?fundcode=159611&fromSearch=1,Y,,,338236,,31.12,-0.10,0.920,10711.45,2023-07-20,15:14:09,-1.08,0.9211,23:50:00,-0.13,0.9212,2023-07-20,电力指数,-1.03,2023-07-20,0,0,-,-
159613,嘉实信安,399994,0.60,0.50,0.10,100.0,嘉实基金,https://www.jsfund.cn/main/fund/159613/fundManager.shtml,Y,,,10659,,0.94,0.02,0.885,1085.46,2023-07-20,15:14:33,-2.85,0.8856,23:50:00,-0.10,0.8859,2023-07-20,信息安全,-2.67,2023-07-20,0,0,-,-
159616,农牧ETF,-,0.60,0.50,0.10,100.0,建信基金,https://www.ccbfund.cn/fund_info/info.jspx?fundCode=159616,Y,,,12556,,1.01,-0.01,0.802,910.13,2023-07-20,15:14:36,0.63,0.8032,23:50:00,-0.11,0.8029,2023-07-20,农牧主题,0.47,2023-07-20,0,0,-,-
159617,500价值,-,0.60,0.50,0.10,100.0,华夏基金,http://www.chinaamc.com/fund/159617/index.shtml,Y,,,4542,,0.49,-0.01,1.072,157.89,2023-07-20,15:14:15,-0.65,1.0721,23:50:00,-0.09,1.0730,2023-07-20,500价值稳健,-0.81,2023-07-20,0,0,-,-
159618,光伏华安,-,0.60,0.50,0.10,100.0,华安基金,https://www.huaan.com.cn/funds/159618/index.shtml,Y,,,23513,,2.21,0.01,0.942,1015.01,2023-07-20,15:14:39,-0.74,0.9415,23:50:00,0.04,0.9416,2023-07-20,光伏产业,-0.66,2023-07-20,0,0,-,-
