fund_id,fund_nm,index_id,fee,m_fee,t_fee,creation_unit,issuer_nm,urls,eval_flg,ex_dt,ex_info,amount,amount_notes,unit_total,unit_incr,price,volume,last_dt,last_time,increase_rt,estimate_value,last_est_time,discount_rt,fund_nav,nav_dt,index_nm,index_increase_rt,idx_price_dt,owned,holded,pe,pb
159601,A50,-,0.60,0.50,0.10,260.0,华夏基金,https://www.chinaamc.com/fund/159601/index.shtml,Y,,,477599,,37.20,-0.02,0.779,5750.63,2023-07-19,15:14:30,0.00,0.7793,23:35:01,-0.03,0.7792,2023-07-19,中国A50互联互通,-0.07,2023-07-19,0,0,-,-
159602,中国A50,-,0.60,0.50,0.10,200.0,南方基金,http://www.nffund.com/main/jjcp/fundproduct/159602.shtml,Y,,,198054,,15.39,-0.12,0.777,2183.95,2023-07-19,15:14:33,-0.13,0.7776,23:35:01,-0.08,0.7776,2023-07-19,中国A50互联互通,-0.07,2023-07-19,0,0,-,-
159603,双创天弘,-,0.60,0.50,0.10,100.0,天弘基金,http://www.thfund.com.cn/fundinfo/159603,Y,,,227807,,19.64,0.03,0.862,398.73,2023-07-19,15:14:51,-0.92,0.8616,23:35:01,0.06,0.8615,2023-07-19,科创创业50,-0.93,2023-07-19,0,0,-,-
159606,500成长,-,0.60,0.50,0.10,100.0,易方达,https://www.efunds.com.cn/fund/159606.shtml,Y,,,64222,,5.21,-0.01,0.811,1080.78,2023-07-19,15:14:54,-0.25,0.8120,23:35:01,-0.11,0.8119,2023-07-19,500质量,-0.16,2023-07-19,0,0,-,-
159608,稀有金属,-,0.60,0.50,0.10,80.0,广发基金,http://www.gffunds.com.cn/funds/?fundcode=159608&fromSearch=1,Y,,,33681,,2.26,0.02,0.672,964.31,2023-07-19,15:14:57,-0.30,0.6719,23:35:01,0.01,0.6719,2023-07-19,CS稀金属,-0.34,2023-07-19,0,0,-,-
159609,光伏龙头,-,0.60,0.50,0.10,0.0,浦银安盛,https://www.py-axa.com/productDetails?fundCode=159609,Y,,,38490,,2.64,0.05,0.687,1425.80,2023-07-19,15:15:00,-1.43,0.6872,23:35:01,-0.06,0.6874,2023-07-19,光伏产业,-1.40,2023-07-19,0,0,-,-
159610,500增强,000905,0.60,0.50,0.10,100.0,景顺长城,http://www.igwfmc.com/main/jjcp/product/159610/detail.html,Y,,,60157,,4.97,-0.01,0.827,1608.89,2023-07-19,15:14:03,-0.12,0.8271,23:35:01,-0.17,0.8284,2023-07-19,中证500,-0.14,2023-07-19,0,0,-,-
159611,电力ETF,-,0.60,0.50,0.10,80.0,广发基金,http://www.gffunds.com.cn/funds/?fundcode=159611&fromSearch=1,Y,,,339276,,31.55,-0.14,0.930,9413.51,2023-07-19,15:14:06,0.00,0.9299,23:35:01,-0.08,0.9307,2023-07-19,电力指数,-0.24,2023-07-19,0,0,-,-
159613,嘉实信安,399994,0.60,0.50,0.10,100.0,嘉实基金,https://www.jsfund.cn/main/fund/159613/fundManager.shtml,Y,,,10459,,0.95,0.01,0.911,661.78,2023-07-19,15:14:21,-0.55,0.9097,23:35:01,0.12,0.9099,2023-07-19,信息安全,-0.63,2023-07-19,0,0,-,-
159616,农牧ETF,-,0.60,0.50,0.10,100.0,建信基金,https://www.ccbfund.cn/fund_info/info.jspx?fundCode=159616,Y,,,12656,,1.01,0.00,0.797,868.74,2023-07-19,15:14:09,-0.13,0.7994,23:35:01,-0.30,0.7994,2023-07-19,农牧主题,0.19,2023-07-19,0,0,-,-
