name,code,close,rate,premium,tag,mtexp,fundfirm,listdate,index,avgamount,m1,y0,y1,y3,y5,scale
黄金ETF,518880,4.355,10016,10000,商品，黄金,0.60%,华安基金,2013-07-29,黄金9999指数,89824.55,9601,10926,11430,10967,16422,104.07
豆粕ETF,159985,2.165,9968,9982,商品，农产品,0.60%,华夏基金,2019-12-05,大商所豆粕期货价格指数,13051.54,9316,10771,12170,18991,10000,5.06
纳指ETF,513100,1.118,10063,10000,跨境，美国,0.80%,国泰基金,2013-05-15,纳斯达克100指数,53525.65,9798,13992,14116,12037,20819,85.5
煤炭ETF,515220,2.228,9893,9998,行业，煤炭，资源,0.60%,国泰基金,2020-03-02,中证煤炭指数,13957.28,10081,10465,8600,20912,10000,38.25
科创50ETF,588000,0.937,10141,10005,宽基，中小盘，科创板,0.60%,华夏基金,2020-11-16,科创50指数,235616.3,9926,9342,10000,10000,10000,671.92
沪深300ETF,510300,3.735,10021,9992,宽基，大盘股,0.60%,华泰柏瑞基金,2012-05-28,沪深300指数,367849.14,9806,9633,10012,8237,12076,718.71
创新药ETF,159992,0.861,10274,9971,行业，医药,0.55%,银华基金,2020-04-10,CS创新药指数,41736.49,11124,9189,10424,6378,10000,77.31
医疗ETF,512170,0.422,10318,10009,行业，医药,0.60%,华宝基金,2019-06-17,中证医疗指数,60606.83,10684,8307,9295,5886,10000,226.83
半导体ETF,512480,0.835,10158,10000,行业，半导体，芯片,0.60%,国联安基金,2019-06-12,半导体指数,102346.28,9870,10133,10987,8235,10000,247.29
酒ETF,512690,0.766,9987,9993,行业，食品饮料，酒,0.60%,鹏华基金,2019-05-06,中证酒指数,54551.07,9364,9012,9833,11253,10000,126.68
恒生科技指数ETF,513180,0.544,10187,10000,跨境，香港，科技,0.65%,华夏基金,2021-05-25,恒生科技指数,171202.11,9732,9909,11800,10000,10000,185.95
通信ETF,515880,1.132,10116,10016,行业，TMT，通信,0.60%,国泰基金,2019-09-06,通信设备指数,17078.46,10433,13755,14347,9759,10000,32.82
中概互联网ETF,513050,1.032,10118,10000,跨境，中概股,0.85%,易方达基金,2017-01-18,中国互联网50指数,64064.47,9971,9914,10979,5051,8614,345.76
医药ETF,512010,0.435,10211,9991,行业，医药,0.60%,易方达基金,2013-10-28,300医药指数,61227.41,10741,9100,10164,6284,10889,185.87
能源化工ETF,159981,1.598,10006,10000,商品，化工,0.60%,建信基金,2020-01-17,易盛能化A,2949.99,9714,10569,10120,18474,10000,4.28
纳指ETF,159941,0.847,10095,10000,跨境，美国,1.05%,广发基金,2015-07-13,纳斯达克100指数,52737.77,9860,14117,14164,12623,20143,170.26
日经ETF,513520,1.19,10042,10000,跨境，日本,0.25%,华夏基金,2019-06-25,日经225指数,3147.12,9675,11598,12205,10750,10000,4.36
恒生医疗ETF,513060,0.48,10278,10000,跨境，香港，医药，医疗保健,0.65%,博时基金,2021-03-29,恒生医疗保健指数,110409.08,10323,8013,10934,10000,10000,98.11
军工ETF,512660,0.996,9881,10006,行业，军工,0.60%,国泰基金,2016-08-08,中证军工指数,22057.94,9379,9257,9361,8981,14690,103.31
光伏ETF,515790,0.994,10020,10021,主题，光伏，新兴产业,0.60%,华泰柏瑞基金,2020-12-18,光伏产业指数,40304.63,9842,7234,6874,10000,10000,164.95
标普500ETF,513500,1.499,10060,10000,跨境，美国,0.85%,博时基金,2014-01-15,标准普尔500指数,19176.78,9709,11944,12419,13677,16179,71.88
芯片ETF,159995,0.973,10114,9995,行业，半导体，芯片,0.60%,华夏基金,2020-02-10,国证芯片指数,39755.31,9878,9730,10340,8274,10000,249.82
游戏ETF,159869,1.087,10130,10020,主题，游戏,0.60%,华夏基金,2021-03-05,动漫游戏指数,24591.08,9963,14246,16176,10000,10000,80.38
上证50ETF,510050,2.567,10031,9997,宽基，大盘股,0.60%,华夏基金,2005-02-23,上证50指数,182756.49,9888,9690,10067,8017,10899,576.21
新能源ETF,516160,0.707,10000,10013,主题，新能源，新兴产业,0.20%,南方基金,2021-02-04,中证新能指数,14430.23,9593,7163,6811,10000,10000,64.43
消费ETF,159928,0.901,10011,9980,行业，消费，必选消费,0.60%,汇添富基金,2013-09-16,中证消费指数,13242.2,9667,8630,8912,8101,17895,108.93
钢铁ETF,515210,1.255,9929,10003,行业，钢铁,0.60%,国泰基金,2020-03-02,中证钢铁指数,6787.81,9751,9789,9926,11343,10000,15.49
芯片ETF,512760,0.939,10162,10000,行业，半导体，芯片,0.60%,国泰基金,2019-06-12,中华半导体人民币指数,30844.51,9853,10054,10868,8230,10000,195.06
房地产ETF,512200,0.6,10017,10000,行业，金融，房地产,0.60%,南方基金,2017-09-25,房地产指数,13370.98,9245,8333,8287,6466,8463,44.15
证券ETF,512880,0.93,9979,9997,行业，金融，证券,0.60%,国泰基金,2016-08-08,证券公司指数,71639.71,9647,10702,11510,7573,13248,329.09
红利ETF,510880,3.034,9970,10003,策略，红利,0.60%,华泰柏瑞基金,2007-01-18,红利指数,20159.68,10066,11125,10743,12746,13950,159.31
恒生ETF,159920,1.079,10141,10000,跨境，香港,0.75%,华夏基金,2012-10-22,香港恒生指数,38063.46,9890,9617,10888,8275,7652,159.88
旅游ETF,159766,0.768,9884,9998,主题，旅游,0.60%,富国基金,2021-07-23,中证旅游指数,19370.81,9035,6802,8118,10000,10000,29.51
有色金属ETF,512400,0.98,9899,10000,行业，资源，有色金属,0.60%,南方基金,2017-09-01,有色金属指数,8819.52,9655,9219,9185,12343,15077,39.87
创业板ETF,159915,1.954,10083,10005,宽基，中小盘,0.60%,易方达基金,2011-12-09,创业板指,113418.68,9780,8574,9021,7571,15242,390.03
工业母机ETF,159667,0.96,9938,9985,行业，机床,0.60%,国泰基金,2022-10-26,中证机床指数,4805.73,10042,10584,10000,10000,10000,5.75
港股创新药ETF,513120,0.825,10390,10000,跨境，香港，医药,0.60%,广发基金,2022-07-12,港股创新药港币指数,80952.02,10659,8410,11427,10000,10000,24.84
德国ETF,513030,1.167,10130,10000,跨境，德国,1.00%,华安基金,2014-09-05,德国DAX指数,1587.14,9558,11297,13811,10746,10907,4.29
恒生互联网ETF,513330,0.412,10198,10000,跨境，香港，互联网,0.65%,华夏基金,2021-02-08,恒生互联网科技业指数,170476.93,9763,8898,10430,10000,10000,289.87
能源ETF,159930,1.235,9864,9992,行业，资源，能源,0.60%,汇添富基金,2013-09-16,中证能源指数,2823.23,9960,11695,9864,20114,15361,2.0
恒生科技ETF,513130,0.539,10189,10000,跨境，香港，科技,0.25%,华泰柏瑞基金,2021-06-01,恒生科技指数,151618.84,9782,9854,11769,10000,10000,91.5
科创芯片ETF,588200,1.121,10182,10009,行业，半导体，芯片，科创板,0.60%,嘉实基金,2022-10-26,科创芯片指数,43735.5,9739,10905,10000,10000,10000,63.12
银行ETF,512800,1.113,9964,9992,行业，金融，银行,0.60%,华宝基金,2017-08-03,中证银行指数,14413.76,10009,10325,10837,10641,11642,77.45
新能源车ETF,515030,1.277,9977,10001,主题，新兴产业，新能源车,0.60%,华夏基金,2020-03-04,CS新能车指数,12825.32,9516,7610,7352,10943,10000,116.5
传媒ETF,512980,0.769,10105,10023,行业，TMT，传媒,0.60%,广发基金,2018-01-19,中证传媒指数,9114.43,10052,12838,14961,7855,11325,50.19
家电ETF,159996,1.095,10009,9996,行业，家电,0.60%,国泰基金,2020-03-16,家用电器指数,5848.96,9829,10885,10994,8968,10000,30.31
软件ETF,515230,0.848,10192,10030,主题，新兴产业，软件,0.60%,国泰基金,2021-03-02,软件指数,5225.53,9953,10803,12676,10000,10000,14.29
生物医药ETF,512290,1.138,10215,9995,行业，医药，生物科技,0.60%,国泰基金,2019-05-20,CS生医指数,16793.78,10900,9413,10488,5503,10000,55.69
中证1000ETF,512100,2.436,10021,9989,宽基，中小盘,0.60%,南方基金,2016-11-04,中证1000指数,117637.77,9931,9717,10171,9433,15486,98.15
电力ETF,159611,0.867,9954,9996,行业，电力,0.60%,广发基金,2022-01-07,电力指数,8515.38,9786,10046,10224,10000,10000,36.52
中证红利ETF,515080,1.47,9959,9994,策略，红利,0.30%,招商基金,2019-12-27,中证红利指数,23206.95,9959,10853,10942,13850,10000,24.1
