name,code,close,rate,premium,tag,mtexp,fundfirm,listdate,index,avgamount,m1,y0,y1,y3,y5,scale
豆粕ETF,159985,2.284,9841,9991,商品，农产品,0.60%,华夏基金,2019-12-05,大商所豆粕期货价格指数,19462.27,10354,11363,13709,21366,10000,5.06
沪深300ETF,510300,3.807,9935,9996,宽基，大盘股,0.60%,华泰柏瑞基金,2012-05-28,沪深300指数,321530.81,9638,9819,9297,8493,12622,718.71
酒ETF,512690,0.821,10037,10020,行业，食品饮料，酒,0.60%,鹏华基金,2019-05-06,中证酒指数,55139.65,10086,9659,10250,11757,10000,126.68
科创50ETF,588000,0.932,9862,9993,宽基，中小盘，科创板,0.60%,华夏基金,2020-11-16,科创50指数,350659.62,9481,9292,8606,10000,10000,671.92
纳指ETF,513100,1.128,9886,10000,跨境，美国,0.80%,国泰基金,2013-05-15,纳斯达克100指数,36071.15,10162,14118,12921,12453,20720,85.5
黄金ETF,518880,4.557,10024,10000,商品，黄金,0.60%,华安基金,2013-07-29,黄金9999指数,73752.52,10322,11433,12040,11150,17268,104.07
证券ETF,512880,0.957,9886,9998,行业，金融，证券,0.60%,国泰基金,2016-08-08,证券公司指数,105007.28,9318,11013,10192,8103,13770,329.09
医疗ETF,512170,0.398,9876,9981,行业，医药,0.60%,华宝基金,2019-06-17,中证医疗指数,50654.69,9567,7835,7913,5868,10000,226.83
半导体ETF,512480,0.83,9893,9998,行业，半导体，芯片,0.60%,国联安基金,2019-06-12,半导体指数,132458.6,9765,10073,8839,8444,10000,247.29
煤炭ETF,515220,2.244,10099,10008,行业，煤炭，资源,0.60%,国泰基金,2020-03-02,中证煤炭指数,15932.06,10737,10540,8276,21176,10000,38.25
能源化工ETF,159981,1.685,9848,10000,商品，化工,0.60%,建信基金,2020-01-17,易盛能化A,5298.5,10544,11144,10913,19435,10000,4.28
中概互联网ETF,513050,1.033,9942,10000,跨境，中概股,0.85%,易方达基金,2017-01-18,中国互联网50指数,59778.95,9574,9923,9866,5252,8392,345.76
恒生科技指数ETF,513180,0.558,9911,10000,跨境，香港，科技,0.65%,华夏基金,2021-05-25,恒生科技指数,156285.7,9571,10164,10333,10000,10000,185.95
房地产ETF,512200,0.64,10000,10000,行业，金融，房地产,0.60%,南方基金,2017-09-25,房地产指数,18397.6,9453,8889,8020,6744,8779,44.15
上证50ETF,510050,2.601,9969,9998,宽基，大盘股,0.60%,华夏基金,2005-02-23,上证50指数,126169.09,9845,9819,9421,8182,11556,576.21
纳指ETF,159941,0.851,9895,10000,跨境，美国,1.05%,广发基金,2015-07-13,纳斯达克100指数,58117.49,10167,14183,12914,12880,19846,170.26
恒生医疗ETF,513060,0.469,9853,10000,跨境，香港，医药，医疗保健,0.65%,博时基金,2021-03-29,恒生医疗保健指数,91682.18,9630,7830,8950,10000,10000,98.11
游戏ETF,159869,1.071,9790,9992,主题，游戏,0.60%,华夏基金,2021-03-05,动漫游戏指数,40062.4,8970,14037,13678,10000,10000,80.38
芯片ETF,159995,0.964,9877,9985,行业，半导体，芯片,0.60%,华夏基金,2020-02-10,国证芯片指数,52041.2,9583,9640,8282,8397,10000,249.82
光伏ETF,515790,1.009,9882,10012,主题，光伏，新兴产业,0.60%,华泰柏瑞基金,2020-12-18,光伏产业指数,40363.25,8835,7344,6010,10000,10000,164.95
消费ETF,159928,0.939,9968,9978,行业，消费，必选消费,0.60%,汇添富基金,2013-09-16,中证消费指数,15220.4,9812,8994,9064,8328,19818,108.93
创业板ETF,159915,1.974,9880,9986,宽基，中小盘,0.60%,易方达基金,2011-12-09,创业板指,113566.64,9272,8662,7973,8060,14955,390.03
新能源ETF,516160,0.734,9866,9993,主题，新能源，新兴产业,0.20%,南方基金,2021-02-04,中证新能指数,16168.88,8759,7437,6086,10000,10000,64.43
创新药ETF,159992,0.791,9925,10009,行业，医药,0.55%,银华基金,2020-04-10,CS创新药指数,23496.27,9753,8442,8607,5974,10000,77.31
创业板50ETF,159949,0.85,9872,9993,宽基，中小盘,0.60%,华安基金,2016-07-22,创业板50指数,48945.26,9130,8260,7630,8483,16899,175.15
标普500ETF,513500,1.53,9929,10000,跨境，美国,0.85%,博时基金,2014-01-15,标准普尔500指数,13833.34,10053,12191,11662,14082,16594,71.88
通信ETF,515880,1.084,9766,9995,行业，TMT，通信,0.60%,国泰基金,2019-09-06,通信设备指数,12926.8,9551,13171,11668,9369,10000,32.82
军工ETF,512660,1.031,9838,9990,行业，军工,0.60%,国泰基金,2016-08-08,中证军工指数,30540.31,9913,9582,8592,9782,14260,103.31
传媒ETF,512980,0.76,9857,9984,行业，TMT，传媒,0.60%,广发基金,2018-01-19,中证传媒指数,19225.39,9348,12688,12991,7827,10765,50.19
芯片ETF,512760,0.934,9884,9997,行业，半导体，芯片,0.60%,国泰基金,2019-06-12,中华半导体人民币指数,35416.12,9619,10000,8648,8475,10000,195.06
医药ETF,512010,0.411,9952,10024,行业，医药,0.60%,易方达基金,2013-10-28,300医药指数,52791.69,9762,8598,8653,6096,10123,185.87
银行ETF,512800,1.112,10000,9993,行业，金融，银行,0.60%,华宝基金,2017-08-03,中证银行指数,15532.17,9902,10315,10393,10471,12153,77.45
日经ETF,513520,1.223,9911,10000,跨境，日本,0.25%,华夏基金,2019-06-25,日经225指数,2424.22,9951,11920,11955,11128,10000,4.36
恒生ETF,159920,1.085,9954,10000,跨境，香港,0.75%,华夏基金,2012-10-22,香港恒生指数,40601.97,9585,9670,9918,8073,7761,159.88
电力ETF,159611,0.894,10011,10003,行业，电力,0.60%,广发基金,2022-01-07,电力指数,7512.68,9835,10359,9179,10000,10000,36.52
恒生互联网ETF,513330,0.419,9882,10000,跨境，香港，互联网,0.65%,华夏基金,2021-02-08,恒生互联网科技业指数,166392.91,9353,9050,9129,10000,10000,289.87
十年国债ETF,511260,122.98,10009,10000,债券，国债，利率债,0.40%,国泰基金,2017-08-24,10年国债指数,35482.48,10012,10306,10252,11161,12084,5.88
有色金属ETF,512400,1.022,9942,9999,行业，资源，有色金属,0.60%,南方基金,2017-09-01,有色金属指数,11425.58,9715,9614,8169,12649,16274,39.87
新能源车ETF,515030,1.342,9875,9996,主题，新兴产业，新能源车,0.60%,华夏基金,2020-03-04,CS新能车指数,20164.4,8959,7998,6663,13118,10000,116.5
创业板成长ETF,159967,0.443,9844,9973,策略，动量，成长,0.60%,华夏基金,2019-07-15,创成长指数,11663.54,9078,7869,6836,8915,10000,36.53
中证1000ETF,512100,2.455,9871,9994,宽基，中小盘,0.60%,南方基金,2016-11-04,中证1000指数,110627.88,9681,9793,8866,9640,15236,98.15
中概互联网ETF,159607,0.779,9911,10000,跨境，中概股,0.60%,嘉实基金,2021-12-02,中国互联网30人民币指数,34397.09,9431,9665,9886,10000,10000,19.71
恒生科技ETF,513130,0.552,9910,10000,跨境，香港，科技,0.25%,华泰柏瑞基金,2021-06-01,恒生科技指数,152608.76,9517,10091,10203,10000,10000,91.5
生物医药ETF,512290,1.064,9944,10002,行业，医药，生物科技,0.60%,国泰基金,2019-05-20,CS生医指数,11564.9,9815,8801,9141,5429,10000,55.69
人工智能ETF,159819,0.775,9761,10000,主题，新兴产业，人工智能,0.20%,易方达基金,2020-09-23,CS人工智能指数,23120.63,9161,11516,11232,10000,10000,38.84
