fund_id,fund_nm,index_id,fee,m_fee,t_fee,creation_unit,issuer_nm,urls,eval_flg,ex_dt,ex_info,amount,amount_notes,unit_total,unit_incr,price,volume,last_dt,last_time,increase_rt,estimate_value,last_est_time,discount_rt,fund_nav,nav_dt,index_nm,index_increase_rt,idx_price_dt,owned,holded,pe,pb
159531,中证2000,-,0.60,0.50,0.10,400.0,南方基金,https://www.nffund.com/main/jjcp/fundproduct/159531.shtml,Y,,,7261,,0.76,0.00,1.040,2815.44,2023-12-12,15:14:06,0.48,1.0393,15:37:49,0.07,1.0338,2023-12-11,中证2000,0.53,2023-12-12,0,0,-,-
159532,2000E,-,0.60,0.50,0.10,200.0,易方达,https://www.efunds.com.cn/fund/159532.shtml,Y,,,8956,,0.95,-0.02,1.056,1833.05,2023-12-12,15:14:06,0.57,1.0566,15:37:49,-0.05,1.0510,2023-12-11,中证2000,0.53,2023-12-12,0,0,-,-
159535,2000指数,-,0.60,0.50,0.10,300.0,嘉实基金,https://www.efunds.com.cn/fund/159532.shtml,Y,,,5598,,0.59,0.00,1.049,1474.31,2023-12-12,15:14:21,0.58,1.0488,15:37:49,0.02,1.0433,2023-12-11,中证2000,0.53,2023-12-12,0,0,-,-
159536,CSI2000,-,0.60,0.50,0.10,400.0,汇添富,https://www.99fund.com/main/products/pofund/159536/fundgk.shtml,Y,,,15726,,1.65,-0.04,1.050,3478.90,2023-12-12,15:14:24,0.86,1.0498,15:37:49,0.02,1.0497,2023-12-12,中证2000,0.53,2023-12-12,0,0,-,-
159601,A50,-,0.60,0.50,0.10,260.0,华夏基金,https://www.chinaamc.com/fund/159601/index.shtml,Y,,,550399,,37.59,0.04,0.683,5760.74,2023-12-12,15:14:21,0.00,0.6840,15:37:49,-0.15,0.6830,2023-12-11,中国A50互联互通,0.15,2023-12-12,0,0,-,-
159602,中国A50,-,0.60,0.50,0.10,200.0,南方基金,http://www.nffund.com/main/jjcp/fundproduct/159602.shtml,Y,,,191254,,13.04,0.03,0.682,2052.95,2023-12-12,15:14:18,0.29,0.6822,15:37:49,-0.03,0.6812,2023-12-11,中国A50互联互通,0.15,2023-12-12,0,0,-,-
159603,双创天弘,-,0.60,0.50,0.10,100.0,天弘基金,http://www.thfund.com.cn/fundinfo/159603,Y,,,246307,,18.84,0.00,0.765,145.68,2023-12-12,15:14:21,-0.91,0.7652,15:37:49,-0.03,0.7710,2023-12-11,科创创业50,-0.75,2023-12-12,0,0,-,-
159606,500成长,-,0.60,0.50,0.10,100.0,易方达,https://www.efunds.com.cn/fund/159606.shtml,Y,,,58922,,4.49,0.00,0.762,555.02,2023-12-12,15:14:15,0.26,0.7614,15:37:49,0.08,0.7604,2023-12-11,500质量,0.13,2023-12-12,0,0,-,-
159608,稀有金属,-,0.60,0.50,0.10,80.0,广发基金,http://www.gffunds.com.cn/funds/?fundcode=159608&fromSearch=1,Y,,,45121,,2.52,0.02,0.558,1114.63,2023-12-12,15:14:48,-0.71,0.5575,15:37:49,0.09,0.5607,2023-12-11,CS稀金属,-0.57,2023-12-12,0,0,-,-
159609,光伏龙头,-,0.60,0.50,0.10,0.0,浦银安盛,https://www.py-axa.com/productDetails?fundCode=159609,Y,,,53890,,2.60,-0.02,0.483,819.77,2023-12-12,15:14:51,-0.21,0.4824,15:37:49,0.12,0.4869,2023-12-11,光伏产业,-0.92,2023-12-12,0,0,-,-
159610,500增强,000905,0.60,0.50,0.10,100.0,景顺长城,http://www.igwfmc.com/main/jjcp/product/159610/detail.html,Y,,,58857,,4.56,0.01,0.775,2229.99,2023-12-12,15:14:27,0.26,0.7733,15:37:49,0.23,0.7731,2023-12-11,中证500,0.02,2023-12-12,0,0,-,-
159611,电力ETF,-,0.60,0.50,0.10,80.0,广发基金,http://www.gffunds.com.cn/funds/?fundcode=159611&fromSearch=1,Y,,,229596,,20.14,0.00,0.877,3792.18,2023-12-12,15:14:18,0.23,0.8775,15:37:49,-0.06,0.8722,2023-12-11,电力指数,0.61,2023-12-12,0,0,-,-
159613,嘉实信安,399994,0.60,0.50,0.10,100.0,嘉实基金,https://www.jsfund.cn/main/fund/159613/fundManager.shtml,Y,,,10059,,0.84,0.00,0.832,378.24,2023-12-12,15:14:27,0.00,0.8339,15:37:49,-0.23,0.8335,2023-12-11,信息安全,0.05,2023-12-12,0,0,-,-
159616,农牧ETF,-,0.60,0.50,0.10,100.0,建信基金,https://www.ccbfund.cn/fund_info/info.jspx?fundCode=159616,Y,,,11856,,0.87,0.00,0.731,694.03,2023-12-12,15:14:54,-0.41,0.7310,15:37:49,0.00,0.7330,2023-12-11,农牧主题,-0.27,2023-12-12,0,0,-,-
159617,500价值,-,0.60,0.50,0.10,100.0,华夏基金,http://www.chinaamc.com/fund/159617/index.shtml,Y,,,5742,,0.61,0.00,1.062,218.31,2023-12-12,15:14:21,0.95,1.0608,15:37:49,0.11,1.0553,2023-12-11,500价值稳健,0.52,2023-12-12,0,0,-,-
159618,光伏华安,-,0.60,0.50,0.10,100.0,华安基金,https://www.huaan.com.cn/funds/159618/index.shtml,Y,,,27513,,1.83,0.00,0.664,192.75,2023-12-12,15:14:24,-0.90,0.6633,15:37:49,0.10,0.6695,2023-12-11,光伏产业,-0.92,2023-12-12,0,0,-,-
