fund_id,fund_nm,index_id,fee,m_fee,t_fee,creation_unit,issuer_nm,urls,eval_flg,ex_dt,ex_info,amount,amount_notes,unit_total,unit_incr,price,volume,last_dt,last_time,increase_rt,estimate_value,last_est_time,discount_rt,fund_nav,nav_dt,index_nm,index_increase_rt,idx_price_dt,owned,holded,pe,pb
159531,中证2000,-,0.60,0.50,0.10,400.0,南方基金,https://www.nffund.com/main/jjcp/fundproduct/159531.shtml,Y,,,7661,,0.79,0.00,1.037,3151.98,2023-11-13,15:14:51,1.27,1.0367,22:20:01,0.04,1.0366,2023-11-13,中证2000,1.25,2023-11-13,0,0,-,-
159532,2000E,-,0.60,0.50,0.10,200.0,易方达,https://www.efunds.com.cn/fund/159532.shtml,Y,,,9756,,1.02,-0.06,1.049,2030.11,2023-11-13,15:14:54,1.16,1.0506,22:20:01,-0.05,1.0495,2023-11-13,中证2000,1.25,2023-11-13,0,0,-,-
159535,2000指数,-,0.60,0.50,0.10,300.0,嘉实基金,https://www.efunds.com.cn/fund/159532.shtml,Y,,,7098,,0.74,-0.03,1.044,2514.51,2023-11-13,15:14:54,1.06,1.0454,22:20:01,-0.11,1.0452,2023-11-13,中证2000,1.25,2023-11-13,0,0,-,-
159536,CSI2000,-,0.60,0.50,0.10,400.0,汇添富,https://www.99fund.com/main/products/pofund/159536/fundgk.shtml,Y,,,20526,,2.15,0.00,1.046,5141.96,2023-11-13,15:14:57,1.16,1.0471,22:20:01,-0.07,1.0467,2023-11-13,中证2000,1.25,2023-11-13,0,0,-,-
159601,A50,-,0.60,0.50,0.10,260.0,华夏基金,https://www.chinaamc.com/fund/159601/index.shtml,Y,,,537399,,38.75,-0.11,0.721,5935.61,2023-11-13,15:14:45,0.00,0.7210,22:20:01,0.00,0.7210,2023-11-13,中国A50互联互通,-0.15,2023-11-13,0,0,-,-
159602,中国A50,-,0.60,0.50,0.10,200.0,南方基金,http://www.nffund.com/main/jjcp/fundproduct/159602.shtml,Y,,,188254,,13.54,-0.07,0.719,1152.59,2023-11-13,15:14:09,0.00,0.7192,22:20:01,-0.03,0.7192,2023-11-13,中国A50互联互通,-0.15,2023-11-13,0,0,-,-
159603,双创天弘,-,0.60,0.50,0.10,100.0,天弘基金,http://www.thfund.com.cn/fundinfo/159603,Y,,,244607,,19.59,0.00,0.801,280.15,2023-11-13,15:15:00,0.38,0.8009,22:20:01,0.01,0.8009,2023-11-13,科创创业50,0.30,2023-11-13,0,0,-,-
159606,500成长,-,0.60,0.50,0.10,100.0,易方达,https://www.efunds.com.cn/fund/159606.shtml,Y,,,61722,,4.71,0.00,0.763,180.84,2023-11-13,15:14:06,0.26,0.7622,22:20:01,0.09,0.7623,2023-11-13,500质量,0.21,2023-11-13,0,0,-,-
159608,稀有金属,-,0.60,0.50,0.10,80.0,广发基金,http://www.gffunds.com.cn/funds/?fundcode=159608&fromSearch=1,Y,,,44001,,2.57,0.01,0.583,959.71,2023-11-13,15:14:09,0.00,0.5842,22:20:01,-0.26,0.5845,2023-11-13,CS稀金属,0.40,2023-11-13,0,0,-,-
159609,光伏龙头,-,0.60,0.50,0.10,0.0,浦银安盛,https://www.py-axa.com/productDetails?fundCode=159609,Y,,,46690,,2.57,-0.01,0.551,749.40,2023-11-13,15:14:15,0.55,0.5516,22:20:01,-0.09,0.5515,2023-11-13,光伏产业,0.78,2023-11-13,0,0,-,-
