fund_id,fund_nm,index_id,fee,m_fee,t_fee,creation_unit,issuer_nm,urls,eval_flg,ex_dt,ex_info,amount,amount_notes,unit_total,unit_incr,price,volume,last_dt,last_time,increase_rt,estimate_value,last_est_time,discount_rt,fund_nav,nav_dt,index_nm,index_increase_rt,idx_price_dt,owned,holded,pe,pb
159531,中证2000,-,0.60,0.50,0.10,400.0,南方基金,https://www.nffund.com/main/jjcp/fundproduct/159531.shtml,Y,,,12461,,1.24,-0.04,0.996,3206.31,2023-10-16,15:14:12,-0.40,0.9955,15:37:53,0.05,1.0012,2023-10-13,中证2000,-0.57,2023-10-16,0,0,-,-
159532,2000E,-,0.60,0.50,0.10,200.0,易方达,https://www.efunds.com.cn/fund/159532.shtml,Y,,,19156,,1.93,-0.14,1.007,1680.98,2023-10-16,15:14:15,-0.69,1.0092,15:37:53,-0.22,1.0150,2023-10-13,中证2000,-0.57,2023-10-16,0,0,-,-
159535,2000指数,-,0.60,0.50,0.10,300.0,嘉实基金,https://www.efunds.com.cn/fund/159532.shtml,Y,,,14598,,1.47,-0.18,1.005,2824.57,2023-10-16,15:14:06,-0.50,1.0041,15:37:53,0.09,1.0099,2023-10-13,中证2000,-0.57,2023-10-16,0,0,-,-
159536,CSI2000,-,0.60,0.50,0.10,400.0,汇添富,https://www.99fund.com/main/products/pofund/159536/fundgk.shtml,Y,,,34126,,3.43,-0.40,1.005,4846.45,2023-10-16,15:14:54,-0.59,1.0061,15:37:53,-0.11,1.0119,2023-10-13,中证2000,-0.57,2023-10-16,0,0,-,-
159601,A50,-,0.60,0.50,0.10,260.0,华夏基金,https://www.chinaamc.com/fund/159601/index.shtml,Y,,,531159,,39.09,0.06,0.736,6296.02,2023-10-16,15:14:12,-0.81,0.7349,15:37:53,0.16,0.7428,2023-10-13,中国A50互联互通,-1.07,2023-10-16,0,0,-,-
159602,中国A50,-,0.60,0.50,0.10,200.0,南方基金,http://www.nffund.com/main/jjcp/fundproduct/159602.shtml,Y,,,188654,,13.81,-0.04,0.732,1472.07,2023-10-16,15:15:00,-1.21,0.7331,15:37:53,-0.15,0.7410,2023-10-13,中国A50互联互通,-1.07,2023-10-16,0,0,-,-
159603,双创天弘,-,0.60,0.50,0.10,100.0,天弘基金,http://www.thfund.com.cn/fundinfo/159603,Y,,,242907,,18.92,0.00,0.779,249.39,2023-10-16,15:14:03,-2.14,0.7788,15:37:53,0.03,0.7953,2023-10-13,科创创业50,-2.08,2023-10-16,0,0,-,-
159606,500成长,-,0.60,0.50,0.10,100.0,易方达,https://www.efunds.com.cn/fund/159606.shtml,Y,,,63722,,4.89,0.00,0.768,597.90,2023-10-16,15:14:12,-0.90,0.7683,15:37:53,-0.05,0.7747,2023-10-13,500质量,-0.82,2023-10-16,0,0,-,-
159608,稀有金属,-,0.60,0.50,0.10,80.0,广发基金,http://www.gffunds.com.cn/funds/?fundcode=159608&fromSearch=1,Y,,,42881,,2.50,0.01,0.583,1336.74,2023-10-16,15:14:24,-2.02,0.5823,15:37:53,0.12,0.5964,2023-10-13,CS稀金属,-2.36,2023-10-16,0,0,-,-
159609,光伏龙头,-,0.60,0.50,0.10,0.0,浦银安盛,https://www.py-axa.com/productDetails?fundCode=159609,Y,,,46890,,2.64,0.02,0.562,1384.92,2023-10-16,15:14:27,-2.26,0.5624,15:37:53,-0.07,0.5755,2023-10-13,光伏产业,-2.28,2023-10-16,0,0,-,-
