fund_id,fund_nm,index_id,fee,m_fee,t_fee,creation_unit,issuer_nm,urls,eval_flg,ex_dt,ex_info,amount,amount_notes,unit_total,unit_incr,price,volume,last_dt,last_time,increase_rt,estimate_value,last_est_time,discount_rt,fund_nav,nav_dt,index_nm,index_increase_rt,idx_price_dt,owned,holded,pe,pb
159601,A50,-,0.60,0.50,0.10,260.0,华夏基金,https://www.chinaamc.com/fund/159601/index.shtml,Y,,,499439,,38.01,1.01,0.761,9210.21,2023-06-12,15:15:00,0.13,0.7619,15:37:58,-0.12,0.7610,2023-06-09,中国A50互联互通,0.12,2023-06-12,0,0,-,-
159602,中国A50,-,0.60,0.50,0.10,200.0,南方基金,http://www.nffund.com/main/jjcp/fundproduct/159602.shtml,Y,,,185654,,14.09,0.00,0.759,2213.67,2023-06-12,15:14:27,0.26,0.7606,15:37:58,-0.21,0.7597,2023-06-09,中国A50互联互通,0.12,2023-06-12,0,0,-,-
159603,双创天弘,-,0.60,0.50,0.10,100.0,天弘基金,http://www.thfund.com.cn/fundinfo/159603,Y,,,226507,,19.43,-0.01,0.858,427.68,2023-06-12,15:14:27,0.23,0.8586,15:37:58,-0.07,0.8573,2023-06-09,科创创业50,0.15,2023-06-12,0,0,-,-
159606,500成长,-,0.60,0.50,0.10,100.0,易方达,https://www.efunds.com.cn/fund/159606.shtml,Y,,,68322,,5.54,-0.01,0.811,484.06,2023-06-12,15:14:30,0.75,0.8133,15:37:58,-0.28,0.8045,2023-06-09,500质量,1.09,2023-06-12,0,0,-,-
159608,稀有金属,-,0.60,0.50,0.10,80.0,广发基金,http://www.gffunds.com.cn/funds/?fundcode=159608&fromSearch=1,Y,,,33201,,2.24,0.00,0.674,831.31,2023-06-12,15:14:24,-0.74,0.6754,15:37:58,-0.20,0.6783,2023-06-09,CS稀金属,-0.43,2023-06-12,0,0,-,-
159609,光伏龙头,-,0.60,0.50,0.10,0.0,浦银安盛,https://www.py-axa.com/productDetails?fundCode=159609,Y,,,44490,,2.98,0.00,0.669,1877.95,2023-06-12,15:14:33,1.21,0.6713,15:37:58,-0.35,0.6647,2023-06-09,光伏产业,1.00,2023-06-12,0,0,-,-
159610,500增强,000905,0.60,0.50,0.10,100.0,景顺长城,http://www.igwfmc.com/main/jjcp/product/159610/detail.html,Y,,,61057,,5.02,0.00,0.822,2342.38,2023-06-12,15:14:36,0.61,0.8210,15:37:58,0.13,0.8185,2023-06-09,中证500,0.30,2023-06-12,0,0,-,-
159611,电力ETF,-,0.60,0.50,0.10,80.0,广发基金,http://www.gffunds.com.cn/funds/?fundcode=159611&fromSearch=1,Y,,,278716,,25.86,0.20,0.928,15828.37,2023-06-12,15:14:27,-1.80,0.9253,15:37:58,0.29,0.9442,2023-06-09,电力指数,-2.00,2023-06-12,0,0,-,-
159613,嘉实信安,399994,0.60,0.50,0.10,100.0,嘉实基金,https://www.jsfund.cn/main/fund/159613/fundManager.shtml,Y,,,12159,,1.15,-0.04,0.947,1130.80,2023-06-12,15:14:39,-0.42,0.9464,15:37:58,0.06,0.9510,2023-06-09,信息安全,-0.48,2023-06-12,0,0,-,-
159616,农牧ETF,-,0.60,0.50,0.10,100.0,建信基金,https://www.ccbfund.cn/fund_info/info.jspx?fundCode=159616,Y,,,13356,,1.02,0.01,0.764,278.64,2023-06-12,15:14:45,0.53,0.7628,15:37:58,0.15,0.7601,2023-06-09,农牧主题,0.36,2023-06-12,0,0,-,-
