name,code,close,rate,premium,tag,mtexp,fundfirm,listdate,index,avgamount,m1,y0,y1,y3,y5,scale
纳指ETF,513100,1.215,10066,10000,跨境，美国,0.80%,国泰基金,2013-05-15,纳斯达克100指数,49400.22,10501,15207,15150,14059,28656,92.22
游戏ETF,159869,0.981,9909,10003,主题，游戏,0.60%,华夏基金,2021-03-05,动漫游戏指数,58418.66,9194,12857,13150,10000,10000,60.62
日经ETF,513520,1.358,10241,10000,跨境，日本,0.25%,华夏基金,2019-06-25,日经225指数,15955.44,11059,13236,13045,11041,10000,5.05
黄金ETF,518880,4.647,10028,10000,商品，黄金,0.60%,华安基金,2013-07-29,黄金9999指数,89404.57,10329,11658,11756,12061,16485,120.91
沪深300ETF,510300,3.395,9941,10006,宽基，大盘股,0.60%,华泰柏瑞基金,2012-05-28,沪深300指数,440746.8,9417,8756,8842,6936,12006,1200.4
煤炭ETF,515220,2.361,9813,9989,行业，煤炭，资源,0.60%,国泰基金,2020-03-02,中证煤炭指数,15936.27,10216,11090,10997,18756,10000,26.93
标普500ETF,513500,1.605,10031,10000,跨境，美国,0.85%,博时基金,2014-01-15,标准普尔500指数,21146.75,10456,12789,12638,14129,21457,75.86
酒ETF,512690,0.668,9940,10018,行业，食品饮料，酒,0.60%,鹏华基金,2019-05-06,中证酒指数,36377.67,8942,7859,7905,7298,10000,134.54
科创50ETF,588000,0.868,9830,9989,宽基，中小盘，科创板,0.60%,华夏基金,2020-11-16,科创50指数,239433.02,9581,8654,8750,6227,10000,946.73
德国ETF,513030,1.291,10031,10000,跨境，德国,1.00%,华安基金,2014-09-05,德国DAX指数,3008.95,10547,12498,12522,11425,13987,5.06
半导体ETF,512480,0.771,9759,9999,行业，半导体，芯片,0.60%,国联安基金,2019-06-12,半导体指数,75706.47,9245,9357,9289,7522,10000,268.12
港股创新药ETF,513120,0.742,9854,10000,跨境，香港，医药,0.60%,广发基金,2022-07-12,港股创新药港币指数,92911.01,8509,7564,7827,10000,10000,40.66
恒生医疗ETF,513060,0.429,9885,10000,跨境，香港，医药，医疗保健,0.65%,博时基金,2021-03-29,恒生医疗保健指数,78544.05,8563,7162,7346,10000,10000,131.11
豆粕ETF,159985,2.194,9991,10001,商品，农产品,0.60%,华夏基金,2019-12-05,大商所豆粕期货价格指数,6166.68,9652,10915,11098,18192,10000,9.25
光伏ETF,515790,0.834,10000,10015,主题，光伏，新兴产业,0.60%,华泰柏瑞基金,2020-12-18,光伏产业指数,50761.25,9308,6070,6275,7208,10000,136.18
恒生科技指数ETF,513180,0.479,9958,10000,跨境，香港，科技,0.65%,华夏基金,2021-05-25,恒生科技指数,204455.74,8789,8725,8821,10000,10000,215.86
恒生互联网ETF,513330,0.334,9970,10000,跨境，香港，互联网,0.65%,华夏基金,2021-02-08,恒生互联网科技业指数,238479.34,8499,7214,7325,10000,10000,289.22
医疗ETF,512170,0.378,9844,9997,行业，医药,0.60%,华宝基金,2019-06-17,中证医疗指数,37825.38,9153,7441,7699,4907,10000,270.03
证券ETF,512880,0.874,9876,9993,行业，金融，证券,0.60%,国泰基金,2016-08-08,证券公司指数,83466.97,9133,10058,10139,7620,12432,316.75
创新药ETF,159992,0.802,9926,10008,行业，医药,0.55%,银华基金,2020-04-10,CS创新药指数,20691.03,9145,8559,8823,5745,10000,85.4
消费ETF,159928,0.825,9940,10006,行业，消费，必选消费,0.60%,汇添富基金,2013-09-16,中证消费指数,9308.98,9177,7902,8041,6634,18465,104.58
军工ETF,512660,0.936,9894,9995,行业，军工,0.60%,国泰基金,2016-08-08,中证军工指数,29386.94,9522,8699,8797,7729,15121,97.39
教育ETF,513360,0.579,9847,10000,跨境，教育,0.65%,博时基金,2021-06-17,中国教育人民币指数,6989.76,9570,10987,10266,10000,10000,3.86
东南亚科技ETF,513730,1.105,10385,10000,,0.50%,华泰柏瑞基金,2023-12-01,新交所泛东南亚科技指数,11944.75,10000,10000,10000,10000,10000,2.56
传媒ETF,512980,0.699,9887,10012,行业，TMT，传媒,0.60%,广发基金,2018-01-19,中证传媒指数,28298.8,8996,11669,11847,8432,10527,43.75
纳指ETF,159941,0.914,10066,10000,跨境，美国,1.05%,广发基金,2015-07-13,纳斯达克100指数,63952.69,10470,15233,15132,14308,27613,157.21
创业板ETF,159915,1.761,9877,9995,宽基，中小盘,0.60%,易方达基金,2011-12-09,创业板指,141218.33,9327,7727,7785,6406,14542,397.92
中概互联网ETF,513050,0.921,9978,10000,跨境，中概股,0.85%,易方达基金,2017-01-18,中国互联网50指数,70732.19,9247,8847,8933,4614,8822,348.42
红利ETF,510880,2.922,9942,10011,策略，红利,0.60%,华泰柏瑞基金,2007-01-18,红利指数,23895.44,9711,10715,10786,12071,14096,161.7
芯片ETF,159995,0.896,9782,9975,行业，半导体，芯片,0.60%,华夏基金,2020-02-10,国证芯片指数,33800.98,9295,8960,8915,7460,10000,266.56
恒生科技ETF,513130,0.476,9979,10000,跨境，香港，科技,0.25%,华泰柏瑞基金,2021-06-01,恒生科技指数,169775.59,8799,8702,8815,10000,10000,134.26
上证50ETF,510050,2.299,9961,9999,宽基，大盘股,0.60%,华夏基金,2005-02-23,上证50指数,262610.55,9469,8818,8943,6838,10875,643.34
创业板50ETF,159949,0.75,9868,9993,宽基，中小盘,0.60%,华安基金,2016-07-22,创业板50指数,50772.98,9340,7289,7331,6292,16968,180.13
上证指数ETF,510210,0.711,9944,10026,宽基，综合,0.60%,富国基金,2011-03-25,上证指数,27987.08,9539,9807,9883,9271,14355,61.94
游戏ETF,516010,0.975,9919,10028,主题，游戏,0.60%,国泰基金,2021-03-05,动漫游戏指数,23453.63,9216,12745,13017,10000,10000,19.74
恒生ETF,159920,0.969,9959,10000,跨境，香港,0.75%,华夏基金,2012-10-22,香港恒生指数,31104.7,9308,8636,8761,6996,7215,156.62
中概互联ETF,159605,0.718,9986,10000,跨境，中概股,0.60%,广发基金,2021-12-02,中国互联网30人民币指数,69728.35,9373,8930,8997,10000,10000,81.62
红利低波100ETF,515100,1.263,9976,9996,策略，低波动，红利,0.60%,景顺长城基金,2020-07-03,红利低波100指数,6762.39,9549,11128,11239,14109,10000,19.71
新能源车ETF,515030,1.136,9930,9992,主题，新兴产业，新能源车,0.60%,华夏基金,2020-03-04,CS新能车指数,14312.72,9319,6770,6578,6961,10000,95.71
纳斯达克ETF,513300,1.515,10093,10000,跨境，美国,0.80%,华夏基金,2020-11-05,纳斯达克100指数,19142.69,10550,15075,15015,14525,10000,39.58
云计算ETF,516510,0.873,9765,10003,主题，TMT，互联网,0.20%,易方达基金,2021-04-07,云计算指数,8566.51,9458,10885,11065,10000,10000,10.52
人工智能ETF,159819,0.72,9783,10009,主题，新兴产业，人工智能,0.20%,易方达基金,2020-09-23,CS人工智能指数,22081.43,9486,10698,10667,7860,10000,40.79
通信ETF,515880,0.979,9770,10007,行业，TMT，通信,0.60%,国泰基金,2019-09-06,通信设备指数,11769.11,9551,11896,12027,9664,10000,25.79
新能源ETF,516160,0.613,9967,10011,主题，新能源，新兴产业,0.20%,南方基金,2021-02-04,中证新能指数,18231.96,9359,6211,6192,10000,10000,64.58
养殖ETF,159865,0.646,9923,9978,行业，畜牧养殖,0.60%,国泰基金,2021-03-08,中证畜牧指数,6414.58,9542,8250,8368,10000,10000,56.79
旅游ETF,159766,0.677,9869,9993,主题，旅游,0.60%,富国基金,2021-07-23,中证旅游指数,5489.9,8931,5996,5923,10000,10000,37.49
医药ETF,512010,0.401,9926,10008,行业，医药,0.60%,易方达基金,2013-10-28,300医药指数,46058.04,9240,8389,8661,5325,12060,205.11
芯片ETF,512760,0.862,9762,9983,行业，半导体，芯片,0.60%,国泰基金,2019-06-12,中华半导体人民币指数,24943.95,9249,9229,9160,7355,10000,180.01
法国CAC40ETF,513080,1.566,10064,10000,跨境，法国,0.65%,华安基金,2020-06-12,法国CAC40指数,1102.18,10531,12508,12518,14057,10000,1.26
5GETF,515050,0.873,9798,10009,主题，新兴产业，5G,0.60%,华夏基金,2019-10-16,5G通信指数,4185.58,9678,11051,11037,7481,10000,75.03
影视ETF,516620,0.928,9799,9966,主题，TMT，影视,0.60%,国泰基金,2021-11-05,中证影视指数,2017.55,9364,9946,10142,10000,10000,0.727
农业ETF,159825,0.71,9944,9970,行业，农业,0.60%,富国基金,2020-12-29,中证农业指数,3132.92,9517,8275,8353,10000,10000,28.63
软件ETF,515230,0.736,9800,10005,主题，新兴产业，软件,0.60%,国泰基金,2021-03-02,软件指数,5686.72,9388,9376,9546,10000,10000,12.36
基建50ETF,516970,0.957,9927,9989,主题，基建,0.60%,广发基金,2021-07-05,基建工程指数,5499.37,9346,8969,9020,10000,10000,54.48
恒生科技30ETF,513010,0.491,9980,10000,跨境，香港，科技,0.25%,易方达基金,2021-05-25,恒生科技指数,36564.44,8799,8847,8927,10000,10000,50.98
生物医药ETF,512290,1.119,10000,10019,行业，医药，生物科技,0.60%,国泰基金,2019-05-20,CS生医指数,6101.08,9451,9256,9443,5798,10000,53.23
房地产ETF,512200,0.513,9828,10000,行业，金融，房地产,0.60%,南方基金,2017-09-25,房地产指数,10092.88,8579,7125,7066,6057,7225,46.64
科创芯片ETF,588200,1.056,9742,9988,行业，半导体，芯片，科创板,0.60%,嘉实基金,2022-10-26,科创芯片指数,38495.08,9255,10272,10173,10000,10000,74.4
中证1000ETF,512100,2.28,9870,10017,宽基，中小盘,0.60%,南方基金,2016-11-04,中证1000指数,66419.3,9272,9095,9105,9010,15491,121.13
中证500ETF,510500,5.356,9913,10010,宽基，中小盘,0.60%,南方基金,2013-03-15,中证500指数,153672.9,9441,9098,9140,8823,13630,576.92
中药ETF,159647,1.04,9895,9979,行业，医药,0.60%,鹏华基金,2022-07-28,中证中药指数,3644.0,9277,9943,9765,10000,10000,8.28
创业板成长ETF,159967,0.4,9852,10005,策略，动量，成长,0.60%,华夏基金,2019-07-15,创成长指数,6736.32,9685,7105,7194,6410,10000,42.08
红利低波ETF,512890,0.905,9989,9990,策略，红利,0.60%,华泰柏瑞基金,2019-01-18,红利低波指数,7870.03,9700,11064,11187,13589,10000,26.4
中药ETF,560080,1.131,9912,10006,行业，医药,0.60%,汇添富基金,2022-10-17,中证中药指数,3298.95,9278,9912,9716,10000,10000,20.78
红利ETF易方达,515180,1.214,9967,10017,策略，红利,0.20%,易方达基金,2019-12-20,中证红利指数,4589.45,9712,10498,10593,12412,10000,46.11
