name,code,close,rate,premium,tag,mtexp,fundfirm,listdate,index,avgamount,m1,y0,y1,y3,y5,scale
黄金ETF,518880,4.569,9961,10000,商品，黄金,0.60%,华安基金,2013-07-29,黄金9999指数,57334.38,10300,11463,12011,11420,16712,120.91
纳指ETF,513100,1.11,9991,10000,跨境，美国,0.80%,国泰基金,2013-05-15,纳斯达克100指数,42010.94,10278,13892,13636,12380,22209,92.22
医疗ETF,512170,0.424,9976,10016,行业，医药,0.60%,华宝基金,2019-06-17,中证医疗指数,49646.8,10168,8346,8249,5798,10000,270.03
创新药ETF,159992,0.893,9944,10012,行业，医药,0.55%,银华基金,2020-04-10,CS创新药指数,42882.15,10568,9530,9150,6709,10000,85.4
半导体ETF,512480,0.88,10023,9999,行业，半导体，芯片,0.60%,国联安基金,2019-06-12,半导体指数,111711.43,10864,10680,9800,8205,10000,268.12
港股创新药ETF,513120,0.92,9840,10000,跨境，香港，医药,0.60%,广发基金,2022-07-12,港股创新药港币指数,194880.05,11288,9378,10256,10000,10000,40.66
恒生科技指数ETF,513180,0.555,9911,10000,跨境，香港，科技,0.65%,华夏基金,2021-05-25,恒生科技指数,257587.45,10612,10109,12198,10000,10000,215.86
沪深300ETF,510300,3.69,9970,10000,宽基，大盘股,0.60%,华泰柏瑞基金,2012-05-28,沪深300指数,350174.81,9803,9517,9775,7790,12100,1200.4
酒ETF,512690,0.767,9922,10007,行业，食品饮料，酒,0.60%,鹏华基金,2019-05-06,中证酒指数,62089.9,9859,9024,10421,9947,10000,134.54
豆粕ETF,159985,2.351,9975,10006,商品，农产品,0.60%,华夏基金,2019-12-05,大商所豆粕期货价格指数,9597.08,10298,11697,12896,20533,10000,9.25
证券ETF,512880,0.987,10030,9990,行业，金融，证券,0.60%,国泰基金,2016-08-08,证券公司指数,131306.64,10422,11358,11612,8294,12802,316.75
医药ETF,512010,0.442,9933,10000,行业，医药,0.60%,易方达基金,2013-10-28,300医药指数,59503.07,10327,9247,9247,6471,11348,205.11
科创50ETF,588000,0.935,10011,9987,宽基，中小盘，科创板,0.60%,华夏基金,2020-11-16,科创50指数,268118.59,10032,9322,8341,10000,10000,946.73
恒生医疗ETF,513060,0.515,9904,10000,跨境，香港，医药，医疗保健,0.65%,博时基金,2021-03-29,恒生医疗保健指数,173875.94,10865,8598,9791,10000,10000,131.11
光伏ETF,515790,0.936,10011,10003,主题，光伏，新兴产业,0.60%,华泰柏瑞基金,2020-12-18,光伏产业指数,38784.32,9258,6812,5690,10000,10000,136.18
中概互联网ETF,513050,1.01,9902,10000,跨境，中概股,0.85%,易方达基金,2017-01-18,中国互联网50指数,69973.37,10110,9702,10966,4589,8655,348.42
通信ETF,515880,1.054,10203,10001,行业，TMT，通信,0.60%,国泰基金,2019-09-06,通信设备指数,14794.84,9436,12807,11923,9254,10000,25.79
创业板ETF,159915,1.967,9929,9981,宽基，中小盘,0.60%,易方达基金,2011-12-09,创业板指,128418.35,10072,8631,8254,7459,15295,397.92
消费ETF,159928,0.908,9956,9992,行业，消费，必选消费,0.60%,汇添富基金,2013-09-16,中证消费指数,17541.12,9967,8697,9629,7879,20404,104.58
煤炭ETF,515220,2.174,10074,10006,行业，煤炭，资源,0.60%,国泰基金,2020-03-02,中证煤炭指数,10249.68,9564,10211,9262,19827,10000,26.93
芯片ETF,159995,1.021,10020,9986,行业，半导体，芯片,0.60%,华夏基金,2020-02-10,国证芯片指数,55686.4,10793,10210,9358,8494,10000,266.56
恒生互联网ETF,513330,0.398,9900,10000,跨境，香港，互联网,0.65%,华夏基金,2021-02-08,恒生互联网科技业指数,207372.05,10051,8596,10051,10000,10000,289.22
上证50ETF,510050,2.522,9957,10001,宽基，大盘股,0.60%,华夏基金,2005-02-23,上证50指数,149308.5,9764,9521,10207,7713,10704,643.34
芯片ETF,512760,0.989,10041,9997,行业，半导体，芯片,0.60%,国泰基金,2019-06-12,中华半导体人民币指数,38972.43,10844,10589,9621,8325,10000,180.01
标普500ETF,513500,1.492,9987,10000,跨境，美国,0.85%,博时基金,2014-01-15,标准普尔500指数,13431.02,10143,11888,11702,13713,16926,75.86
军工ETF,512660,0.978,9959,9984,行业，军工,0.60%,国泰基金,2016-08-08,中证军工指数,21560.77,9741,9089,8096,9253,14818,97.39
创业板50ETF,159949,0.848,9918,9993,宽基，中小盘,0.60%,华安基金,2016-07-22,创业板50指数,57281.91,10107,8241,7903,7531,17630,180.13
汽车ETF,516110,1.077,9991,10005,行业，汽车,0.60%,国泰基金,2021-05-07,800汽车指数,13555.62,10277,11069,10366,10000,10000,14.91
恒生科技ETF,513130,0.553,9893,10000,跨境，香港，科技,0.25%,华泰柏瑞基金,2021-06-01,恒生科技指数,163646.94,10676,10110,12289,10000,10000,134.26
中证1000ETF,512100,2.459,10033,9992,宽基，中小盘,0.60%,南方基金,2016-11-04,中证1000指数,91679.15,10041,9809,9138,9614,16284,121.13
旅游ETF,159766,0.754,9895,9999,主题，旅游,0.60%,富国基金,2021-07-23,中证旅游指数,7389.89,9218,6678,7202,10000,10000,37.49
游戏ETF,159869,1.108,10018,9990,主题，游戏,0.60%,华夏基金,2021-03-05,动漫游戏指数,45136.88,10184,14522,15453,10000,10000,60.62
新能源车ETF,515030,1.291,9916,9992,主题，新兴产业，新能源车,0.60%,华夏基金,2020-03-04,CS新能车指数,17902.31,10023,7694,6717,9348,10000,95.71
人工智能ETF,159819,0.773,10171,9995,主题，新兴产业，人工智能,0.20%,易方达基金,2020-09-23,CS人工智能指数,21733.5,9949,11486,11122,7653,10000,40.79
恒生科技30ETF,513010,0.566,9895,10000,跨境，香港，科技,0.25%,易方达基金,2021-05-25,恒生科技指数,39204.66,10639,10198,12331,10000,10000,50.98
恒生ETF,159920,1.063,9843,10000,跨境，香港,0.75%,华夏基金,2012-10-22,香港恒生指数,62091.44,10105,9474,11225,7782,7626,156.62
日经ETF,513520,1.186,9850,10000,跨境，日本,0.25%,华夏基金,2019-06-25,日经225指数,4128.55,9975,11559,11789,10394,10000,5.05
红利ETF,510880,2.957,10007,10007,策略，红利,0.60%,华泰柏瑞基金,2007-01-18,红利指数,24333.79,9610,10843,10973,12003,13868,161.7
新能源ETF,516160,0.689,9928,9989,主题，新能源，新兴产业,0.20%,南方基金,2021-02-04,中证新能指数,19803.26,9583,6981,5991,10000,10000,64.58
创业板成长ETF,159967,0.431,10023,9984,策略，动量，成长,0.60%,华夏基金,2019-07-15,创成长指数,10748.68,9773,7655,7232,7575,10000,42.08
德国ETF,513030,1.148,9863,10000,跨境，德国,1.00%,华安基金,2014-09-05,德国DAX指数,2162.52,9991,11113,12097,11255,11288,5.06
生物医药ETF,512290,1.185,9933,10004,行业，医药，生物科技,0.60%,国泰基金,2019-05-20,CS生医指数,14220.34,10618,9801,9115,6037,10000,53.23
银行ETF,512800,1.086,9991,10015,行业，金融，银行,0.60%,华宝基金,2017-08-03,中证银行指数,18170.2,9662,10074,11219,9864,11127,68.07
纳指ETF,159941,0.838,10000,10000,跨境，美国,1.05%,广发基金,2015-07-13,纳斯达克100指数,48744.76,10295,13967,13738,13160,21350,157.21
上证指数ETF,510210,0.815,9988,9992,宽基，综合,0.60%,富国基金,2011-03-25,上证指数,19241.42,9749,10332,10437,10054,14567,61.94
中概互联ETF,159605,0.758,9857,10000,跨境，中概股,0.60%,广发基金,2021-12-02,中国互联网30人民币指数,96516.65,10285,9428,11608,10000,10000,81.62
中证500ETF,510500,5.709,10016,9994,宽基，中小盘,0.60%,南方基金,2013-03-15,中证500指数,138123.16,9857,9698,9272,9405,13810,576.92
