fund_id,fund_nm,index_id,fee,m_fee,t_fee,creation_unit,issuer_nm,urls,eval_flg,ex_dt,ex_info,amount,amount_notes,unit_total,unit_incr,price,volume,last_dt,last_time,increase_rt,estimate_value,last_est_time,discount_rt,fund_nav,nav_dt,index_nm,index_increase_rt,idx_price_dt,owned,holded,pe,pb
159601,A50,-,0.60,0.50,0.10,260.0,华夏基金,https://www.chinaamc.com/fund/159601/index.shtml,Y,,,500739,,38.11,-0.02,0.761,7200.09,2023-08-21,15:14:42,-1.17,0.7596,23:05:01,0.18,0.7596,2023-08-21,中国A50互联互通,-1.41,2023-08-21,0,0,-,-
159602,中国A50,-,0.60,0.50,0.10,200.0,南方基金,http://www.nffund.com/main/jjcp/fundproduct/159602.shtml,Y,,,196054,,14.88,0.00,0.759,1362.91,2023-08-21,15:14:48,-1.17,0.7581,23:05:01,0.13,0.7580,2023-08-21,中国A50互联互通,-1.41,2023-08-21,0,0,-,-
159603,双创天弘,-,0.60,0.50,0.10,100.0,天弘基金,http://www.thfund.com.cn/fundinfo/159603,Y,,,237107,,19.25,0.02,0.812,184.21,2023-08-21,15:14:54,-1.34,0.8096,23:05:01,0.30,0.8096,2023-08-21,科创创业50,-1.58,2023-08-21,0,0,-,-
159606,500成长,-,0.60,0.50,0.10,100.0,易方达,https://www.efunds.com.cn/fund/159606.shtml,Y,,,62022,,4.80,0.01,0.774,891.81,2023-08-21,15:14:57,-0.90,0.7721,23:05:01,0.22,0.7723,2023-08-21,500质量,-1.04,2023-08-21,0,0,-,-
159608,稀有金属,-,0.60,0.50,0.10,80.0,广发基金,http://www.gffunds.com.cn/funds/?fundcode=159608&fromSearch=1,Y,,,40881,,2.52,0.08,0.616,1411.11,2023-08-21,15:14:48,-1.12,0.6142,23:05:01,0.26,0.6144,2023-08-21,CS稀金属,-1.31,2023-08-21,0,0,-,-
159609,光伏龙头,-,0.60,0.50,0.10,0.0,浦银安盛,https://www.py-axa.com/productDetails?fundCode=159609,Y,,,45290,,2.77,0.01,0.611,1424.56,2023-08-21,15:14:51,-2.86,0.6103,23:05:01,0.07,0.6106,2023-08-21,光伏产业,-2.79,2023-08-21,0,0,-,-
159610,500增强,000905,0.60,0.50,0.10,100.0,景顺长城,http://www.igwfmc.com/main/jjcp/product/159610/detail.html,Y,,,59757,,4.74,0.01,0.794,1411.25,2023-08-21,15:14:51,-1.49,0.7947,23:05:01,-0.16,0.7953,2023-08-21,中证500,-1.16,2023-08-21,0,0,-,-
159611,电力ETF,-,0.60,0.50,0.10,80.0,广发基金,http://www.gffunds.com.cn/funds/?fundcode=159611&fromSearch=1,Y,,,282556,,25.43,0.07,0.900,9706.70,2023-08-21,15:14:54,-1.32,0.9010,23:05:01,-0.11,0.9010,2023-08-21,电力指数,-1.12,2023-08-21,0,0,-,-
159613,嘉实信安,399994,0.60,0.50,0.10,100.0,嘉实基金,https://www.jsfund.cn/main/fund/159613/fundManager.shtml,Y,,,10759,,0.91,0.00,0.847,550.88,2023-08-21,15:14:42,-0.35,0.8482,23:05:01,-0.13,0.8481,2023-08-21,信息安全,-0.14,2023-08-21,0,0,-,-
159616,农牧ETF,-,0.60,0.50,0.10,100.0,建信基金,https://www.ccbfund.cn/fund_info/info.jspx?fundCode=159616,Y,,,11756,,0.88,0.00,0.751,302.47,2023-08-21,15:14:03,-1.18,0.7496,23:05:01,0.15,0.7499,2023-08-21,农牧主题,-1.34,2023-08-21,0,0,-,-
159617,500价值,-,0.60,0.50,0.10,100.0,华夏基金,http://www.chinaamc.com/fund/159617/index.shtml,Y,,,4742,,0.50,0.01,1.063,81.38,2023-08-21,15:14:57,-0.93,1.0646,23:05:01,-0.14,1.0645,2023-08-21,500价值稳健,-0.90,2023-08-21,0,0,-,-
159618,光伏华安,-,0.60,0.50,0.10,100.0,华安基金,https://www.huaan.com.cn/funds/159618/index.shtml,Y,,,26213,,2.21,0.03,0.844,679.64,2023-08-21,15:14:06,-2.65,0.8405,23:05:01,0.40,0.8406,2023-08-21,光伏产业,-2.79,2023-08-21,0,0,-,-
159619,基建ETF,-,0.60,0.50,0.10,100.0,国泰基金,https://e.gtfund.com/Etrade/Jijin/view/id/159619,Y,,,33698,,3.32,0.00,0.986,2902.05,2023-08-21,15:15:00,-0.70,0.9875,23:05:01,-0.16,0.9876,2023-08-21,中证基建,-0.48,2023-08-21,0,0,-,-
159620,500创新,-,0.60,0.50,0.10,100.0,华夏基金,https://www.chinaamc.com/fund/159620/index.shtml,Y,,,2514,,0.22,-0.01,0.880,166.76,2023-08-21,15:15:00,-1.79,0.8789,23:05:01,0.14,0.8788,2023-08-21,500成长创新,-1.30,2023-08-21,0,0,-,-
159623,成渝ETF,-,0.45,0.40,0.05,100.0,博时基金,https://www.bosera.com/fund/159623.html,Y,,,391927,,32.73,0.00,0.835,1473.36,2023-08-21,15:14:03,-0.83,0.8326,23:05:01,0.29,0.8326,2023-08-21,成渝经济圈,-0.95,2023-08-21,0,0,-,-
159625,绿色电力,399438,0.60,0.50,0.10,40.0,嘉实基金,https://www.jsfund.cn/main/fund/159625/fundManager.shtml,Y,,,41971,,4.45,-0.01,1.060,3793.74,2023-08-21,15:14:06,-0.84,1.0615,23:05:01,-0.14,1.0615,2023-08-21,绿色电力,-0.89,2023-08-21,0,0,-,-
159627,中证100,000903,0.60,0.50,0.10,200.0,华夏基金,https://www.chinaamc.com/fund/159627/index.shtml,Y,,,3312,,0.33,0.00,0.990,355.03,2023-08-21,15:14:15,-1.20,0.9882,23:05:01,0.17,0.9883,2023-08-21,中证100,-1.29,2023-08-21,0,0,-,-
159628,国证2000,399303,0.60,0.50,0.10,300.0,万家基金,https://www.wjasset.com/products/etf/159628/index.html,Y,,,83328,,7.99,0.06,0.959,10835.27,2023-08-21,15:14:18,-0.72,0.9578,23:05:01,0.17,0.9574,2023-08-21,国证2000,-0.75,2023-08-21,0,0,-,-
159629,1000ETF,000852,0.60,0.50,0.10,300.0,富国基金,https://www.fullgoal.com.cn/funds/zhishu/159629/index.html,Y,,,289825,1拆0.752079,70.49,2.24,2.432,118704.77,2023-08-21,15:14:09,-1.18,2.4360,23:05:01,-0.17,2.4361,2023-08-21,中证1000,-0.98,2023-08-21,0,0,-,-
159630,中证100F,000903,0.20,0.15,0.05,200.0,汇添富,https://www.99fund.com/main/products/pofund/159630/fundgk.shtml,Y,,,2311,,0.24,0.00,1.027,197.37,2023-08-21,15:14:21,-1.44,1.0272,23:05:01,-0.05,1.0275,2023-08-21,中证100,-1.29,2023-08-21,0,0,-,-
159631,中证100P,000903,0.60,0.50,0.10,200.0,招商基金,http://www.cmfchina.com/main/159631/fundinfo.shtml,Y,,,24333,,2.21,0.00,0.909,1803.67,2023-08-21,15:14:24,-0.87,0.9063,23:05:01,0.25,0.9067,2023-08-21,中证100,-1.29,2023-08-21,0,0,-,-
159633,ZZ1000,000852,0.60,0.50,0.10,280.0,易方达,https://www.efunds.com.cn/fund/159633.shtml,Y,,,335916,1拆0.753236,81.46,0.75,2.425,89526.63,2023-08-21,15:14:48,-1.22,2.4279,23:05:01,-0.12,2.4278,2023-08-21,中证1000,-0.98,2023-08-21,0,0,-,-
159635,基建50,-,0.60,0.50,0.10,100.0,华夏基金,https://www.chinaamc.com/fund/159635/index.shtml,Y,,,18085,,1.91,0.00,1.056,1185.40,2023-08-21,15:14:03,-0.47,1.0552,23:05:01,0.08,1.0552,2023-08-21,中证基建,-0.48,2023-08-21,0,0,-,-
159636,港科技30,-,0.52,0.45,0.07,100.0,工银瑞信,https://www.icbccs.com.cn/gyrx/jjcp/etf/ganggutongkj30/index.html,Y,,,281825,,23.19,0.01,0.823,2406.26,2023-08-21,15:14:27,-1.56,0.8117,23:05:01,1.68,0.8094,2023-08-21,港股通科技,-2.10,2023-08-21,0,0,-,-
159637,新能龙头,399976,0.55,0.50,0.05,100.0,西藏东财,https://www.dongcaijijin.com/fund/cpxq?fcode=159637,Y,,,185277,,12.75,0.06,0.688,4294.08,2023-08-21,15:14:30,-1.99,0.6871,23:05:01,0.12,0.6872,2023-08-21,CS新能车,-1.88,2023-08-21,0,0,-,-
159638,高端装备,-,0.60,0.50,0.10,100.0,嘉实基金,https://www.jsfund.cn/main/fund/159638/fundManager.shtml,Y,,,199634,,16.31,-0.09,0.817,5910.39,2023-08-21,15:14:51,-1.68,0.8156,23:05:01,0.16,0.8157,2023-08-21,高装细分50,-1.92,2023-08-21,0,0,-,-
159639,碳中和NF,-,0.60,0.50,0.10,200.0,南方基金,https://www.nffund.com/main/jjcp/fundproduct/159639.shtml,Y,,,156329,,11.96,0.00,0.765,1332.65,2023-08-21,15:14:06,-1.42,0.7635,23:05:01,0.18,0.7636,2023-08-21,SEEE碳中和,-1.57,2023-08-21,0,0,-,-
159640,碳中和ET,-,0.55,0.45,0.10,100.0,工银瑞信,https://www.icbccs.com.cn/gyrx/jjcp/etf/tanzhongheltetf/index.html,Y,,,49385,,3.78,0.00,0.766,670.65,2023-08-21,15:14:33,-1.29,0.7632,23:05:01,0.34,0.7634,2023-08-21,SEEE碳中和,-1.57,2023-08-21,0,0,-,-
159641,双碳ETF,-,0.60,0.50,0.10,100.0,招商基金,http://www.cmfchina.com/main/159641/fundinfo.shtml,Y,,,54072,,4.22,-0.01,0.780,1405.64,2023-08-21,15:14:12,-1.39,0.7788,23:05:01,0.13,0.7790,2023-08-21,SEEE碳中和,-1.57,2023-08-21,0,0,-,-
159642,DC碳中和,-,0.60,0.50,0.10,100.0,大成基金,https://www.dcfund.com.cn/dcjj/159642/index.jhtml,Y,,,21644,,1.68,0.00,0.775,1339.49,2023-08-21,15:14:36,-1.40,0.7731,23:05:01,0.19,0.7735,2023-08-21,SEEE碳中和,-1.57,2023-08-21,0,0,-,-
159643,疫苗ETF,-,0.60,0.50,0.10,100.0,国泰基金,https://e.gtfund.com/Etrade/Jijin/view/id/159643,Y,,,10639,,0.80,0.00,0.754,1544.85,2023-08-21,15:14:54,-1.05,0.7532,23:05:01,0.09,0.7533,2023-08-21,疫苗生科,-0.71,2023-08-21,0,0,-,-
159645,疫苗龙头,-,0.60,0.50,0.10,100.0,富国基金,https://www.fullgoal.com.cn/funds/zhishu/159645/index.html,Y,,,3054,,0.26,0.00,0.855,495.82,2023-08-21,15:14:39,-0.70,0.8550,23:05:01,0.01,0.8549,2023-08-21,疫苗生科,-0.71,2023-08-21,0,0,-,-
159646,疫苗,-,0.60,0.50,0.10,100.0,华泰柏瑞,https://www.huatai-pb.com/products/zhishu/159646/summary/index.html,Y,,,2871,,0.22,0.00,0.755,130.78,2023-08-21,15:14:09,-0.66,0.7549,23:05:01,0.00,0.7550,2023-08-21,疫苗生科,-0.71,2023-08-21,0,0,-,-
159647,中药ETF,-,0.60,0.50,0.10,50.0,鹏华基金,https://www.phfund.com.cn/web/FUND_159647,Y,,,90596,,9.74,-0.03,1.075,6245.59,2023-08-21,15:14:42,-0.46,1.0756,23:05:01,-0.07,1.0758,2023-08-21,中证中药,-0.57,2023-08-21,0,0,-,-
159652,有色基金,000811,0.60,0.50,0.10,100.0,汇添富,https://www.99fund.com/main/products/pofund/159652/fundgk.shtml,Y,,,40032,,3.39,0.00,0.847,201.33,2023-08-21,15:14:45,-1.05,0.8477,23:05:01,-0.07,0.8476,2023-08-21,细分有色,-0.98,2023-08-21,0,0,-,-
159653,ESG300,399378,0.56,0.50,0.06,300.0,国联安,https://www.cpicfunds.com/product/159653/index.shtml,Y,,,1397,,0.13,0.00,0.944,1.21,2023-08-21,15:14:03,-1.26,0.9357,23:05:01,0.80,0.9365,2023-08-21,ESG 300,-1.24,2023-08-21,0,0,-,-
159656,300成长,-,0.60,0.50,0.10,200.0,万家基金,https://www.wjasset.com/products/etf/159656/index.html,Y,,,15624,,1.37,0.00,0.875,542.06,2023-08-21,15:14:21,-1.35,0.8721,23:05:01,0.29,0.8725,2023-08-21,300成长,-1.61,2023-08-21,0,0,-,-
