name,code,close,rate,premium,tag,mtexp,fundfirm,listdate,index,avgamount,m1,y0,y1,y3,y5,scale
纳指ETF,513100,1.154,10026,10000,跨境，美国,0.80%,国泰基金,2013-05-15,纳斯达克100指数,19218.68,10959,14443,13341,13381,23942,92.22
半导体ETF,512480,0.847,10000,10010,行业，半导体，芯片,0.60%,国联安基金,2019-06-12,半导体指数,91004.57,10367,10279,9803,7872,10000,268.12
黄金ETF,518880,4.56,10031,10000,商品，黄金,0.60%,华安基金,2013-07-29,黄金9999指数,54325.78,9915,11440,11518,12258,16752,120.91
恒生科技指数ETF,513180,0.542,9927,10000,跨境，香港，科技,0.65%,华夏基金,2021-05-25,恒生科技指数,203596.99,10324,9872,11315,10000,10000,215.86
豆粕ETF,159985,2.234,10004,9992,商品，农产品,0.60%,华夏基金,2019-12-05,大商所豆粕期货价格指数,5529.34,9924,11114,11959,19013,10000,9.25
证券ETF,512880,0.945,9989,10010,行业，金融，证券,0.60%,国泰基金,2016-08-08,证券公司指数,71504.18,9979,10875,10788,7784,12353,316.75
恒生医疗ETF,513060,0.507,10120,10000,跨境，香港，医药，医疗保健,0.65%,博时基金,2021-03-29,恒生医疗保健指数,104732.31,10519,8464,9354,10000,10000,131.11
港股创新药ETF,513120,0.89,10183,10000,跨境，香港，医药,0.60%,广发基金,2022-07-12,港股创新药港币指数,154963.45,10385,9072,10000,10000,10000,40.66
创新药ETF,159992,0.888,10207,10014,行业，医药,0.55%,银华基金,2020-04-10,CS创新药指数,27843.58,10398,9477,9417,7231,10000,85.4
煤炭ETF,515220,2.349,10017,10007,行业，煤炭，资源,0.60%,国泰基金,2020-03-02,中证煤炭指数,13700.94,10697,11033,10007,19193,10000,26.93
科创50ETF,588000,0.913,10044,9992,宽基，中小盘，科创板,0.60%,华夏基金,2020-11-16,科创50指数,228239.94,10077,9103,8737,6559,10000,946.73
医疗ETF,512170,0.417,10171,10002,行业，医药,0.60%,华宝基金,2019-06-17,中证医疗指数,35452.0,10246,8209,8424,6184,10000,270.03
酒ETF,512690,0.734,9986,9996,行业，食品饮料，酒,0.60%,鹏华基金,2019-05-06,中证酒指数,36757.56,9774,8635,10138,9041,10000,134.54
沪深300ETF,510300,3.585,10011,9996,宽基，大盘股,0.60%,华泰柏瑞基金,2012-05-28,沪深300指数,272554.76,9860,9246,9490,7411,12173,1200.4
创业板ETF,159915,1.89,10064,10004,宽基，中小盘,0.60%,易方达基金,2011-12-09,创业板指,102828.36,10048,8293,8430,7464,15084,397.92
游戏ETF,159869,1.06,10057,10007,主题，游戏,0.60%,华夏基金,2021-03-05,动漫游戏指数,27324.76,10838,13893,13984,10000,10000,60.62
光伏ETF,515790,0.885,10034,10002,主题，光伏，新兴产业,0.60%,华泰柏瑞基金,2020-12-18,光伏产业指数,30387.53,9526,6441,6087,10000,10000,136.18
军工ETF,512660,0.989,10020,10009,行业，军工,0.60%,国泰基金,2016-08-08,中证军工指数,19765.84,10259,9191,8698,8822,15122,97.39
创业板50ETF,159949,0.803,10063,9993,宽基，中小盘,0.60%,华安基金,2016-07-22,创业板50指数,47631.13,9988,7804,7950,7484,17269,180.13
德国ETF,513030,1.219,9943,10000,跨境，德国,1.00%,华安基金,2014-09-05,德国DAX指数,1006.2,10903,11801,11225,11112,12227,5.06
芯片ETF,159995,0.973,9979,10005,行业，半导体，芯片,0.60%,华夏基金,2020-02-10,国证芯片指数,36932.76,10199,9730,9293,8108,10000,266.56
中概互联ETF,159605,0.758,9857,10000,跨境，中概股,0.60%,广发基金,2021-12-02,中国互联网30人民币指数,68332.8,10174,9428,11163,10000,10000,81.62
中概互联网ETF,513050,0.989,9910,10000,跨境，中概股,0.85%,易方达基金,2017-01-18,中国互联网50指数,43286.46,9950,9500,10521,4583,8744,348.42
芯片ETF,512760,0.946,10011,10008,行业，半导体，芯片,0.60%,国泰基金,2019-06-12,中华半导体人民币指数,28860.37,10271,10128,9633,7950,10000,180.01
通信ETF,515880,1.029,9981,10003,行业，TMT，通信,0.60%,国泰基金,2019-09-06,通信设备指数,9299.53,10269,12503,12235,9245,10000,25.79
云计算ETF,516510,0.924,9978,10003,主题，TMT，互联网,0.20%,易方达基金,2021-04-07,云计算指数,9565.88,10572,11521,11667,10000,10000,10.52
上证50ETF,510050,2.406,9996,9998,宽基，大盘股,0.60%,华夏基金,2005-02-23,上证50指数,143920.43,9802,9229,9591,7163,10831,643.34
恒生互联网ETF,513330,0.385,9847,10000,跨境，香港，互联网,0.65%,华夏基金,2021-02-08,恒生互联网科技业指数,162376.67,10026,8315,9625,10000,10000,289.22
人工智能ETF,159819,0.757,9961,9996,主题，新兴产业，人工智能,0.20%,易方达基金,2020-09-23,CS人工智能指数,13312.15,10499,11248,11083,7820,10000,40.79
医药ETF,512010,0.436,10140,9984,行业，医药,0.60%,易方达基金,2013-10-28,300医药指数,47539.72,10235,9121,9376,6789,11459,205.11
消费ETF,159928,0.889,9966,9986,行业，消费，必选消费,0.60%,汇添富基金,2013-09-16,中证消费指数,10647.85,9989,8515,9632,7619,20168,104.58
创业板成长ETF,159967,0.415,10000,9984,策略，动量，成长,0.60%,华夏基金,2019-07-15,创成长指数,8782.62,10147,7371,7532,7671,10000,42.08
房地产ETF,512200,0.579,9897,10000,行业，金融，房地产,0.60%,南方基金,2017-09-25,房地产指数,21856.54,10087,8042,7710,6233,7761,46.64
红利低波100ETF,515100,1.764,10040,9999,策略，低波动，红利,0.60%,景顺长城基金,2020-07-03,红利低波100指数,42149.79,10092,11575,11529,14169,10000,19.71
恒生科技ETF,513130,0.537,9926,10000,跨境，香港，科技,0.25%,华泰柏瑞基金,2021-06-01,恒生科技指数,149951.7,10190,9817,11258,10000,10000,134.26
汽车ETF,516110,1.117,10155,10029,行业，汽车,0.60%,国泰基金,2021-05-07,800汽车指数,15406.93,10248,11480,11563,10000,10000,14.91
恒生ETF,159920,1.031,9942,10000,跨境，香港,0.75%,华夏基金,2012-10-22,香港恒生指数,50023.8,9791,9189,10078,7220,7266,156.62
中证1000ETF,512100,2.469,10037,9989,宽基，中小盘,0.60%,南方基金,2016-11-04,中证1000指数,66117.0,10361,9848,9482,9643,16117,121.13
纳指ETF,159941,0.871,10035,10000,跨境，美国,1.05%,广发基金,2015-07-13,纳斯达克100指数,25728.39,10956,14517,13318,13999,23227,157.21
标普500ETF,513500,1.535,10007,10000,跨境，美国,0.85%,博时基金,2014-01-15,标准普尔500指数,11624.39,10712,12231,11229,13687,17901,75.86
传媒ETF,512980,0.765,10053,10007,行业，TMT，传媒,0.60%,广发基金,2018-01-19,中证传媒指数,14193.26,10820,12771,13374,8586,11201,43.75
新能源ETF,516160,0.647,10047,10013,主题，新能源，新兴产业,0.20%,南方基金,2021-02-04,中证新能指数,17240.03,9459,6555,6251,10000,10000,64.58
日经ETF,513520,1.229,10008,10000,跨境，日本,0.25%,华夏基金,2019-06-25,日经225指数,4127.06,10696,11979,11183,9935,10000,5.05
旅游ETF,159766,0.754,9960,9976,主题，旅游,0.60%,富国基金,2021-07-23,中证旅游指数,6737.48,10040,6678,7996,10000,10000,37.49
教育ETF,513360,0.618,9904,10000,跨境，教育,0.65%,博时基金,2021-06-17,中国教育人民币指数,5494.62,10564,11727,13642,10000,10000,3.86
新能源车ETF,515030,1.213,10083,9997,主题，新兴产业，新能源车,0.60%,华夏基金,2020-03-04,CS新能车指数,14586.45,9551,7229,7016,9005,10000,95.71
养殖ETF,159865,0.672,9926,9973,行业，畜牧养殖,0.60%,国泰基金,2021-03-08,中证畜牧指数,12768.0,10402,8582,8571,10000,10000,56.79
纳斯达克ETF,513300,1.432,10021,10000,跨境，美国,0.80%,华夏基金,2020-11-05,纳斯达克100指数,8475.11,10956,14249,13333,14108,10000,39.58
软件ETF,515230,0.784,10026,10004,主题，新兴产业，软件,0.60%,国泰基金,2021-03-02,软件指数,6247.56,10316,9987,9962,10000,10000,12.36
生物医药ETF,512290,1.199,10178,10003,行业，医药，生物科技,0.60%,国泰基金,2019-05-20,CS生医指数,11675.78,10555,9917,9456,6606,10000,53.23
恒生科技30ETF,513010,0.554,9928,10000,跨境，香港，科技,0.25%,易方达基金,2021-05-25,恒生科技指数,32707.91,10336,9982,11399,10000,10000,50.98
科创100ETF,588190,1.035,10127,10010,,0.60%,银华基金,2023-09-15,科创100指数,32956.97,10572,10000,10000,10000,10000,13.57
农业ETF,159825,0.747,9973,10013,行业，农业,0.60%,富国基金,2020-12-29,中证农业指数,6834.53,10361,8706,8768,10000,10000,28.63
国债ETF,511010,132.055,9999,10000,债券，国债，利率债,0.40%,国泰基金,2013-03-25,5年国债指数,39580.61,10016,10229,10237,10959,11511,17.13
