name,code,close,rate,premium,tag,mtexp,fundfirm,listdate,index,avgamount,m1,y0,y1,y3,y5,scale
纳指ETF,513100,1.178,10120,10000,跨境，美国,0.80%,国泰基金,2013-05-15,纳斯达克100指数,38104.08,10556,14743,14142,14000,24552,92.22
黄金ETF,518880,4.539,9961,10000,商品，黄金,0.60%,华安基金,2013-07-29,黄金9999指数,55965.18,9967,11387,11567,12140,16428,120.91
半导体ETF,512480,0.832,10000,10001,行业，半导体，芯片,0.60%,国联安基金,2019-06-12,半导体指数,77333.95,9574,10097,9487,7868,10000,268.12
港股创新药ETF,513120,0.789,10090,10000,跨境，香港，医药,0.60%,广发基金,2022-07-12,港股创新药港币指数,159002.51,8757,8043,8253,10000,10000,40.66
豆粕ETF,159985,2.279,10151,9971,商品，农产品,0.60%,华夏基金,2019-12-05,大商所豆粕期货价格指数,8223.49,9883,11338,11723,20150,10000,9.25
科创50ETF,588000,0.917,9935,10025,宽基，中小盘，科创板,0.60%,华夏基金,2020-11-16,科创50指数,250098.2,9850,9143,8784,6569,10000,946.73
游戏ETF,159869,1.181,9958,10000,主题，游戏,0.60%,华夏基金,2021-03-05,动漫游戏指数,61125.36,10678,15478,15199,10000,10000,60.62
煤炭ETF,515220,2.395,10063,9993,行业，煤炭，资源,0.60%,国泰基金,2020-03-02,中证煤炭指数,11168.51,10611,11249,10290,19720,10000,26.93
恒生科技指数ETF,513180,0.508,10160,10000,跨境，香港，科技,0.65%,华夏基金,2021-05-25,恒生科技指数,264900.01,9460,9253,8804,10000,10000,215.86
酒ETF,512690,0.699,10058,9998,行业，食品饮料，酒,0.60%,鹏华基金,2019-05-06,中证酒指数,40851.22,9271,8224,8224,8072,10000,134.54
恒生医疗ETF,513060,0.451,10000,10000,跨境，香港，医药，医疗保健,0.65%,博时基金,2021-03-29,恒生医疗保健指数,121572.41,8895,7529,7357,10000,10000,131.11
沪深300ETF,510300,3.493,10023,9998,宽基，大盘股,0.60%,华泰柏瑞基金,2012-05-28,沪深300指数,296478.76,9557,9009,8743,7369,11743,1200.4
证券ETF,512880,0.936,9957,9981,行业，金融，证券,0.60%,国泰基金,2016-08-08,证券公司指数,92589.64,9600,10771,10196,8021,12251,316.75
医疗ETF,512170,0.399,9925,10038,行业，医药,0.60%,华宝基金,2019-06-17,中证医疗指数,38826.54,9477,7854,7854,5519,10000,270.03
德国ETF,513030,1.272,9976,10000,跨境，德国,1.00%,华安基金,2014-09-05,德国DAX指数,2878.3,10994,12314,12091,11543,13305,5.06
标普500ETF,513500,1.567,10051,10000,跨境，美国,0.85%,博时基金,2014-01-15,标准普尔500指数,13315.36,10496,12486,12008,13837,18566,75.86
创新药ETF,159992,0.842,9918,9996,行业，医药,0.55%,银华基金,2020-04-10,CS创新药指数,21932.39,9461,8986,8938,6594,10000,85.4
教育ETF,513360,0.647,10303,10000,跨境，教育,0.65%,博时基金,2021-06-17,中国教育人民币指数,11250.74,11155,12277,12992,10000,10000,3.86
创业板ETF,159915,1.856,9936,10005,宽基，中小盘,0.60%,易方达基金,2011-12-09,创业板指,116186.74,9494,8144,7905,7136,14534,397.92
光伏ETF,515790,0.83,9905,10016,主题，光伏，新兴产业,0.60%,华泰柏瑞基金,2020-12-18,光伏产业指数,29856.03,8820,6041,5808,10000,10000,136.18
通信ETF,515880,1.06,9851,10002,行业，TMT，通信,0.60%,国泰基金,2019-09-06,通信设备指数,16599.38,10115,12880,12398,9972,10000,25.79
恒生ETF,159920,0.978,10135,10000,跨境，香港,0.75%,华夏基金,2012-10-22,香港恒生指数,55149.16,9386,8717,8693,7021,7061,156.62
上证50ETF,510050,2.337,10056,9998,宽基，大盘股,0.60%,华夏基金,2005-02-23,上证50指数,222730.52,9536,8964,8769,7114,10423,643.34
恒生互联网ETF,513330,0.36,10112,10000,跨境，香港，互联网,0.65%,华夏基金,2021-02-08,恒生互联网科技业指数,214984.63,9326,7775,7627,10000,10000,289.22
日经ETF,513520,1.242,9968,10000,跨境，日本,0.25%,华夏基金,2019-06-25,日经225指数,3567.3,10428,12105,11640,10057,10000,5.05
军工ETF,512660,0.968,10052,9998,行业，军工,0.60%,国泰基金,2016-08-08,中证军工指数,22295.11,9918,8996,8697,8881,14915,97.39
人工智能ETF,159819,0.79,9925,10011,主题，新兴产业，人工智能,0.20%,易方达基金,2020-09-23,CS人工智能指数,25835.32,10246,11738,11238,8238,10000,40.79
中概互联ETF,159605,0.744,10234,10000,跨境，中概股,0.60%,广发基金,2021-12-02,中国互联网30人民币指数,92030.86,9987,9254,8878,10000,10000,81.62
创业板50ETF,159949,0.79,9925,10000,宽基，中小盘,0.60%,华安基金,2016-07-22,创业板50指数,44209.91,9416,7677,7425,7143,16702,180.13
恒生科技ETF,513130,0.504,10161,10000,跨境，香港，科技,0.25%,华泰柏瑞基金,2021-06-01,恒生科技指数,180155.63,9438,9214,8765,10000,10000,134.26
红利ETF,510880,3.009,10040,9985,策略，红利,0.60%,华泰柏瑞基金,2007-01-18,红利指数,20297.12,10121,11034,10460,12162,14366,161.7
云计算ETF,516510,0.978,9919,10002,主题，TMT，互联网,0.20%,易方达基金,2021-04-07,云计算指数,13073.46,10460,12195,12104,10000,10000,10.52
传媒ETF,512980,0.819,9964,9980,行业，TMT，传媒,0.60%,广发基金,2018-01-19,中证传媒指数,22174.78,10650,13673,13537,9392,11717,43.75
