fund_id,fund_nm,index_id,fee,m_fee,t_fee,creation_unit,issuer_nm,urls,eval_flg,ex_dt,ex_info,amount,amount_notes,unit_total,unit_incr,price,volume,last_dt,last_time,increase_rt,estimate_value,last_est_time,discount_rt,fund_nav,nav_dt,index_nm,index_increase_rt,idx_price_dt,owned,holded,pe,pb
159601,A50,-,0.60,0.50,0.10,260.0,华夏基金,https://www.chinaamc.com/fund/159601/index.shtml,Y,,,484879,,39.42,-0.06,0.813,7361.46,2023-08-03,15:14:45,0.74,0.8135,22:05:01,-0.07,0.8136,2023-08-03,中国A50互联互通,0.96,2023-08-03,0,0,-,-
159602,中国A50,-,0.60,0.50,0.10,200.0,南方基金,http://www.nffund.com/main/jjcp/fundproduct/159602.shtml,Y,,,197854,,16.05,-0.03,0.811,2798.55,2023-08-03,15:14:36,1.00,0.8119,22:05:01,-0.11,0.8119,2023-08-03,中国A50互联互通,0.96,2023-08-03,0,0,-,-
159603,双创天弘,-,0.60,0.50,0.10,100.0,天弘基金,http://www.thfund.com.cn/fundinfo/159603,Y,,,232307,,20.30,0.03,0.874,101.41,2023-08-03,15:14:24,0.81,0.8748,22:05:01,-0.09,0.8748,2023-08-03,科创创业50,0.97,2023-08-03,0,0,-,-
159606,500成长,-,0.60,0.50,0.10,100.0,易方达,https://www.efunds.com.cn/fund/159606.shtml,Y,,,61922,,5.06,-0.03,0.817,442.22,2023-08-03,15:14:39,0.62,0.8180,22:05:01,-0.12,0.8180,2023-08-03,500质量,0.60,2023-08-03,0,0,-,-
159608,稀有金属,-,0.60,0.50,0.10,80.0,广发基金,http://www.gffunds.com.cn/funds/?fundcode=159608&fromSearch=1,Y,,,34961,,2.36,0.02,0.676,1153.29,2023-08-03,15:14:54,-0.15,0.6744,22:05:01,0.25,0.6743,2023-08-03,CS稀金属,-0.30,2023-08-03,0,0,-,-
159609,光伏龙头,-,0.60,0.50,0.10,0.0,浦银安盛,https://www.py-axa.com/productDetails?fundCode=159609,Y,,,42590,,2.90,0.03,0.682,2305.25,2023-08-03,15:14:48,1.49,0.6828,22:05:01,-0.07,0.6825,2023-08-03,光伏产业,1.84,2023-08-03,0,0,-,-
159610,500增强,000905,0.60,0.50,0.10,100.0,景顺长城,http://www.igwfmc.com/main/jjcp/product/159610/detail.html,Y,,,61257,,5.13,-0.05,0.837,1779.98,2023-08-03,15:14:42,0.12,0.8400,22:05:01,-0.31,0.8396,2023-08-03,中证500,0.35,2023-08-03,0,0,-,-
159611,电力ETF,-,0.60,0.50,0.10,80.0,广发基金,http://www.gffunds.com.cn/funds/?fundcode=159611&fromSearch=1,Y,,,307596,,28.76,-0.09,0.935,9778.53,2023-08-03,15:14:45,0.65,0.9369,22:05:01,-0.19,0.9368,2023-08-03,电力指数,0.57,2023-08-03,0,0,-,-
159613,嘉实信安,399994,0.60,0.50,0.10,100.0,嘉实基金,https://www.jsfund.cn/main/fund/159613/fundManager.shtml,Y,,,10959,,0.99,0.00,0.905,511.88,2023-08-03,15:14:51,0.11,0.9051,22:05:01,-0.02,0.9052,2023-08-03,信息安全,-0.12,2023-08-03,0,0,-,-
159616,农牧ETF,-,0.60,0.50,0.10,100.0,建信基金,https://www.ccbfund.cn/fund_info/info.jspx?fundCode=159616,Y,,,12056,,0.97,0.02,0.803,478.34,2023-08-03,15:14:48,0.25,0.8029,22:05:01,0.02,0.8028,2023-08-03,农牧主题,0.31,2023-08-03,0,0,-,-
159617,500价值,-,0.60,0.50,0.10,100.0,华夏基金,http://www.chinaamc.com/fund/159617/index.shtml,Y,,,4542,,0.51,0.00,1.118,522.37,2023-08-03,15:14:51,0.00,1.1206,22:05:01,-0.22,1.1205,2023-08-03,500价值稳健,0.44,2023-08-03,0,0,-,-
159618,光伏华安,-,0.60,0.50,0.10,100.0,华安基金,https://www.huaan.com.cn/funds/159618/index.shtml,Y,,,25113,,2.36,0.01,0.939,1030.32,2023-08-03,15:14:54,1.40,0.9411,22:05:01,-0.20,0.9409,2023-08-03,光伏产业,1.84,2023-08-03,0,0,-,-
159619,基建ETF,-,0.60,0.50,0.10,100.0,国泰基金,https://e.gtfund.com/Etrade/Jijin/view/id/159619,Y,,,34998,,3.71,0.05,1.059,3844.99,2023-08-03,15:14:57,0.28,1.0583,22:05:01,0.07,1.0583,2023-08-03,中证基建,0.37,2023-08-03,0,0,-,-
159620,500创新,-,0.60,0.50,0.10,100.0,华夏基金,https://www.chinaamc.com/fund/159620/index.shtml,Y,,,2714,,0.25,-0.01,0.933,275.01,2023-08-03,15:14:54,0.65,0.9305,22:05:01,0.26,0.9306,2023-08-03,500成长创新,0.22,2023-08-03,0,0,-,-
159623,成渝ETF,-,0.45,0.40,0.05,100.0,博时基金,https://www.bosera.com/fund/159623.html,Y,,,391827,,35.23,0.00,0.899,672.96,2023-08-03,15:14:03,0.67,0.8984,22:05:01,0.07,0.8984,2023-08-03,成渝经济圈,0.57,2023-08-03,0,0,-,-
159625,绿色电力,399438,0.60,0.50,0.10,40.0,嘉实基金,https://www.jsfund.cn/main/fund/159625/fundManager.shtml,Y,,,47131,,5.17,0.00,1.098,3527.06,2023-08-03,15:14:06,0.55,1.1010,22:05:01,-0.27,1.1010,2023-08-03,绿色电力,0.61,2023-08-03,0,0,-,-
159627,中证100,000903,0.60,0.50,0.10,200.0,华夏基金,https://www.chinaamc.com/fund/159627/index.shtml,Y,,,3512,,0.37,0.00,1.060,526.77,2023-08-03,15:14:09,0.76,1.0626,22:05:01,-0.24,1.0625,2023-08-03,中证100,0.79,2023-08-03,0,0,-,-
159628,国证2000,399303,0.60,0.50,0.10,300.0,万家基金,https://www.wjasset.com/products/etf/159628/index.html,Y,,,78528,,7.99,0.00,1.017,8077.53,2023-08-03,15:15:00,-0.10,1.0178,22:05:01,-0.03,1.0173,2023-08-03,国证2000,-0.09,2023-08-03,0,0,-,-
159629,1000ETF,000852,0.60,0.50,0.10,300.0,富国基金,https://www.fullgoal.com.cn/funds/zhishu/159629/index.html,Y,,,248425,1拆0.752079,64.79,-2.40,2.608,93511.03,2023-08-03,15:14:12,0.00,2.6122,22:05:01,-0.16,2.6121,2023-08-03,中证1000,0.05,2023-08-03,0,0,-,-
159630,中证100F,000903,0.20,0.15,0.05,200.0,汇添富,https://www.99fund.com/main/products/pofund/159630/fundgk.shtml,Y,,,2511,,0.28,0.00,1.101,495.91,2023-08-03,15:14:15,0.64,1.1038,22:05:01,-0.23,1.1035,2023-08-03,中证100,0.79,2023-08-03,0,0,-,-
159631,中证100P,000903,0.60,0.50,0.10,200.0,招商基金,http://www.cmfchina.com/main/159631/fundinfo.shtml,Y,,,24933,,2.41,0.00,0.966,1705.48,2023-08-03,15:15:00,0.73,0.9691,22:05:01,-0.33,0.9692,2023-08-03,中证100,0.79,2023-08-03,0,0,-,-
159633,ZZ1000,000852,0.60,0.50,0.10,280.0,易方达,https://www.efunds.com.cn/fund/159633.shtml,Y,,,252716,1拆0.753236,65.68,-4.44,2.599,87052.02,2023-08-03,15:14:33,0.04,2.6040,22:05:01,-0.19,2.6039,2023-08-03,中证1000,0.05,2023-08-03,0,0,-,-
159635,基建50,-,0.60,0.50,0.10,100.0,华夏基金,https://www.chinaamc.com/fund/159635/index.shtml,Y,,,21285,,2.41,0.01,1.131,1343.95,2023-08-03,15:14:03,0.44,1.1321,22:05:01,-0.10,1.1321,2023-08-03,中证基建,0.37,2023-08-03,0,0,-,-
159636,港科技30,-,0.52,0.45,0.07,100.0,工银瑞信,https://www.icbccs.com.cn/gyrx/jjcp/etf/ganggutongkj30/index.html,Y,,,280125,,25.21,0.00,0.900,3814.05,2023-08-03,15:14:36,1.69,0.8915,22:05:01,1.24,0.8890,2023-08-03,港股通科技,0.53,2023-08-03,0,0,-,-
159637,新能龙头,399976,0.55,0.50,0.05,100.0,西藏东财,https://www.dongcaijijin.com/fund/cpxq?fcode=159637,Y,,,183177,,13.76,-0.07,0.751,4601.46,2023-08-03,15:14:06,0.81,0.7523,22:05:01,-0.17,0.7523,2023-08-03,CS新能车,0.67,2023-08-03,0,0,-,-
159638,高端装备,-,0.60,0.50,0.10,100.0,嘉实基金,https://www.jsfund.cn/main/fund/159638/fundManager.shtml,Y,,,206434,,17.44,0.01,0.845,7476.26,2023-08-03,15:14:39,-0.47,0.8440,22:05:01,0.11,0.8441,2023-08-03,高装细分50,-0.50,2023-08-03,0,0,-,-
159639,碳中和NF,-,0.60,0.50,0.10,200.0,南方基金,https://www.nffund.com/main/jjcp/fundproduct/159639.shtml,Y,,,157329,,12.84,-0.02,0.816,1800.26,2023-08-03,15:14:42,0.62,0.8183,22:05:01,-0.28,0.8183,2023-08-03,SEEE碳中和,0.73,2023-08-03,0,0,-,-
159640,碳中和ET,-,0.55,0.45,0.10,100.0,工银瑞信,https://www.icbccs.com.cn/gyrx/jjcp/etf/tanzhongheltetf/index.html,Y,,,48785,,3.98,0.00,0.816,941.66,2023-08-03,15:14:06,0.49,0.8186,22:05:01,-0.31,0.8185,2023-08-03,SEEE碳中和,0.73,2023-08-03,0,0,-,-
159641,双碳ETF,-,0.60,0.50,0.10,100.0,招商基金,http://www.cmfchina.com/main/159641/fundinfo.shtml,Y,,,55272,,4.59,0.00,0.830,1629.51,2023-08-03,15:14:09,0.73,0.8325,22:05:01,-0.31,0.8326,2023-08-03,SEEE碳中和,0.73,2023-08-03,0,0,-,-
159642,DC碳中和,-,0.60,0.50,0.10,100.0,大成基金,https://www.dcfund.com.cn/dcjj/159642/index.jhtml,Y,,,21844,,1.80,-0.01,0.826,1058.91,2023-08-03,15:14:45,0.73,0.8273,22:05:01,-0.13,0.8271,2023-08-03,SEEE碳中和,0.73,2023-08-03,0,0,-,-
159643,疫苗ETF,-,0.60,0.50,0.10,100.0,国泰基金,https://e.gtfund.com/Etrade/Jijin/view/id/159643,Y,,,10239,,0.83,-0.01,0.808,1966.36,2023-08-03,15:14:09,1.64,0.8080,22:05:01,0.01,0.8079,2023-08-03,疫苗生科,1.64,2023-08-03,0,0,-,-
159645,疫苗龙头,-,0.60,0.50,0.10,100.0,富国基金,https://www.fullgoal.com.cn/funds/zhishu/159645/index.html,Y,,,3254,,0.30,0.00,0.917,1239.07,2023-08-03,15:14:12,1.78,0.9182,22:05:01,-0.12,0.9181,2023-08-03,疫苗生科,1.64,2023-08-03,0,0,-,-
159646,疫苗,-,0.60,0.50,0.10,100.0,华泰柏瑞,https://www.huatai-pb.com/products/zhishu/159646/summary/index.html,Y,,,2971,,0.24,-0.01,0.809,76.72,2023-08-03,15:14:48,1.38,0.8110,22:05:01,-0.20,0.8106,2023-08-03,疫苗生科,1.64,2023-08-03,0,0,-,-
159647,中药ETF,-,0.60,0.50,0.10,50.0,鹏华基金,https://www.phfund.com.cn/web/FUND_159647,Y,,,90696,,10.02,0.10,1.105,11304.47,2023-08-03,15:14:18,1.66,1.1061,22:05:01,-0.06,1.1057,2023-08-03,中证中药,1.69,2023-08-03,0,0,-,-
159652,有色基金,000811,0.60,0.50,0.10,100.0,汇添富,https://www.99fund.com/main/products/pofund/159652/fundgk.shtml,Y,,,40632,,3.70,-0.04,0.910,898.43,2023-08-03,15:14:27,-0.76,0.9106,22:05:01,-0.07,0.9106,2023-08-03,细分有色,-0.73,2023-08-03,0,0,-,-
159653,ESG300,399378,0.56,0.50,0.06,300.0,国联安,https://www.cpicfunds.com/product/159653/index.shtml,Y,,,1397,,0.14,0.00,0.994,210.32,2023-08-03,15:14:30,0.91,0.9966,22:05:01,-0.19,0.9959,2023-08-03,ESG 300,0.83,2023-08-03,0,0,-,-
159656,300成长,-,0.60,0.50,0.10,200.0,万家基金,https://www.wjasset.com/products/etf/159656/index.html,Y,,,15024,,1.40,0.00,0.935,299.48,2023-08-03,15:14:15,0.86,0.9375,22:05:01,-0.25,0.9373,2023-08-03,300成长,1.03,2023-08-03,0,0,-,-
159657,生物疫苗,-,0.60,0.50,0.10,100.0,鹏华基金,https://www.phfund.com.cn/web/FUND_159657,Y,,,33351,,2.84,0.00,0.852,170.17,2023-08-03,15:14:18,1.19,0.8542,22:05:01,-0.22,0.8539,2023-08-03,疫苗生科,1.64,2023-08-03,0,0,-,-
159658,数字经济,-,0.60,0.50,0.10,150.0,华安基金,https://www.huaan.com.cn/funds/159658/index.shtml,Y,,,29339,,3.36,-0.02,1.146,2642.80,2023-08-03,15:14:21,0.61,1.1487,22:05:01,-0.23,1.1486,2023-08-03,数字经济,0.63,2023-08-03,0,0,-,-
159662,交运ETF,399433,0.60,0.50,0.10,50.0,南方基金,https://www.nffund.com/main/jjcp/fundproduct/159662.shtml,Y,,,11011,,1.11,-0.02,1.006,3127.28,2023-08-03,15:14:27,0.10,1.0078,22:05:01,-0.17,1.0077,2023-08-03,国证交运,0.23,2023-08-03,0,0,-,-
159663,机床,-,0.60,0.50,0.10,100.0,华夏基金,https://www.chinaamc.com/fund/159663/index.shtml,Y,,,7552,,0.75,0.00,0.999,2028.02,2023-08-03,15:14:15,-0.50,0.9985,22:05:01,0.05,0.9985,2023-08-03,中证机床,-0.51,2023-08-03,0,0,-,-
159665,芯片龙头,-,0.52,0.45,0.07,100.0,工银瑞信,https://www.icbccs.com.cn/gyrx/jjcp/etf/bandaotiltetf/index.html,Y,,,47358,,4.97,-0.12,1.049,2263.69,2023-08-03,15:14:18,0.29,1.0505,22:05:01,-0.15,1.0506,2023-08-03,国证芯片,0.27,2023-08-03,0,0,-,-
159667,工业母机,-,0.60,0.50,0.10,100.0,国泰基金,https://e.gtfund.com/Etrade/Jijin/view/id/159667,Y,,,37102,,3.67,0.06,0.988,3752.22,2023-08-03,15:14:33,-0.40,0.9866,22:05:01,0.12,0.9868,2023-08-03,中证机床,-0.51,2023-08-03,0,0,-,-
159669,绿电ETF,399438,0.60,0.50,0.10,50.0,国泰基金,https://e.gtfund.com/Etrade/Jijin/view/id/159669,Y,,,5625,,0.57,-0.01,1.015,1294.66,2023-08-03,15:15:00,1.00,1.0172,22:05:01,-0.20,1.0170,2023-08-03,绿色电力,0.61,2023-08-03,0,0,-,-
