name,code,close,rate,premium,tag,mtexp,fundfirm,listdate,index,avgamount,m1,y0,y1,y3,y5,scale
豆粕ETF,159985,2.329,10109,9962,商品，农产品,0.60%,华夏基金,2019-12-05,大商所豆粕期货价格指数,23592.4,10708,11587,14056,22351,10000,5.06
沪深300ETF,510300,3.893,9931,9998,宽基，大盘股,0.60%,华泰柏瑞基金,2012-05-28,沪深300指数,347547.56,9509,10041,9682,8426,12304,718.71
纳指ETF,513100,1.141,9991,10000,跨境，美国,0.80%,国泰基金,2013-05-15,纳斯达克100指数,38246.7,10115,14280,13221,11773,20715,85.5
科创50ETF,588000,0.975,9858,10004,宽基，中小盘，科创板,0.60%,华夏基金,2020-11-16,科创50指数,548954.09,9549,9721,9036,10000,10000,671.92
酒ETF,512690,0.836,9870,9995,行业，食品饮料，酒,0.60%,鹏华基金,2019-05-06,中证酒指数,75181.2,9870,9835,10283,11761,10000,126.68
证券ETF,512880,0.967,9908,10008,行业，金融，证券,0.60%,国泰基金,2016-08-08,证券公司指数,127755.34,9097,11128,10591,7761,13375,329.09
黄金ETF,518880,4.508,10004,10000,商品，黄金,0.60%,华安基金,2013-07-29,黄金9999指数,60104.46,10243,11310,12099,11090,17167,104.07
医疗ETF,512170,0.408,9927,10024,行业，医药,0.60%,华宝基金,2019-06-17,中证医疗指数,36507.94,9555,8031,8144,5614,10000,226.83
恒生科技指数ETF,513180,0.581,9847,10000,跨境，香港，科技,0.65%,华夏基金,2021-05-25,恒生科技指数,193289.23,9556,10583,10622,10000,10000,185.95
中概互联网ETF,513050,1.073,9871,10000,跨境，中概股,0.85%,易方达基金,2017-01-18,中国互联网50指数,70097.06,9755,10307,10094,5252,7996,345.76
房地产ETF,512200,0.641,9756,10000,行业，金融，房地产,0.60%,南方基金,2017-09-25,房地产指数,48766.89,9015,8903,8592,6649,8423,44.15
煤炭ETF,515220,2.243,10027,9993,行业，煤炭，资源,0.60%,国泰基金,2020-03-02,中证煤炭指数,19682.81,10701,10535,8788,21128,10000,38.25
半导体ETF,512480,0.848,9976,9983,行业，半导体，芯片,0.60%,国联安基金,2019-06-12,半导体指数,164722.26,9582,10291,9118,7798,10000,247.29
纳指ETF,159941,0.862,9988,10000,跨境，美国,1.05%,广发基金,2015-07-13,纳斯达克100指数,42202.89,10141,14367,13221,12210,19780,170.26
上证50ETF,510050,2.641,9936,10001,宽基，大盘股,0.60%,华夏基金,2005-02-23,上证50指数,182432.72,9692,9970,9733,8202,11191,576.21
能源化工ETF,159981,1.675,10018,10000,商品，化工,0.60%,建信基金,2020-01-17,易盛能化A,7077.11,10628,11078,11465,18991,10000,4.28
消费ETF,159928,0.953,9906,10010,行业，消费，必选消费,0.60%,汇添富基金,2013-09-16,中证消费指数,18221.22,9656,9128,9042,8027,18909,108.93
恒生医疗ETF,513060,0.476,9917,10000,跨境，香港，医药，医疗保健,0.65%,博时基金,2021-03-29,恒生医疗保健指数,82238.51,9352,7947,8998,10000,10000,98.11
光伏ETF,515790,1.066,10085,9991,主题，光伏，新兴产业,0.60%,华泰柏瑞基金,2020-12-18,光伏产业指数,38442.86,9026,7758,6717,10000,10000,164.95
游戏ETF,159869,1.163,9864,9990,主题，游戏,0.60%,华夏基金,2021-03-05,动漫游戏指数,45805.05,9509,15242,14200,10000,10000,80.38
芯片ETF,159995,0.999,9970,9999,行业，半导体，芯片,0.60%,华夏基金,2020-02-10,国证芯片指数,72864.75,9542,9990,8717,8037,10000,249.82
通信ETF,515880,1.102,9831,10003,行业，TMT，通信,0.60%,国泰基金,2019-09-06,通信设备指数,15524.21,8959,13390,11888,8795,10000,32.82
创新药ETF,159992,0.797,9950,9997,行业，医药,0.55%,银华基金,2020-04-10,CS创新药指数,20716.73,9614,8506,8533,5593,10000,77.31
创业板ETF,159915,2.057,9952,9993,宽基，中小盘,0.60%,易方达基金,2011-12-09,创业板指,105993.15,9333,9026,8358,7798,14852,390.03
新能源ETF,516160,0.774,10026,10013,主题，新能源，新兴产业,0.20%,南方基金,2021-02-04,中证新能指数,17124.79,8958,7842,6649,10000,10000,64.43
医药ETF,512010,0.418,9952,10000,行业，医药,0.60%,易方达基金,2013-10-28,300医药指数,46345.51,9698,8745,8837,5860,9840,185.87
创业板50ETF,159949,0.895,9956,9996,宽基，中小盘,0.60%,华安基金,2016-07-22,创业板50指数,49909.65,9255,8698,8092,8295,16698,175.15
银行ETF,512800,1.118,9911,10026,行业，金融，银行,0.60%,华宝基金,2017-08-03,中证银行指数,26763.49,9638,10371,10607,10488,11831,77.45
标普500ETF,513500,1.548,10006,10000,跨境，美国,0.85%,博时基金,2014-01-15,标准普尔500指数,14699.4,10144,12335,11954,13362,16817,71.88
恒生ETF,159920,1.109,9867,10000,跨境，香港,0.75%,华夏基金,2012-10-22,香港恒生指数,43734.36,9627,9884,10137,8160,7493,159.88
军工ETF,512660,1.036,9981,9992,行业，军工,0.60%,国泰基金,2016-08-08,中证军工指数,25338.89,9673,9628,9024,9120,14329,103.31
人工智能ETF,159819,0.801,9852,10000,主题，新兴产业，人工智能,0.20%,易方达基金,2020-09-23,CS人工智能指数,18601.43,8940,11902,11476,10000,10000,38.84
恒生互联网ETF,513330,0.439,9910,10000,跨境，香港，互联网,0.65%,华夏基金,2021-02-08,恒生互联网科技业指数,172456.28,9441,9482,9441,10000,10000,289.87
恒生科技ETF,513130,0.573,9828,10000,跨境，香港，科技,0.25%,华泰柏瑞基金,2021-06-01,恒生科技指数,187637.52,9440,10475,10456,10000,10000,91.5
日经ETF,513520,1.236,9992,10000,跨境，日本,0.25%,华夏基金,2019-06-25,日经225指数,2359.18,10065,12047,12118,11288,10000,4.36
十年国债ETF,511260,123.012,10006,10000,债券，国债，利率债,0.40%,国泰基金,2017-08-24,10年国债指数,32883.0,10024,10308,10236,11153,12015,5.88
电力ETF,159611,0.892,10102,10010,行业，电力,0.60%,广发基金,2022-01-07,电力指数,11457.13,9581,10336,9749,10000,10000,36.52
券商ETF,512000,0.926,9893,10001,行业，金融，证券,0.60%,华宝基金,2016-09-14,证券公司指数,79341.61,9061,11130,10583,7782,13440,238.4
传媒ETF,512980,0.807,9782,10003,行业，TMT，传媒,0.60%,广发基金,2018-01-19,中证传媒指数,19509.38,9596,13472,13383,7850,10891,50.19
新能源车ETF,515030,1.39,9957,9996,主题，新兴产业，新能源车,0.60%,华夏基金,2020-03-04,CS新能车指数,16039.64,8974,8284,7034,12787,10000,116.5
创业板成长ETF,159967,0.468,9915,10009,策略，动量，成长,0.60%,华夏基金,2019-07-15,创成长指数,7875.09,9249,8313,7405,8639,10000,36.53
上证指数ETF,510210,0.843,9953,10012,宽基，综合,0.60%,富国基金,2011-03-25,上证指数,24937.16,9632,10687,10328,10326,14592,44.24
中概互联网ETF,159607,0.814,9831,10000,跨境，中概股,0.60%,嘉实基金,2021-12-02,中国互联网30人民币指数,51955.67,9576,10099,10175,10000,10000,19.71
钢铁ETF,515210,1.327,9888,9983,行业，钢铁,0.60%,国泰基金,2020-03-02,中证钢铁指数,11111.35,9714,10351,9571,11901,10000,15.49
中证1000ETF,512100,2.481,9944,9994,宽基，中小盘,0.60%,南方基金,2016-11-04,中证1000指数,127217.71,9441,9896,9235,9161,14843,98.15
芯片ETF,512760,0.963,9959,10002,行业，半导体，芯片,0.60%,国泰基金,2019-06-12,中华半导体人民币指数,54162.61,9554,10310,9008,8045,10000,195.06
生物医药ETF,512290,1.076,9972,10000,行业，医药，生物科技,0.60%,国泰基金,2019-05-20,CS生医指数,9807.17,9633,8900,9142,5078,10000,55.69
旅游ETF,159766,0.863,9954,10000,主题，旅游,0.60%,富国基金,2021-07-23,中证旅游指数,17219.77,9200,7644,9191,10000,10000,29.51
德国ETF,513030,1.217,9927,10000,跨境，德国,1.00%,华安基金,2014-09-05,德国DAX指数,2272.72,9830,11781,13783,10905,11054,4.29
香港证券ETF,513090,1.155,9931,10161,跨境，香港,0.20%,易方达基金,2020-03-26,香港证券港元指数,74689.54,9337,10744,10876,9285,10000,15.32
国债ETF,511010,131.983,10007,10000,债券，国债，利率债,0.40%,国泰基金,2013-03-25,5年国债指数,41379.03,10004,10223,10178,10953,11665,12.94
科创芯片ETF,588200,1.167,9949,10048,行业，半导体，芯片，科创板,0.60%,嘉实基金,2022-10-26,科创芯片指数,117602.2,9709,11352,10000,10000,10000,63.12
电池ETF,159755,0.737,9946,10004,主题，新兴产业，新能源车，电池,0.60%,广发基金,2021-06-24,新能电池指数,16902.33,8923,8318,6986,10000,10000,57.06
工业母机ETF,159667,0.958,9979,9982,行业，机床,0.60%,国泰基金,2022-10-26,中证机床指数,5310.78,9609,10562,10000,10000,10000,5.75
养殖ETF,159865,0.675,9941,10006,行业，畜牧养殖,0.60%,国泰基金,2021-03-08,中证畜牧指数,14426.99,9427,8621,7601,10000,10000,57.95
纳斯达克ETF,513300,1.419,10014,10000,跨境，美国,0.80%,华夏基金,2020-11-05,纳斯达克100指数,26505.65,10092,14119,13249,10000,10000,19.96
中概互联ETF,159605,0.823,9821,10000,跨境，中概股,0.60%,广发基金,2021-12-02,中国互联网30人民币指数,120138.25,9694,10236,10339,10000,10000,60.64
有色ETF,159980,1.591,10025,9939,商品，有色金属,0.70%,大成基金,2019-12-24,上期有色金属指数,5536.98,10095,9956,11803,14786,10000,2.91
中证500ETF,510500,5.893,9928,9993,宽基，中小盘,0.60%,南方基金,2013-03-15,中证500指数,164304.1,9442,10010,9588,9268,13020,483.95
有色金属ETF,512400,1.045,9952,9995,行业，资源，有色金属,0.60%,南方基金,2017-09-01,有色金属指数,14123.1,9614,9831,8916,12485,15833,39.87
中证红利ETF,515080,1.493,9927,10008,策略，红利,0.30%,招商基金,2019-12-27,中证红利指数,21532.23,9842,11023,10746,13887,10000,24.1
汽车ETF,516110,1.064,9907,9987,行业，汽车,0.60%,国泰基金,2021-05-07,800汽车指数,11780.18,9424,10935,9788,10000,10000,18.53
红利ETF,510880,3.044,9922,10004,策略，红利,0.60%,华泰柏瑞基金,2007-01-18,红利指数,26030.87,9896,11162,10727,12571,14064,159.31
家电ETF,159996,1.139,9974,10002,行业，家电,0.60%,国泰基金,2020-03-16,家用电器指数,9922.54,9844,11322,10392,9185,10000,30.31
红利低波50ETF,515450,1.4,9929,10000,策略，低波动，红利,0.60%,南方基金,2020-02-26,标普中国A股大盘红利低波50指数,4236.28,9901,12248,12354,14388,10000,2.93
科创板50ETF,588080,0.954,9876,10007,宽基，中小盘，科创板,0.48%,易方达基金,2020-11-16,科创50指数,122940.74,9540,9666,8941,10000,10000,236.83
证券保险ETF,512070,0.676,9840,9997,行业，金融,0.60%,易方达基金,2014-07-18,300非银指数,25454.67,9376,11064,11211,8026,11908,52.7
