name,code,close,rate,premium,tag,mtexp,fundfirm,listdate,index,avgamount,m1,y0,y1,y3,y5,scale
纳指ETF,513100,1.15,10017,10000,跨境，美国,0.80%,国泰基金,2013-05-15,纳斯达克100指数,24660.7,10464,14393,13326,13155,22478,92.22
半导体ETF,512480,0.84,9917,10010,行业，半导体，芯片,0.60%,国联安基金,2019-06-12,半导体指数,77016.61,9767,10194,9666,7650,10000,268.12
黄金ETF,518880,4.643,10118,10000,商品，黄金,0.60%,华安基金,2013-07-29,黄金9999指数,67790.0,10072,11648,11669,12388,17070,120.91
豆粕ETF,159985,2.225,10072,10061,商品，农产品,0.60%,华夏基金,2019-12-05,大商所豆粕期货价格指数,6465.87,9611,11070,11975,19621,10000,9.25
港股创新药ETF,513120,0.812,9323,10000,跨境，香港，医药,0.60%,广发基金,2022-07-12,港股创新药港币指数,196974.38,9093,8277,8865,10000,10000,40.66
煤炭ETF,515220,2.401,10080,9997,行业，煤炭，资源,0.60%,国泰基金,2020-03-02,中证煤炭指数,11979.15,10963,11278,10294,19832,10000,26.93
恒生科技指数ETF,513180,0.509,9770,10000,跨境，香港，科技,0.65%,华夏基金,2021-05-25,恒生科技指数,243169.68,9409,9271,9770,10000,10000,215.86
科创50ETF,588000,0.906,9956,10018,宽基，中小盘，科创板,0.60%,华夏基金,2020-11-16,科创50指数,209782.48,9869,9033,8596,6394,10000,946.73
证券ETF,512880,0.942,9968,10003,行业，金融，证券,0.60%,国泰基金,2016-08-08,证券公司指数,73223.79,9958,10840,10537,7435,11864,316.75
沪深300ETF,510300,3.524,9932,9992,宽基，大盘股,0.60%,华泰柏瑞基金,2012-05-28,沪深300指数,263546.86,9647,9089,9101,7181,11486,1200.4
医疗ETF,512170,0.402,9687,9990,行业，医药,0.60%,华宝基金,2019-06-17,中证医疗指数,43609.09,9687,7913,8008,5662,10000,270.03
恒生医疗ETF,513060,0.466,9433,10000,跨境，香港，医药，医疗保健,0.65%,博时基金,2021-03-29,恒生医疗保健指数,154217.56,9320,7780,8076,10000,10000,131.11
游戏ETF,159869,1.131,10053,9988,主题，游戏,0.60%,华夏基金,2021-03-05,动漫游戏指数,32940.79,10906,14823,14463,10000,10000,60.62
创新药ETF,159992,0.85,9659,9982,行业，医药,0.55%,银华基金,2020-04-10,CS创新药指数,32254.66,9759,9072,8985,6533,10000,85.4
酒ETF,512690,0.717,9849,10004,行业，食品饮料，酒,0.60%,鹏华基金,2019-05-06,中证酒指数,39251.78,9300,8435,9192,8883,10000,134.54
创业板ETF,159915,1.858,9878,9986,宽基，中小盘,0.60%,易方达基金,2011-12-09,创业板指,97043.64,9687,8153,8022,7094,14183,397.92
德国ETF,513030,1.246,10048,10000,跨境，德国,1.00%,华安基金,2014-09-05,德国DAX指数,1642.44,10760,12062,11667,11338,12180,5.06
光伏ETF,515790,0.85,9861,9977,主题，光伏，新兴产业,0.60%,华泰柏瑞基金,2020-12-18,光伏产业指数,29751.55,9382,6186,5735,10000,10000,136.18
军工ETF,512660,0.987,10061,10002,行业，军工,0.60%,国泰基金,2016-08-08,中证军工指数,14832.47,10186,9173,8711,8727,14709,97.39
教育ETF,513360,0.649,9863,10000,跨境，教育,0.65%,博时基金,2021-06-17,中国教育人民币指数,10670.53,11326,12315,13868,10000,10000,3.86
云计算ETF,516510,0.949,10064,10005,主题，TMT，互联网,0.20%,易方达基金,2021-04-07,云计算指数,8788.66,10723,11833,11601,10000,10000,10.52
创业板50ETF,159949,0.788,9862,9993,宽基，中小盘,0.60%,华安基金,2016-07-22,创业板50指数,38779.81,9563,7658,7562,7086,16115,180.13
恒生ETF,159920,0.986,9831,10000,跨境，香港,0.75%,华夏基金,2012-10-22,香港恒生指数,62055.76,9267,8788,9189,6988,6777,156.62
人工智能ETF,159819,0.771,9974,9984,主题，新兴产业，人工智能,0.20%,易方达基金,2020-09-23,CS人工智能指数,15325.49,10447,11456,10983,7804,10000,40.79
上证50ETF,510050,2.367,9925,9993,宽基，大盘股,0.60%,华夏基金,2005-02-23,上证50指数,225074.02,9570,9079,9190,6983,10263,643.34
中概互联ETF,159605,0.745,9790,10000,跨境，中概股,0.60%,广发基金,2021-12-02,中国互联网30人民币指数,81102.9,10000,9266,9751,10000,10000,81.62
