name,code,close,rate,premium,tag,mtexp,fundfirm,listdate,index,avgamount,m1,y0,y1,y3,y5,scale
纳指ETF,513100,1.156,10052,10000,跨境，美国,0.80%,国泰基金,2013-05-15,纳斯达克100指数,31823.98,10645,14468,13713,13426,24316,92.22
半导体ETF,512480,0.848,10083,10005,行业，半导体，芯片,0.60%,国联安基金,2019-06-12,半导体指数,95156.71,10521,10291,9560,7907,10000,268.12
黄金ETF,518880,4.495,9991,10000,商品，黄金,0.60%,华安基金,2013-07-29,黄金9999指数,57944.33,9778,11277,11432,11697,16477,120.91
恒生科技指数ETF,513180,0.552,10185,10000,跨境，香港，科技,0.65%,华夏基金,2021-05-25,恒生科技指数,246127.43,10845,10055,11572,10000,10000,215.86
豆粕ETF,159985,2.266,9908,9991,商品，农产品,0.60%,华夏基金,2019-12-05,大商所豆粕期货价格指数,6909.84,10107,11274,12519,19252,10000,9.25
港股创新药ETF,513120,0.882,10173,10000,跨境，香港，医药,0.60%,广发基金,2022-07-12,港股创新药港币指数,189504.21,11080,8991,9703,10000,10000,40.66
创新药ETF,159992,0.877,10080,10006,行业，医药,0.55%,银华基金,2020-04-10,CS创新药指数,32476.21,10761,9360,9013,6857,10000,85.4
证券ETF,512880,0.967,10031,10011,行业，金融，证券,0.60%,国泰基金,2016-08-08,证券公司指数,87364.88,10309,11128,11115,8133,12256,316.75
科创50ETF,588000,0.918,10055,9995,宽基，中小盘，科创板,0.60%,华夏基金,2020-11-16,科创50指数,229992.96,10155,9153,8652,6397,10000,946.73
酒ETF,512690,0.751,10013,10014,行业，食品饮料，酒,0.60%,鹏华基金,2019-05-06,中证酒指数,46530.3,10563,8835,10204,9098,10000,134.54
医疗ETF,512170,0.415,10024,9988,行业，医药,0.60%,华宝基金,2019-06-17,中证医疗指数,36368.21,10453,8169,8202,5937,10000,270.03
沪深300ETF,510300,3.63,10053,9999,宽基，大盘股,0.60%,华泰柏瑞基金,2012-05-28,沪深300指数,328906.64,10134,9362,9624,7567,12013,1200.4
恒生医疗ETF,513060,0.505,10120,10000,跨境，香港，医药，医疗保健,0.65%,博时基金,2021-03-29,恒生医疗保健指数,127217.6,11075,8431,9249,10000,10000,131.11
创业板ETF,159915,1.911,10063,9995,宽基，中小盘,0.60%,易方达基金,2011-12-09,创业板指,115977.4,10330,8385,8407,7418,14872,397.92
煤炭ETF,515220,2.281,10147,10005,行业，煤炭，资源,0.60%,国泰基金,2020-03-02,中证煤炭指数,10216.61,10293,10714,10146,19558,10000,26.93
光伏ETF,515790,0.913,10055,9997,主题，光伏，新兴产业,0.60%,华泰柏瑞基金,2020-12-18,光伏产业指数,29982.93,9651,6645,6288,10000,10000,136.18
