,nlmy,jchg,gt,ysjs,dz,jydq,spyl,fzfs,qgzz,yysw,gysy,jtys,fdc,smls,shfw,zh,jzcl,jzzs,dlsb,gfjg,jsj,cm,tx,yx,fyjr,qc,jxsb,ms,sysh,hb,mrhl
name,农林牧渔,基础化工,钢铁,有色金属,电子,家用电器,食品饮料,纺织服饰,轻工制造,医药生物,公用事业,交通运输,房地产,商贸零售,社会服务,综合,建筑材料,建筑装饰,电力设备,国防军工,计算机,传媒,通信,银行,非银金融,汽车,机械设备,煤炭,石油石化,环保,美容护理
code,801010,801030,801040,801050,801080,801110,801120,801130,801140,801150,801160,801170,801180,801200,801210,801230,801710,801720,801730,801740,801750,801760,801770,801780,801790,801880,801890,801950,801960,801970,801980
open,2978.28,3737.85,2194.69,4459.77,3890.63,7346.83,20907.63,1630.62,2281.75,8571.25,2349.53,2183.25,2572.92,2196.44,9965.23,2730.62,5414.36,2188.51,9070.57,1579.04,4946.06,770.63,2777.10,3077.48,1481.59,5695.29,1591.62,2537.29,2248.97,1793.00,6192.44
close,2989.56,3746.26,2221.67,4525.39,3882.87,7384.47,21363.53,1629.24,2303.62,8562.37,2368.52,2230.42,2588.45,2234.92,10181.82,2756.04,5468.48,2219.73,9077.11,1587.15,4935.38,741.80,2768.24,3121.60,1516.70,5744.98,1582.93,2584.96,2289.33,1797.26,6260.17
low,2972.77,3737.84,2194.69,4459.77,3867.68,7331.50,20819.54,1615.66,2281.09,8495.09,2348.78,2183.23,2572.92,2192.98,9963.96,2730.62,5414.36,2188.46,9050.82,1579.04,4813.09,729.73,2703.15,3074.07,1481.59,5695.29,1580.79,2537.29,2248.97,1792.62,6192.09
high,2991.61,3768.28,2228.09,4532.63,3937.29,7481.97,21363.53,1634.71,2304.05,8578.37,2376.63,2231.93,2597.75,2239.07,10205.18,2760.08,5484.55,2231.70,9176.05,1598.32,4954.65,770.63,2781.94,3125.87,1520.99,5779.90,1600.58,2588.20,2291.84,1804.96,6261.97
amount,10006.87,34605.11,4542.80,32256.27,89817.76,18810.14,28343.74,6095.88,13438.51,45861.42,23520.22,17118.96,10497.58,12927.78,11718.70,1324.84,8030.70,21087.55,91761.90,35017.55,96999.05,60913.75,58948.18,13668.21,27325.18,63509.07,74446.04,8325.46,7360.12,5762.64,3202.91
number,1065.07,2963.37,961.23,2748.90,5756.16,1431.31,840.81,781.08,1386.69,2735.67,3203.72,2334.66,2454.99,1236.22,1023.72,237.14,838.14,2730.33,4540.69,1702.89,5244.23,5314.50,2776.07,2393.61,2592.47,4583.88,6001.52,1105.70,1061.81,707.61,205.12
