fund_id,fund_nm,index_id,fee,m_fee,t_fee,creation_unit,issuer_nm,urls,eval_flg,ex_dt,ex_info,amount,amount_notes,unit_total,unit_incr,price,volume,last_dt,last_time,increase_rt,estimate_value,last_est_time,discount_rt,fund_nav,nav_dt,index_nm,index_increase_rt,idx_price_dt,owned,holded,pe,pb
159601,A50,-,0.60,0.50,0.10,260.0,华夏基金,https://www.chinaamc.com/fund/159601/index.shtml,Y,,,527779,,41.43,-0.18,0.785,6000.24,2023-09-05,15:14:03,-0.76,0.7850,15:37:54,-0.01,0.7917,2023-09-04,中国A50互联互通,-0.84,2023-09-05,0,0,-,-
159602,中国A50,-,0.60,0.50,0.10,200.0,南方基金,http://www.nffund.com/main/jjcp/fundproduct/159602.shtml,Y,,,196854,,15.39,-0.03,0.782,634.41,2023-09-05,15:14:09,-0.76,0.7833,15:37:54,-0.16,0.7899,2023-09-04,中国A50互联互通,-0.84,2023-09-05,0,0,-,-
159603,双创天弘,-,0.60,0.50,0.10,100.0,天弘基金,http://www.thfund.com.cn/fundinfo/159603,Y,,,239807,,19.95,0.00,0.832,215.39,2023-09-05,15:14:57,-0.12,0.8310,15:37:54,0.11,0.8343,2023-09-04,科创创业50,-0.39,2023-09-05,0,0,-,-
159606,500成长,-,0.60,0.50,0.10,100.0,易方达,https://www.efunds.com.cn/fund/159606.shtml,Y,,,62222,,4.93,0.00,0.792,463.00,2023-09-05,15:14:12,-0.25,0.7916,15:37:54,0.05,0.7944,2023-09-04,500质量,-0.35,2023-09-05,0,0,-,-
159608,稀有金属,-,0.60,0.50,0.10,80.0,广发基金,http://www.gffunds.com.cn/funds/?fundcode=159608&fromSearch=1,Y,,,42801,,2.65,-0.04,0.619,1745.34,2023-09-05,15:14:12,-0.16,0.6191,15:37:54,-0.02,0.6196,2023-09-04,CS稀金属,-0.08,2023-09-05,0,0,-,-
159609,光伏龙头,-,0.60,0.50,0.10,0.0,浦银安盛,https://www.py-axa.com/productDetails?fundCode=159609,Y,,,45890,,2.84,0.02,0.619,1154.39,2023-09-05,15:14:09,0.65,0.6206,15:37:54,-0.27,0.6145,2023-09-04,光伏产业,1.00,2023-09-05,0,0,-,-
159610,500增强,000905,0.60,0.50,0.10,100.0,景顺长城,http://www.igwfmc.com/main/jjcp/product/159610/detail.html,Y,,,58857,,4.76,-0.01,0.809,1592.15,2023-09-05,15:14:03,-0.86,0.8105,15:37:54,-0.18,0.8162,2023-09-04,中证500,-0.70,2023-09-05,0,0,-,-
159611,电力ETF,-,0.60,0.50,0.10,80.0,广发基金,http://www.gffunds.com.cn/funds/?fundcode=159611&fromSearch=1,Y,,,280956,,25.06,0.78,0.892,10897.79,2023-09-05,15:14:15,1.02,0.8911,15:37:54,0.10,0.8829,2023-09-04,电力指数,0.93,2023-09-05,0,0,-,-
159613,嘉实信安,399994,0.60,0.50,0.10,100.0,嘉实基金,https://www.jsfund.cn/main/fund/159613/fundManager.shtml,Y,,,11059,,0.95,0.00,0.862,730.58,2023-09-05,15:14:18,-1.03,0.8623,15:37:54,-0.03,0.8723,2023-09-04,信息安全,-1.15,2023-09-05,0,0,-,-
159616,农牧ETF,-,0.60,0.50,0.10,100.0,建信基金,https://www.ccbfund.cn/fund_info/info.jspx?fundCode=159616,Y,,,11956,,0.91,-0.01,0.760,271.64,2023-09-05,15:14:09,-0.52,0.7603,15:37:54,-0.04,0.7649,2023-09-04,农牧主题,-0.60,2023-09-05,0,0,-,-
159617,500价值,-,0.60,0.50,0.10,100.0,华夏基金,http://www.chinaamc.com/fund/159617/index.shtml,Y,,,4642,,0.50,-0.01,1.077,206.67,2023-09-05,15:14:15,-0.46,1.0754,15:37:54,0.15,1.0847,2023-09-04,500价值稳健,-0.86,2023-09-05,0,0,-,-
