,nlmy,jchg,gt,ysjs,dz,jydq,spyl,fzfs,qgzz,yysw,gysy,jtys,fdc,smls,shfw,zh,jzcl,jzzs,dlsb,gfjg,jsj,cm,tx,yx,fyjr,qc,jxsb,ms,sysh,hb,mrhl
name,农林牧渔,基础化工,钢铁,有色金属,电子,家用电器,食品饮料,纺织服饰,轻工制造,医药生物,公用事业,交通运输,房地产,商贸零售,社会服务,综合,建筑材料,建筑装饰,电力设备,国防军工,计算机,传媒,通信,银行,非银金融,汽车,机械设备,煤炭,石油石化,环保,美容护理
code,801010,801030,801040,801050,801080,801110,801120,801130,801140,801150,801160,801170,801180,801200,801210,801230,801710,801720,801730,801740,801750,801760,801770,801780,801790,801880,801890,801950,801960,801970,801980
open,3021.50,3810.49,2231.94,4670.41,4010.15,7249.32,21630.58,1628.92,2261.26,8509.56,2366.22,2217.43,2533.00,2267.14,10114.53,2727.47,5339.40,2204.54,9028.34,1537.97,4777.16,743.56,2701.18,3068.76,1535.59,5840.37,1571.06,2527.55,2347.62,1804.24,6194.95
close,3012.60,3811.01,2227.03,4628.68,4027.88,7188.07,21477.76,1624.78,2255.00,8464.32,2350.92,2212.61,2529.46,2251.39,10021.14,2708.79,5328.89,2206.82,8908.22,1538.02,4867.24,751.03,2758.12,3071.55,1530.97,5788.70,1579.74,2537.42,2354.61,1799.77,6144.60
low,3010.76,3796.43,2225.38,4623.64,4001.79,7171.13,21366.46,1622.77,2248.37,8454.22,2341.53,2206.15,2516.31,2250.20,10007.58,2706.06,5314.72,2193.84,8898.82,1534.90,4777.16,743.46,2701.16,3059.27,1527.40,5769.01,1567.47,2520.42,2335.80,1796.33,6132.21
high,3030.20,3818.50,2239.06,4681.73,4041.78,7262.39,21675.69,1631.86,2261.30,8509.80,2366.23,2219.14,2544.83,2267.16,10117.43,2727.88,5346.68,2219.06,9028.90,1546.16,4916.00,761.67,2792.86,3083.91,1536.36,5855.80,1584.93,2543.66,2363.18,1804.38,6212.96
amount,9855.44,29866.40,2771.11,34341.25,108788.83,12203.66,23901.86,5337.49,9387.12,33269.64,20516.46,10472.19,9041.48,10739.88,10341.06,927.03,4855.55,15495.93,74618.71,24552.25,105148.07,59494.62,66490.11,12147.62,18701.96,57867.92,58654.09,5396.89,6493.14,5579.03,2375.56
number,1146.25,2650.11,609.73,2944.18,6789.50,932.73,722.24,691.50,867.68,2029.69,2840.83,1496.98,2270.20,1109.69,1120.26,145.30,534.89,2024.98,3748.56,1451.52,5646.19,4714.32,3592.39,2111.40,1788.36,4112.33,5071.83,670.11,903.96,775.62,127.96
