fund_id,fund_nm,index_id,fee,m_fee,t_fee,creation_unit,issuer_nm,urls,eval_flg,ex_dt,ex_info,amount,amount_notes,unit_total,unit_incr,price,volume,last_dt,last_time,increase_rt,estimate_value,last_est_time,discount_rt,fund_nav,nav_dt,index_nm,index_increase_rt,idx_price_dt,owned,holded,pe,pb
159505,GZ2000,399303,0.60,0.50,0.10,300.0,博时基金,https://www.bosera.com/fund/159505.html,Y,,,7910,,0.75,-0.03,0.954,261.18,2023-12-28,15:14:33,2.14,0.9531,20:20:01,-0.03,0.9543,2023-12-28,国证2000,1.79,2023-12-28,0,0,-,-
159508,生物药基,399441,0.60,0.50,0.10,60.0,华安基金,https://www.huaan.com.cn/funds/159508/index.shtml,Y,,,16663,,1.65,0.00,0.993,225.07,2023-12-28,15:14:39,1.95,0.9944,18:56:38,-0.14,0.9732,2023-12-27,生物医药,2.18,2023-12-28,0,0,-,-
159510,300价值,-,0.60,0.50,0.10,100.0,华夏基金,https://www.chinaamc.com/fund/159510/index.shtml,Y,,,19213,,1.69,0.00,0.880,339.94,2023-12-28,15:14:45,1.97,0.8807,20:20:01,-0.08,0.8807,2023-12-28,300价值稳健,2.06,2023-12-28,0,0,-,-
159511,通信指数,-,0.60,0.50,0.10,50.0,南方基金,https://www.nffund.com/main/jjcp/fundproduct/159511.shtml,Y,,,6494,,0.53,0.00,0.822,193.46,2023-12-28,15:14:48,1.48,0.8235,20:20:01,-0.18,0.8235,2023-12-28,800通信,1.73,2023-12-28,0,0,-,-
159512,汽车ETF,-,0.60,0.50,0.10,200.0,广发基金,http://www.gffunds.com.cn/funds/?fundcode=159512,Y,,,6726,,0.69,0.00,1.031,1878.45,2023-12-28,15:14:51,0.49,1.0267,20:20:01,0.42,1.0267,2023-12-28,汽车指数,0.06,2023-12-28,0,0,-,-
159515,国企红利,-,0.60,0.50,0.10,30.0,鹏扬基金,https://www.pyamc.com/front/productDetail_100236_159515.jhtml,Y,,,7239,,0.68,0.00,0.944,27.52,2023-12-28,15:14:39,0.11,0.9437,18:56:38,0.04,0.9448,2023-12-27,国企红利,-0.12,2023-12-28,0,0,-,-
159516,半导设备,-,0.60,0.50,0.10,100.0,国泰基金,https://e.gtfund.com/Etrade/Jijin/view/id/159516,Y,,,94959,,8.63,0.04,0.909,9399.81,2023-12-28,15:14:36,2.25,0.9087,20:20:01,0.06,0.9085,2023-12-28,半导体材料设备,2.44,2023-12-28,0,0,-,-
159517,800增强,000906,0.60,0.50,0.10,300.0,银华基金,http://www.yhfund.com.cn/main/qxjj/159517/fndFacts.shtml,Y,,,3874,,0.36,0.00,0.928,789.68,2023-12-28,15:14:57,1.75,0.9314,20:20:01,0.26,0.9256,2023-12-28,中证800,2.21,2023-12-28,0,0,-,-
159520,消费龙头,-,0.57,0.50,0.07,100.0,工银瑞信,https://www.icbccs.com.cn/gyrx/jjcp/etf/159520/index.html,Y,,,2218,,0.22,0.00,0.986,51.26,2023-12-28,15:14:42,2.49,0.9868,20:20:01,0.07,0.9853,2023-12-28,消费龙头,2.48,2023-12-28,0,0,-,-
159521,2000基金,399303,0.60,0.50,0.10,300.0,平安基金,http://www.fund.pingan.com/main/peanutFinance/yingPeanut/fundDetailV2/159521.shtml,Y,,,10827,,1.05,0.00,0.966,1664.71,2023-12-28,15:14:39,2.33,0.9626,20:20:01,0.21,0.9640,2023-12-28,国证2000,1.79,2023-12-28,0,0,-,-
