fund_id,fund_nm,index_id,fee,m_fee,t_fee,creation_unit,issuer_nm,urls,eval_flg,ex_dt,ex_info,amount,amount_notes,unit_total,unit_incr,price,volume,last_dt,last_time,increase_rt,estimate_value,last_est_time,discount_rt,fund_nav,nav_dt,index_nm,index_increase_rt,idx_price_dt,owned,holded,pe,pb
159531,中证2000,-,0.60,0.50,0.10,400.0,南方基金,https://www.nffund.com/main/jjcp/fundproduct/159531.shtml,Y,,,11261,,1.15,0.00,1.019,5412.46,2023-11-06,15:14:27,2.41,1.0207,23:20:01,-0.16,1.0206,2023-11-06,中证2000,2.41,2023-11-06,0,0,-,-
159532,2000E,-,0.60,0.50,0.10,200.0,易方达,https://www.efunds.com.cn/fund/159532.shtml,Y,,,14956,,1.54,-0.08,1.033,3889.12,2023-11-06,15:14:18,2.48,1.0341,23:20:01,-0.10,1.0340,2023-11-06,中证2000,2.41,2023-11-06,0,0,-,-
159535,2000指数,-,0.60,0.50,0.10,300.0,嘉实基金,https://www.efunds.com.cn/fund/159532.shtml,Y,,,9498,,0.97,-0.03,1.026,2485.65,2023-11-06,15:14:54,1.99,1.0324,23:20:01,-0.25,1.0286,2023-11-06,中证2000,2.41,2023-11-06,0,0,-,-
159536,CSI2000,-,0.60,0.50,0.10,400.0,汇添富,https://www.99fund.com/main/products/pofund/159536/fundgk.shtml,Y,,,26926,,2.77,0.00,1.030,7331.55,2023-11-06,15:14:57,2.28,1.0324,23:20:01,-0.12,1.0312,2023-11-06,中证2000,2.41,2023-11-06,0,0,-,-
159601,A50,-,0.60,0.50,0.10,260.0,华夏基金,https://www.chinaamc.com/fund/159601/index.shtml,Y,,,539999,,39.58,0.06,0.733,5589.52,2023-11-06,15:14:36,1.24,0.7340,23:20:01,-0.12,0.7339,2023-11-06,中国A50互联互通,1.32,2023-11-06,0,0,-,-
159602,中国A50,-,0.60,0.50,0.10,200.0,南方基金,http://www.nffund.com/main/jjcp/fundproduct/159602.shtml,Y,,,190254,,13.91,0.01,0.731,796.48,2023-11-06,15:15:00,1.39,0.7322,23:20:01,-0.16,0.7322,2023-11-06,中国A50互联互通,1.32,2023-11-06,0,0,-,-
159603,双创天弘,-,0.60,0.50,0.10,100.0,天弘基金,http://www.thfund.com.cn/fundinfo/159603,Y,,,244507,,19.63,0.00,0.803,332.94,2023-11-06,15:14:03,2.82,0.8050,23:20:01,-0.25,0.8050,2023-11-06,科创创业50,2.97,2023-11-06,0,0,-,-
159606,500成长,-,0.60,0.50,0.10,100.0,易方达,https://www.efunds.com.cn/fund/159606.shtml,Y,,,63022,,4.80,-0.02,0.762,1103.78,2023-11-06,15:15:00,1.33,0.7627,23:20:01,-0.08,0.7626,2023-11-06,500质量,1.46,2023-11-06,0,0,-,-
159608,稀有金属,-,0.60,0.50,0.10,80.0,广发基金,http://www.gffunds.com.cn/funds/?fundcode=159608&fromSearch=1,Y,,,43041,,2.52,0.00,0.586,1303.37,2023-11-06,15:14:06,2.09,0.5868,23:20:01,-0.10,0.5866,2023-11-06,CS稀金属,2.19,2023-11-06,0,0,-,-
159609,光伏龙头,-,0.60,0.50,0.10,0.0,浦银安盛,https://www.py-axa.com/productDetails?fundCode=159609,Y,,,49890,,2.71,-0.01,0.543,1691.40,2023-11-06,15:14:42,3.04,0.5439,23:20:01,-0.09,0.5435,2023-11-06,光伏产业,3.19,2023-11-06,0,0,-,-
