name,code,close,rate,premium,tag,mtexp,fundfirm,listdate,index,avgamount,m1,y0,y1,y3,y5,scale
豆粕ETF,159985,2.283,9978,9979,商品，农产品,0.60%,华夏基金,2019-12-05,大商所豆粕期货价格指数,12763.78,9781,11358,13083,21297,10000,5.06
黄金ETF,518880,4.436,9834,10000,商品，黄金,0.60%,华安基金,2013-07-29,黄金9999指数,88165.22,9973,11129,11842,11293,16790,104.07
纳指ETF,513100,1.08,9991,10000,跨境，美国,0.80%,国泰基金,2013-05-15,纳斯达克100指数,44818.08,9899,13517,12996,12148,19846,85.5
科创50ETF,588000,0.932,10076,9994,宽基，中小盘，科创板,0.60%,华夏基金,2020-11-16,科创50指数,294063.8,10219,9292,9146,10000,10000,671.92
煤炭ETF,515220,2.273,10116,10008,行业，煤炭，资源,0.60%,国泰基金,2020-03-02,中证煤炭指数,13773.24,11208,10676,9016,21720,10000,38.25
沪深300ETF,510300,3.764,9963,10008,宽基，大盘股,0.60%,华泰柏瑞基金,2012-05-28,沪深300指数,378604.73,9947,9708,9681,8480,11728,718.71
酒ETF,512690,0.778,9873,10007,行业，食品饮料，酒,0.60%,鹏华基金,2019-05-06,中证酒指数,40714.22,9701,9153,9284,11761,10000,126.68
医疗ETF,512170,0.417,9952,10035,行业，医药,0.60%,华宝基金,2019-06-17,中证医疗指数,48663.17,10530,8209,8987,6117,10000,226.83
半导体ETF,512480,0.81,10125,10015,行业，半导体，芯片,0.60%,国联安基金,2019-06-12,半导体指数,88000.09,10411,9830,9375,8165,10000,247.29
恒生科技指数ETF,513180,0.523,9849,10000,跨境，香港，科技,0.65%,华夏基金,2021-05-25,恒生科技指数,188131.21,9323,9526,10481,10000,10000,185.95
创新药ETF,159992,0.845,9965,10001,行业，医药,0.55%,银华基金,2020-04-10,CS创新药指数,34953.45,10847,9018,9965,6406,10000,77.31
能源化工ETF,159981,1.651,9994,10000,商品，化工,0.60%,建信基金,2020-01-17,易盛能化A,3588.41,10049,10919,10999,19153,10000,4.28
通信ETF,515880,1.117,10145,10011,行业，TMT，通信,0.60%,国泰基金,2019-09-06,通信设备指数,20582.76,10689,13572,13019,9885,10000,32.82
中概互联网ETF,513050,0.999,9930,10000,跨境，中概股,0.85%,易方达基金,2017-01-18,中国互联网50指数,64723.18,9643,9597,10091,5250,7691,345.76
纳指ETF,159941,0.814,9975,10000,跨境，美国,1.05%,广发基金,2015-07-13,纳斯达克100指数,54828.98,9903,13567,12962,13481,19108,170.26
日经ETF,513520,1.189,9925,10000,跨境，日本,0.25%,华夏基金,2019-06-25,日经225指数,3203.15,10025,11589,12047,10799,10000,4.36
军工ETF,512660,1.004,10131,10001,行业，军工,0.60%,国泰基金,2016-08-08,中证军工指数,21554.34,10101,9331,8715,9481,14081,103.31
医药ETF,512010,0.428,9907,10009,行业，医药,0.60%,易方达基金,2013-10-28,300医药指数,53847.18,10465,8954,9749,6439,10227,185.87
光伏ETF,515790,1.011,10010,10009,主题，光伏，新兴产业,0.60%,华泰柏瑞基金,2020-12-18,光伏产业指数,42438.03,9863,7358,6510,10000,10000,164.95
上证50ETF,510050,2.583,9919,9990,宽基，大盘股,0.60%,华夏基金,2005-02-23,上证50指数,213859.81,10078,9751,9771,8202,10620,576.21
芯片ETF,159995,0.946,10107,10012,行业，半导体，芯片,0.60%,华夏基金,2020-02-10,国证芯片指数,37717.82,10249,9460,9010,8291,10000,249.82
游戏ETF,159869,1.088,10000,10020,主题，游戏,0.60%,华夏基金,2021-03-05,动漫游戏指数,38413.25,9811,14260,15302,10000,10000,80.38
消费ETF,159928,0.911,9859,10013,行业，消费，必选消费,0.60%,汇添富基金,2013-09-16,中证消费指数,13852.35,9806,8726,8660,8452,16980,108.93
恒生医疗ETF,513060,0.474,9916,10000,跨境，香港，医药，医疗保健,0.65%,博时基金,2021-03-29,恒生医疗保健指数,94726.78,10107,7913,10172,10000,10000,98.11
标普500ETF,513500,1.471,9973,10000,跨境，美国,0.85%,博时基金,2014-01-15,标准普尔500指数,21015.85,9800,11721,11950,14083,15868,71.88
证券ETF,512880,0.947,9937,10020,行业，金融，证券,0.60%,国泰基金,2016-08-08,证券公司指数,89432.52,9489,10898,11207,7743,13116,329.09
新能源ETF,516160,0.719,10000,10004,主题，新能源，新兴产业,0.20%,南方基金,2021-02-04,中证新能指数,14696.63,9523,7285,6374,10000,10000,64.43
钢铁ETF,515210,1.279,10047,9997,行业，钢铁,0.60%,国泰基金,2020-03-02,中证钢铁指数,6313.38,10111,9977,9656,11721,10000,15.49
芯片ETF,512760,0.912,10122,10008,行业，半导体，芯片,0.60%,国泰基金,2019-06-12,中华半导体人民币指数,27605.85,10282,9764,9306,8238,10000,195.06
恒生ETF,159920,1.052,9878,10000,跨境，香港,0.75%,华夏基金,2012-10-22,香港恒生指数,49496.88,9777,9376,10174,8219,7127,159.88
有色金属ETF,512400,0.99,9970,10015,行业，资源，有色金属,0.60%,南方基金,2017-09-01,有色金属指数,8314.32,10030,9313,8639,12758,15115,39.87
旅游ETF,159766,0.818,10000,10007,主题，旅游,0.60%,富国基金,2021-07-23,中证旅游指数,14660.9,9796,7245,7896,10000,10000,29.51
红利ETF,510880,3.077,9987,9995,策略，红利,0.60%,华泰柏瑞基金,2007-01-18,红利指数,21963.63,10206,11283,10910,13081,13791,159.31
创业板ETF,159915,1.953,9985,9999,宽基，中小盘,0.60%,易方达基金,2011-12-09,创业板指,124522.72,9809,8570,8469,7949,14651,390.03
房地产ETF,512200,0.616,10016,10000,行业，金融，房地产,0.60%,南方基金,2017-09-25,房地产指数,10385.6,9595,8556,8257,6667,8224,44.15
德国ETF,513030,1.149,9939,10000,跨境，德国,1.00%,华安基金,2014-09-05,德国DAX指数,1434.38,9607,11123,13345,10891,10398,4.29
银行ETF,512800,1.124,9973,9987,行业，金融，银行,0.60%,华宝基金,2017-08-03,中证银行指数,19391.17,10099,10427,10735,10664,11540,77.45
传媒ETF,512980,0.771,9948,10031,行业，TMT，传媒,0.60%,广发基金,2018-01-19,中证传媒指数,11250.19,9834,12871,14069,8023,10874,50.19
新能源车ETF,515030,1.288,9961,9994,主题，新兴产业，新能源车,0.60%,华夏基金,2020-03-04,CS新能车指数,12663.66,9562,7676,6751,12060,10000,116.5
软件ETF,515230,0.825,10000,10018,主题，新兴产业，软件,0.60%,国泰基金,2021-03-02,软件指数,5361.93,9940,10510,11636,10000,10000,14.29
科创芯片ETF,588200,1.097,10186,9997,行业，半导体，芯片，科创板,0.60%,嘉实基金,2022-10-26,科创芯片指数,43526.98,10349,10671,10000,10000,10000,63.12
中证1000ETF,512100,2.449,10074,10008,宽基，中小盘,0.60%,南方基金,2016-11-04,中证1000指数,111256.12,10342,9769,9566,9689,15122,98.15
有色ETF,159980,1.55,9994,9912,商品，有色金属,0.70%,大成基金,2019-12-24,上期有色金属指数,3583.65,9917,9700,10962,14890,10000,2.91
工业母机ETF,159667,0.968,9959,10008,行业，机床,0.60%,国泰基金,2022-10-26,中证机床指数,5593.71,10913,10673,10000,10000,10000,5.75
能源ETF,159930,1.271,10024,10002,行业，资源，能源,0.60%,汇添富基金,2013-09-16,中证能源指数,3060.39,10873,12036,10487,21148,15947,2.0
恒生互联网ETF,513330,0.396,9851,10000,跨境，香港，互联网,0.65%,华夏基金,2021-02-08,恒生互联网科技业指数,185176.72,9252,8553,9362,10000,10000,289.87
生物医药ETF,512290,1.116,9920,10002,行业，医药，生物科技,0.60%,国泰基金,2019-05-20,CS生医指数,11977.07,10528,9231,10276,5536,10000,55.69
创业板成长ETF,159967,0.441,10023,9992,策略，动量，成长,0.60%,华夏基金,2019-07-15,创成长指数,7312.89,9692,7833,7338,8688,10000,36.53
港股创新药ETF,513120,0.815,9891,10000,跨境，香港，医药,0.60%,广发基金,2022-07-12,港股创新药港币指数,75504.94,10476,8308,10626,10000,10000,24.84
中证红利ETF,515080,1.498,10000,10016,策略，红利,0.30%,招商基金,2019-12-27,中证红利指数,20528.18,10204,11059,11001,14405,10000,24.1
恒生科技ETF,513130,0.518,9829,10000,跨境，香港，科技,0.25%,华泰柏瑞基金,2021-06-01,恒生科技指数,162147.2,9350,9470,10444,10000,10000,91.5
创业板50ETF,159949,0.839,10000,10013,宽基，中小盘,0.60%,华安基金,2016-07-22,创业板50指数,44718.77,9688,8154,8098,8250,16713,175.15
电力ETF,159611,0.871,9989,9990,行业，电力,0.60%,广发基金,2022-01-07,电力指数,6278.4,9864,10093,9977,10000,10000,36.52
汽车ETF,516110,1.048,10058,10005,行业，汽车,0.60%,国泰基金,2021-05-07,800汽车指数,7205.93,10275,10771,10048,10000,10000,18.53
红利低波100ETF,515100,1.781,10028,10022,策略，低波动，红利,0.60%,景顺长城基金,2020-07-03,红利低波100指数,4410.18,9983,11686,12058,15514,10000,8.54
家电ETF,159996,1.114,10009,10001,行业，家电,0.60%,国泰基金,2020-03-16,家用电器指数,4319.45,10411,11074,10470,9330,10000,30.31
十年国债ETF,511260,122.689,10026,10000,债券，国债，利率债,0.40%,国泰基金,2017-08-24,10年国债指数,24181.34,9928,10281,10302,11108,12012,5.88
5GETF,515050,0.929,10109,10011,主题，新兴产业，5G,0.60%,华夏基金,2019-10-16,5G通信指数,5722.59,10345,11759,11642,7735,10000,80.87
券商ETF,512000,0.908,9945,10026,行业，金融，证券,0.60%,华宝基金,2016-09-14,证券公司指数,55994.8,9488,10913,11196,7781,13198,238.4
红利ETF易方达,515180,1.345,9993,9998,策略，红利,0.20%,易方达基金,2019-12-20,中证红利指数,6476.81,10189,11070,10947,13712,10000,26.57
中证500ETF,510500,5.792,10014,9991,宽基，中小盘,0.60%,南方基金,2013-03-15,中证500指数,188117.44,10186,9839,9792,9651,13124,483.95
科创板50ETF,588080,0.909,10066,9998,宽基，中小盘，科创板,0.48%,易方达基金,2020-11-16,科创50指数,60566.23,10191,9210,9054,10000,10000,236.83
中概互联网ETF,159607,0.737,9827,10000,跨境，中概股,0.60%,嘉实基金,2021-12-02,中国互联网30人民币指数,36301.07,9449,9144,10055,10000,10000,19.71
中概互联ETF,159605,0.737,9827,10000,跨境，中概股,0.60%,广发基金,2021-12-02,中国互联网30人民币指数,99729.15,9377,9167,10194,10000,10000,60.64
可转债ETF,511380,11.288,10031,10000,债券，可转债,0.20%,博时基金,2020-04-07,中证转债及可交换债指数,62120.17,9962,10295,9847,11246,10000,31.46
资源ETF,510410,1.12,10018,10011,行业，资源,0.60%,博时基金,2012-05-11,上证资源指数,2028.71,10438,10863,10117,18035,17125,3.57
红利低波50ETF,515450,1.395,9957,10000,策略，低波动，红利,0.60%,南方基金,2020-02-26,标普中国A股大盘红利低波50指数,3540.44,10160,12205,12565,14739,10000,2.93
红利低波ETF,512890,0.952,9990,10015,策略，红利,0.60%,华泰柏瑞基金,2019-01-18,红利低波指数,8690.84,10193,11638,11266,14760,10000,12.55
中药ETF,159647,1.114,10081,10002,行业，医药,0.60%,鹏华基金,2022-07-28,中证中药指数,5449.02,10549,10650,12447,10000,10000,10.66
上证指数ETF,510210,0.836,9976,10002,宽基，综合,0.60%,富国基金,2011-03-25,上证指数,18894.83,10195,10598,10574,10631,14419,44.24
军工龙头ETF,512710,0.638,10127,10007,行业，军工,0.60%,富国基金,2019-08-26,军工龙头指数,10378.39,10000,8692,7925,9018,10000,58.74
农业ETF,159825,0.734,9866,10016,行业，农业,0.60%,富国基金,2020-12-29,中证农业指数,5453.01,9879,8555,8210,10000,10000,29.05
人工智能ETF,159819,0.777,10039,10016,主题，新兴产业，人工智能,0.20%,易方达基金,2020-09-23,CS人工智能指数,20974.32,10224,11545,11991,8111,10000,38.84
国债ETF,511010,131.882,10044,10000,债券，国债，利率债,0.40%,国泰基金,2013-03-25,5年国债指数,32283.26,9961,10215,10228,10903,11627,12.94
稀有金属ETF,562800,0.529,10038,10016,主题，稀有金属,0.60%,嘉实基金,2021-09-27,CS稀金属指数,4344.64,9833,7849,6722,10000,10000,10.66
香港证券ETF,513090,1.102,9883,10139,跨境，香港,0.20%,易方达基金,2020-03-26,香港证券港元指数,50586.07,9549,10251,11154,9541,10000,15.32
MSCIA股ETF易方达,512090,1.43,9972,9997,MSCI,0.20%,易方达基金,2018-06-01,MSCI中国A股国际通指数,734.46,9972,9656,9591,9761,15409,4.52
教育ETF,513360,0.572,10196,10000,跨境，教育,0.65%,博时基金,2021-06-17,中国教育人民币指数,5845.45,10196,10854,14518,10000,10000,3.66
建材ETF,159745,0.72,10028,10010,行业，建筑材料,0.60%,国泰基金,2021-06-18,建筑材料指数,4240.72,10028,9278,9266,10000,10000,10.04
恒生医药ETF,159892,0.563,9877,10000,跨境，香港，生物科技,0.65%,华夏基金,2021-10-19,恒生香港上市生物科技指数,30751.6,10311,8043,10368,10000,10000,11.97
游戏ETF,516010,1.078,9991,10016,主题，游戏,0.60%,国泰基金,2021-03-05,动漫游戏指数,10818.3,9809,14092,15056,10000,10000,24.04
深红利ETF,159905,1.903,9963,10020,策略，红利,0.60%,工银瑞信基金,2011-01-11,深证红利指数,3215.68,9984,9814,10000,8361,13603,24.38
H股ETF,510900,0.771,9872,10223,跨境，香港，中概股,0.75%,易方达基金,2012-10-22,恒生中国企业指数,30674.32,9797,9542,10225,7212,6446,91.78
国防ETF,512670,0.741,10123,10001,行业，军工,0.40%,鹏华基金,2019-08-01,中证国防指数,8233.21,10014,8354,7561,9350,10000,31.15
创新药ETF易方达,516080,0.63,9968,9991,行业，医药,0.20%,易方达基金,2021-02-23,CS创新药指数,836.01,10843,9238,10311,10000,10000,2.78
日经225ETF,513880,1.139,9913,10000,跨境，日本,0.25%,华安基金,2019-06-25,日经225指数,398.25,9974,11470,11964,10645,10000,2.04
基建50ETF,516970,1.134,10027,10008,主题，基建,0.60%,广发基金,2021-07-05,基建工程指数,8746.48,9974,10628,10739,10000,10000,69.09
国证2000ETF,159628,0.977,10114,10019,宽基，中小盘,0.60%,万家基金,2022-07-18,国证2000指数,15252.14,10472,10427,10394,10000,10000,7.8
新能车ETF,515700,1.702,9977,9996,主题，新兴产业，新能源车,0.20%,平安基金,2020-02-10,新能源车指数,7887.58,9627,7815,6880,12826,10000,55.21
半导体设备ETF,159516,0.94,10307,10000,,0.60%,国泰基金,2023-07-27,半导体材料设备指数,6241.62,10538,10000,10000,10000,10000,13.44
高端装备ETF,159638,0.801,10139,9994,主题，高端装备,0.60%,嘉实基金,2022-08-12,高装细分50指数,4043.18,10063,9207,8659,10000,10000,18.97
恒生科技ETF基金,513260,0.974,9838,10000,跨境，香港，科技,0.20%,汇添富基金,2022-09-13,恒生科技指数,2982.55,9312,9411,10462,10000,10000,6.05
智能汽车ETF,515250,0.859,10142,10014,主题，智能汽车,0.60%,富国基金,2021-01-08,CS智汽车指数,5842.48,10553,11041,10118,10000,10000,7.42
纳斯达克ETF,513300,1.34,10007,10000,跨境，美国,0.80%,华夏基金,2020-11-05,纳斯达克100指数,24346.03,9867,13333,12885,10000,10000,19.96
中药ETF,560080,1.21,10058,10006,行业，医药,0.60%,汇添富基金,2022-10-17,中证中药指数,5317.61,10558,10605,10000,10000,10000,21.68
信息技术ETF,159939,0.532,10095,9987,行业，信息技术,0.60%,广发基金,2015-02-05,全指信息,4168.36,10270,10462,10598,7541,12727,24.34
养殖ETF,159865,0.66,9895,10012,行业，畜牧养殖,0.60%,国泰基金,2021-03-08,中证畜牧指数,9043.22,9851,8429,8333,10000,10000,57.95
沪深300ETF易方达,510310,1.797,9961,10006,宽基，大盘股,0.20%,易方达基金,2013-03-25,沪深300指数,39231.65,9950,9740,9740,8656,12175,194.07
港股通医药ETF,513200,0.832,9881,10209,跨境，香港，医药,0.20%,易方达基金,2022-02-11,HKC医药C港元指数,8451.34,10234,8157,10558,10000,10000,9.51
纳斯达克ETF,159632,1.236,10016,10000,跨境，美国,0.80%,华安基金,2022-08-03,纳斯达克100指数,20824.1,9960,14077,12902,10000,10000,54.06
电池ETF,159755,0.678,10000,9988,主题，新兴产业，新能源车，电池,0.60%,广发基金,2021-06-24,新能电池指数,10997.63,9430,7652,6713,10000,10000,57.06
医疗50ETF,159847,0.477,9937,10019,行业，医药,0.20%,易方达基金,2021-07-19,中证医疗指数,1339.35,10530,8310,9155,10000,10000,4.97
科技ETF,515000,1.189,10042,9989,主题，新兴产业，科技,0.60%,华宝基金,2019-08-16,科技龙头指数,4765.77,10250,10224,10504,7210,10000,31.21
计算机ETF,512720,1.055,10019,10009,行业，计算机,0.60%,国泰基金,2019-08-16,CS计算机指数,8548.34,10071,10403,11535,7777,10000,18.74
影视ETF,159855,0.862,10023,10011,主题，TMT，影视,0.60%,银华基金,2021-02-26,中证影视指数,491.87,9829,10299,11478,10000,10000,0.529
短融ETF,511360,107.999,10007,10000,债券，信用债，短期融资券,0.20%,海富通基金,2020-09-25,中证短融指数,1251797.18,10007,10173,10214,10776,10000,193.87
大数据ETF,515400,0.812,10000,9984,主题，新兴产业,0.60%,富国基金,2021-01-20,中证数据指数,6998.6,10000,10943,12359,10000,10000,11.92
