name,code,close,rate,premium,tag,mtexp,fundfirm,listdate,index,avgamount,m1,y0,y1,y3,y5,scale
沪深300ETF,510300,3.8,9865,10004,宽基，大盘股,0.60%,华泰柏瑞基金,2012-05-28,沪深300指数,403646.86,9774,9801,9170,8374,12375,718.71
豆粕ETF,159985,2.343,10205,10023,商品，农产品,0.60%,华夏基金,2019-12-05,大商所豆粕期货价格指数,22269.38,11047,11657,14699,23107,10000,5.06
酒ETF,512690,0.8,10000,10011,行业，食品饮料，酒,0.60%,鹏华基金,2019-05-06,中证酒指数,60208.68,10296,9412,9709,12438,10000,126.68
证券ETF,512880,0.985,9647,9982,行业，金融，证券,0.60%,国泰基金,2016-08-08,证券公司指数,173609.76,10993,11335,10580,7861,13796,329.09
纳指ETF,513100,1.086,10028,10000,跨境，美国,0.80%,国泰基金,2013-05-15,纳斯达克100指数,51894.49,9468,13592,11703,13225,20452,85.5
科创50ETF,588000,0.936,9853,10016,宽基，中小盘，科创板,0.60%,华夏基金,2020-11-16,科创50指数,332030.74,9295,9332,8062,10000,10000,671.92
医疗ETF,512170,0.401,9926,10004,行业，医药,0.60%,华宝基金,2019-06-17,中证医疗指数,60480.88,9686,7894,7863,5781,10000,226.83
房地产ETF,512200,0.648,9818,10000,行业，金融，房地产,0.60%,南方基金,2017-09-25,房地产指数,27436.43,10571,9000,8710,6579,8901,44.15
黄金ETF,518880,4.438,10038,10000,商品，黄金,0.60%,华安基金,2013-07-29,黄金9999指数,48770.41,9928,11134,11800,10856,16971,104.07
上证50ETF,510050,2.547,9872,9993,宽基，大盘股,0.60%,华夏基金,2005-02-23,上证50指数,209274.13,9887,9615,9252,8015,11197,576.21
中概互联网ETF,513050,1.013,9787,10000,跨境，中概股,0.85%,易方达基金,2017-01-18,中国互联网50指数,105203.29,9902,9731,9912,5195,7599,345.76
恒生科技指数ETF,513180,0.544,9784,10000,跨境，香港，科技,0.65%,华夏基金,2021-05-25,恒生科技指数,267782.19,9855,9909,9982,10000,10000,185.95
半导体ETF,512480,0.792,9875,10003,行业，半导体，芯片,0.60%,国联安基金,2019-06-12,半导体指数,121215.88,8929,9612,7904,7110,10000,247.29
光伏ETF,515790,1.052,9714,10026,主题，光伏，新兴产业,0.60%,华泰柏瑞基金,2020-12-18,光伏产业指数,55554.1,8961,7656,5777,10000,10000,164.95
创业板ETF,159915,2.035,9855,10008,宽基，中小盘,0.60%,易方达基金,2011-12-09,创业板指,131952.97,9677,8929,7671,8130,14887,390.03
消费ETF,159928,0.927,9925,9994,行业，消费，必选消费,0.60%,汇添富基金,2013-09-16,中证消费指数,14276.13,9925,8879,8754,8314,18872,108.93
医药ETF,512010,0.412,9904,10033,行业，医药,0.60%,易方达基金,2013-10-28,300医药指数,59756.51,9717,8619,8565,5947,10135,185.87
创业板50ETF,159949,0.888,9867,10028,宽基，中小盘,0.60%,华安基金,2016-07-22,创业板50指数,54208.0,9737,8630,7345,8680,16660,175.15
新能源ETF,516160,0.783,9800,10025,主题，新能源，新兴产业,0.20%,南方基金,2021-02-04,中证新能指数,18494.13,9288,7933,6005,10000,10000,64.43
游戏ETF,159869,1.131,9895,9985,主题，游戏,0.60%,华夏基金,2021-03-05,动漫游戏指数,44797.88,9173,14823,13810,10000,10000,80.38
恒生医疗ETF,513060,0.46,9892,10000,跨境，香港，医药，医疗保健,0.65%,博时基金,2021-03-29,恒生医疗保健指数,135991.01,9407,7679,8614,10000,10000,98.11
银行ETF,512800,1.099,9865,10011,行业，金融，银行,0.60%,华宝基金,2017-08-03,中证银行指数,22486.35,10083,10195,10507,10204,12117,77.45
通信ETF,515880,1.089,10028,10005,行业，TMT，通信,0.60%,国泰基金,2019-09-06,通信设备指数,16520.77,9090,13232,11250,8705,10000,32.82
纳指ETF,159941,0.819,10024,10000,跨境，美国,1.05%,广发基金,2015-07-13,纳斯达克100指数,73959.09,9468,13650,11683,13409,19417,170.26
创新药ETF,159992,0.789,9937,10018,行业，医药,0.55%,银华基金,2020-04-10,CS创新药指数,23946.14,9741,8420,8176,5616,10000,77.31
人工智能ETF,159819,0.8,10013,10027,主题，新兴产业，人工智能,0.20%,易方达基金,2020-09-23,CS人工智能指数,16543.33,9206,11887,10811,10000,10000,38.84
芯片ETF,159995,0.938,9874,10007,行业，半导体，芯片,0.60%,华夏基金,2020-02-10,国证芯片指数,55715.25,9045,9380,7558,7368,10000,249.82
标普500ETF,513500,1.503,10040,10000,跨境，美国,0.85%,博时基金,2014-01-15,标准普尔500指数,23447.38,9753,11976,10995,13689,16507,71.88
恒生互联网ETF,513330,0.417,9789,10000,跨境，香港，互联网,0.65%,华夏基金,2021-02-08,恒生互联网科技业指数,255351.01,9743,9006,9145,10000,10000,289.87
军工ETF,512660,1.02,9836,10013,行业，军工,0.60%,国泰基金,2016-08-08,中证军工指数,39471.34,9533,9480,8423,8778,15201,103.31
煤炭ETF,515220,2.019,9878,10015,行业，煤炭，资源,0.60%,国泰基金,2020-03-02,中证煤炭指数,7546.47,9551,9483,8094,18951,10000,38.25
恒生ETF,159920,1.06,9815,10000,跨境，香港,0.75%,华夏基金,2012-10-22,香港恒生指数,76830.74,9490,9447,9698,7709,7290,159.88
恒生科技ETF,513130,0.536,9781,10000,跨境，香港，科技,0.25%,华泰柏瑞基金,2021-06-01,恒生科技指数,235551.66,9745,9799,9817,10000,10000,91.5
新能源车ETF,515030,1.402,9832,9999,主题，新兴产业，新能源车,0.60%,华夏基金,2020-03-04,CS新能车指数,25559.96,9347,8355,6402,13177,10000,116.5
香港证券ETF,513090,1.117,9563,10133,跨境，香港,0.20%,易方达基金,2020-03-26,香港证券港元指数,127133.48,10210,10391,10400,8632,10000,15.32
电力ETF,159611,0.9,9868,9989,行业，电力,0.60%,广发基金,2022-01-07,电力指数,7611.42,9783,10429,9424,10000,10000,36.52
养殖ETF,159865,0.665,9866,10018,行业，畜牧养殖,0.60%,国泰基金,2021-03-08,中证畜牧指数,12160.91,9379,8493,7742,10000,10000,57.95
券商ETF,512000,0.944,9662,9985,行业，金融，证券,0.60%,华宝基金,2016-09-14,证券公司指数,106606.68,10990,11346,10583,7893,13882,238.4
能源化工ETF,159981,1.639,10315,10000,商品，化工,0.60%,建信基金,2020-01-17,易盛能化A,2982.83,10602,10840,11462,18796,10000,4.28
德国ETF,513030,1.218,10058,10000,跨境，德国,1.00%,华安基金,2014-09-05,德国DAX指数,1642.59,9598,11791,13027,10953,11330,4.29
旅游ETF,159766,0.869,9786,10017,主题，旅游,0.60%,富国基金,2021-07-23,中证旅游指数,16443.59,9720,7697,9176,10000,10000,29.51
钢铁ETF,515210,1.287,9870,9990,行业，钢铁,0.60%,国泰基金,2020-03-02,中证钢铁指数,6456.22,10214,10039,8928,11464,10000,15.49
中证红利ETF,515080,1.466,9912,10013,策略，红利,0.30%,招商基金,2019-12-27,中证红利指数,14474.76,10062,10823,10639,13790,10000,24.1
创业板成长ETF,159967,0.464,9831,9996,策略，动量，成长,0.60%,华夏基金,2019-07-15,创成长指数,9409.19,9374,8242,6834,9102,10000,36.53
日经ETF,513520,1.203,10109,10000,跨境，日本,0.25%,华夏基金,2019-06-25,日经225指数,2269.52,9548,11725,11201,10996,10000,4.36
十年国债ETF,511260,123.819,10023,10000,债券，国债，利率债,0.40%,国泰基金,2017-08-24,10年国债指数,33607.19,10098,10376,10320,11223,12169,5.88
中证500ETF,510500,5.811,9869,9988,宽基，中小盘,0.60%,南方基金,2013-03-15,中证500指数,167654.48,9642,9871,9099,9175,12979,483.95
生物医药ETF,512290,1.067,9916,9993,行业，医药，生物科技,0.60%,国泰基金,2019-05-20,CS生医指数,11847.04,9647,8825,8847,4984,10000,55.69
电池ETF,159755,0.748,9816,10014,主题，新兴产业，新能源车，电池,0.60%,广发基金,2021-06-24,新能电池指数,15689.06,9385,8442,6323,10000,10000,57.06
证券保险ETF,512070,0.662,9636,9999,行业，金融,0.60%,易方达基金,2014-07-18,300非银指数,29019.3,10475,10835,11070,7773,12275,52.7
传媒ETF,512980,0.78,9949,9990,行业，TMT，传媒,0.60%,广发基金,2018-01-19,中证传媒指数,13365.98,9319,13022,12808,8000,10612,50.19
红利低波50ETF,515450,1.374,9935,10000,策略，低波动，红利,0.60%,南方基金,2020-02-26,标普中国A股大盘红利低波50指数,4100.97,9928,12021,12259,14069,10000,2.93
中概互联网ETF,159607,0.758,9768,10000,跨境，中概股,0.60%,嘉实基金,2021-12-02,中国互联网30人民币指数,72033.43,9693,9404,10161,10000,10000,19.71
上证指数ETF,510210,0.862,9863,9998,宽基，综合,0.60%,富国基金,2011-03-25,上证指数,35292.36,9851,10475,9867,10078,14449,44.24
汽车ETF,516110,1.019,9893,9991,行业，汽车,0.60%,国泰基金,2021-05-07,800汽车指数,13513.93,9613,10473,8665,10000,10000,18.53
教育ETF,513360,0.552,10018,10000,跨境，教育,0.65%,博时基金,2021-06-17,中国教育人民币指数,8113.44,10185,10474,13869,10000,10000,3.66
恒生科技30ETF,513010,0.553,9788,10000,跨境，香港，科技,0.25%,易方达基金,2021-05-25,恒生科技指数,54571.38,9840,9964,10091,10000,10000,45.57
纳斯达克ETF,513300,1.351,10022,10000,跨境，美国,0.80%,华夏基金,2020-11-05,纳斯达克100指数,27085.49,9349,13443,11768,10000,10000,19.96
红利ETF,510880,3.004,9917,10027,策略，红利,0.60%,华泰柏瑞基金,2007-01-18,红利指数,24723.1,10087,11015,10713,12163,14265,159.31
港股创新药ETF,513120,0.759,9935,10000,跨境，香港，医药,0.60%,广发基金,2022-07-12,港股创新药港币指数,70384.08,9595,7737,8586,10000,10000,24.84
基建50ETF,516970,1.211,9943,9996,主题，基建,0.60%,广发基金,2021-07-05,基建工程指数,12848.09,10017,11350,10822,10000,10000,69.09
城投债ETF,511220,9.964,10011,10000,债券，企业债，信用债,0.40%,海富通基金,2014-12-16,沪城投债指数,28972.05,10091,10481,10253,11427,12691,13.94
中证1000ETF,512100,2.436,9890,9989,宽基，中小盘,0.60%,南方基金,2016-11-04,中证1000指数,109245.17,9438,9717,8417,9190,14622,98.15
游戏ETF,516010,1.124,9929,10016,主题，游戏,0.60%,国泰基金,2021-03-05,动漫游戏指数,14603.34,9213,14693,13724,10000,10000,24.04
建材ETF,159745,0.731,9905,9967,行业，建筑材料,0.60%,国泰基金,2021-06-18,建筑材料指数,8795.62,10209,9420,8540,10000,10000,10.04
深红利ETF,159905,1.91,9891,10012,策略，红利,0.60%,工银瑞信基金,2011-01-11,深证红利指数,3851.85,9835,9850,9830,8219,14211,24.38
中药ETF,159647,1.075,9954,9994,行业，医药,0.60%,鹏华基金,2022-07-28,中证中药指数,7205.31,9711,10277,11268,10000,10000,10.66
沪深300ETF易方达,510310,1.812,9859,9996,宽基，大盘股,0.20%,易方达基金,2013-03-25,沪深300指数,44960.58,9768,9821,9193,8555,12788,194.07
5GETF,515050,0.927,9957,10030,主题，新兴产业，5G,0.60%,华夏基金,2019-10-16,5G通信指数,4811.91,9035,11734,9737,7203,10000,80.87
软件ETF,515230,0.882,9944,9989,主题，新兴产业，软件,0.60%,国泰基金,2021-03-02,软件指数,7976.79,9525,11236,11729,10000,10000,14.29
国债ETF,511010,132.578,10009,10000,债券，国债，利率债,0.40%,国泰基金,2013-03-25,5年国债指数,46265.04,10047,10269,10231,10946,11766,12.94
芯片ETF,512760,0.901,9869,9998,行业，半导体，芯片,0.60%,国泰基金,2019-06-12,中华半导体人民币指数,38767.44,9001,9647,7808,7403,10000,195.06
农业ETF,159825,0.741,9880,10032,行业，农业,0.60%,富国基金,2020-12-29,中证农业指数,6727.57,9452,8636,7592,10000,10000,29.05
H股ETF,510900,0.77,9784,10159,跨境，香港，中概股,0.75%,易方达基金,2012-10-22,恒生中国企业指数,43341.91,9637,9530,9859,6564,6696,91.78
化工ETF,159870,0.659,9865,10019,行业，化工,0.60%,鹏华基金,2021-03-03,细分化工指数,10524.42,9523,8752,7489,10000,10000,22.08
中概互联ETF,159605,0.762,9757,10000,跨境，中概股,0.60%,广发基金,2021-12-02,中国互联网30人民币指数,154382.59,9707,9478,10283,10000,10000,60.64
