,nlmy,jchg,gt,ysjs,dz,jydq,spyl,fzfs,qgzz,yysw,gysy,jtys,fdc,smls,shfw,zh,jzcl,jzzs,dlsb,gfjg,jsj,cm,tx,yx,fyjr,qc,jxsb,ms,sysh,hb,mrhl
name,农林牧渔,基础化工,钢铁,有色金属,电子,家用电器,食品饮料,纺织服饰,轻工制造,医药生物,公用事业,交通运输,房地产,商贸零售,社会服务,综合,建筑材料,建筑装饰,电力设备,国防军工,计算机,传媒,通信,银行,非银金融,汽车,机械设备,煤炭,石油石化,环保,美容护理
code,801010,801030,801040,801050,801080,801110,801120,801130,801140,801150,801160,801170,801180,801200,801210,801230,801710,801720,801730,801740,801750,801760,801770,801780,801790,801880,801890,801950,801960,801970,801980
open,2955.06,3662.00,2163.14,4389.52,3785.80,7375.53,20972.45,1596.17,2270.79,8487.88,2352.16,2166.98,2555.63,2177.84,9880.60,2704.86,5386.02,2169.79,8872.27,1551.61,4894.61,772.04,2708.97,3049.23,1463.19,5591.73,1566.39,2499.57,2216.04,1772.88,6114.75
close,2977.75,3726.06,2188.14,4443.82,3870.12,7347.58,20873.28,1625.74,2283.68,8565.25,2347.02,2178.95,2567.03,2194.91,9955.16,2726.45,5397.98,2185.24,9021.42,1577.50,4941.44,770.62,2769.56,3068.63,1480.46,5657.44,1586.75,2537.09,2242.56,1790.78,6177.98
low,2942.54,3658.98,2161.69,4377.89,3784.07,7316.65,20835.30,1595.40,2259.03,8487.71,2340.50,2165.20,2554.29,2174.10,9857.16,2697.52,5377.60,2167.91,8820.86,1551.61,4859.91,762.11,2708.80,3048.38,1463.16,5570.75,1560.89,2499.57,2213.03,1771.34,6112.21
high,2993.63,3737.20,2196.54,4465.89,3878.09,7416.28,21053.63,1633.41,2294.36,8622.69,2364.65,2184.80,2601.40,2204.74,10000.53,2734.84,5438.46,2194.02,9075.63,1584.48,4963.74,779.58,2803.28,3081.36,1490.10,5673.92,1587.83,2547.07,2254.04,1795.07,6237.74
amount,9655.19,35147.16,3163.55,29137.52,81358.87,16362.52,21803.65,6684.25,15744.29,44808.53,20874.78,10554.84,10187.73,10104.11,7578.79,1437.56,6710.68,15606.83,80138.30,35728.43,88763.30,51629.29,64884.15,9808.64,19917.29,49138.96,73604.66,6430.32,5494.71,5757.78,2616.37
number,1081.70,2987.89,681.47,2212.87,5269.33,1461.83,642.52,858.02,1523.39,2723.95,2771.85,1533.81,2523.74,1024.82,672.00,248.10,729.34,2088.10,4153.64,1696.95,4805.74,4462.55,2908.48,1807.58,1993.25,3705.78,5625.24,903.50,829.28,710.97,178.38
