fund_id,fund_nm,index_id,fee,m_fee,t_fee,creation_unit,issuer_nm,urls,eval_flg,ex_dt,ex_info,amount,amount_notes,unit_total,unit_incr,price,volume,last_dt,last_time,increase_rt,estimate_value,last_est_time,discount_rt,fund_nav,nav_dt,index_nm,index_increase_rt,idx_price_dt,owned,holded,pe,pb
159601,A50,-,0.60,0.50,0.10,260.0,华夏基金,https://www.chinaamc.com/fund/159601/index.shtml,Y,,,480459,,37.19,-0.12,0.774,5250.32,2023-07-11,15:14:48,0.78,0.7735,22:50:01,0.06,0.7735,2023-07-11,中国A50互联互通,0.57,2023-07-11,0,0,-,-
159602,中国A50,-,0.60,0.50,0.10,200.0,南方基金,http://www.nffund.com/main/jjcp/fundproduct/159602.shtml,Y,,,200054,,15.42,-0.06,0.771,1059.49,2023-07-11,15:14:33,0.78,0.7718,22:50:01,-0.10,0.7718,2023-07-11,中国A50互联互通,0.57,2023-07-11,0,0,-,-
159603,双创天弘,-,0.60,0.50,0.10,100.0,天弘基金,http://www.thfund.com.cn/fundinfo/159603,Y,,,227107,,19.96,0.00,0.879,305.67,2023-07-11,15:14:54,0.92,0.8792,22:50:01,-0.02,0.8792,2023-07-11,科创创业50,0.79,2023-07-11,0,0,-,-
159606,500成长,-,0.60,0.50,0.10,100.0,易方达,https://www.efunds.com.cn/fund/159606.shtml,Y,,,65422,,5.34,-0.02,0.816,300.46,2023-07-11,15:14:57,0.62,0.8177,22:50:01,-0.23,0.8179,2023-07-11,500质量,0.67,2023-07-11,0,0,-,-
159608,稀有金属,-,0.60,0.50,0.10,80.0,广发基金,http://www.gffunds.com.cn/funds/?fundcode=159608&fromSearch=1,Y,,,33361,,2.29,-0.01,0.686,1125.69,2023-07-11,15:14:39,0.00,0.6877,22:50:01,-0.23,0.6876,2023-07-11,CS稀金属,0.31,2023-07-11,0,0,-,-
159609,光伏龙头,-,0.60,0.50,0.10,0.0,浦银安盛,https://www.py-axa.com/productDetails?fundCode=159609,Y,,,37190,,2.63,-0.04,0.707,1271.40,2023-07-11,15:14:42,-0.70,0.7064,22:50:01,0.06,0.7066,2023-07-11,光伏产业,-0.85,2023-07-11,0,0,-,-
159610,500增强,000905,0.60,0.50,0.10,100.0,景顺长城,http://www.igwfmc.com/main/jjcp/product/159610/detail.html,Y,,,60057,,4.98,0.02,0.830,1967.31,2023-07-11,15:14:45,0.73,0.8313,22:50:01,-0.14,0.8312,2023-07-11,中证500,0.75,2023-07-11,0,0,-,-
159611,电力ETF,-,0.60,0.50,0.10,80.0,广发基金,http://www.gffunds.com.cn/funds/?fundcode=159611&fromSearch=1,Y,,,382876,,36.18,-1.39,0.945,18939.04,2023-07-11,15:14:51,-0.63,0.9455,22:50:01,-0.06,0.9456,2023-07-11,电力指数,-0.57,2023-07-11,0,0,-,-
159613,嘉实信安,399994,0.60,0.50,0.10,100.0,嘉实基金,https://www.jsfund.cn/main/fund/159613/fundManager.shtml,Y,,,10059,,0.93,0.00,0.921,460.51,2023-07-11,15:14:03,0.66,0.9223,22:50:01,-0.14,0.9223,2023-07-11,信息安全,0.88,2023-07-11,0,0,-,-
159616,农牧ETF,-,0.60,0.50,0.10,100.0,建信基金,https://www.ccbfund.cn/fund_info/info.jspx?fundCode=159616,Y,,,12956,,1.01,-0.01,0.777,308.03,2023-07-11,15:14:51,0.00,0.7777,22:50:01,-0.10,0.7778,2023-07-11,农牧主题,-0.06,2023-07-11,0,0,-,-
