,nlmy,jchg,gt,ysjs,dz,jydq,spyl,fzfs,qgzz,yysw,gysy,jtys,fdc,smls,shfw,zh,jzcl,jzzs,dlsb,gfjg,jsj,cm,tx,yx,fyjr,qc,jxsb,ms,sysh,hb,mrhl
name,农林牧渔,基础化工,钢铁,有色金属,电子,家用电器,食品饮料,纺织服饰,轻工制造,医药生物,公用事业,交通运输,房地产,商贸零售,社会服务,综合,建筑材料,建筑装饰,电力设备,国防军工,计算机,传媒,通信,银行,非银金融,汽车,机械设备,煤炭,石油石化,环保,美容护理
code,801010,801030,801040,801050,801080,801110,801120,801130,801140,801150,801160,801170,801180,801200,801210,801230,801710,801720,801730,801740,801750,801760,801770,801780,801790,801880,801890,801950,801960,801970,801980
open,2940.61,3734.42,2246.25,4606.52,3904.56,7317.63,21039.85,1623.74,2277.38,8518.00,2344.30,2214.67,2553.17,2218.22,10030.12,2738.29,5361.71,2207.67,8935.89,1565.62,4885.86,733.55,2701.36,3063.79,1495.76,5808.71,1585.43,2562.36,2293.04,1795.32,6171.54
close,2962.94,3723.57,2223.38,4537.61,3948.21,7279.61,20946.85,1614.33,2282.71,8399.20,2341.73,2206.40,2580.50,2203.61,10003.06,2736.69,5332.50,2197.41,8876.49,1557.56,4920.85,736.83,2728.81,3043.19,1497.96,5854.57,1583.54,2556.90,2286.46,1787.31,6134.65
low,2930.52,3712.38,2217.14,4525.29,3901.33,7268.50,20915.40,1612.61,2274.49,8387.17,2336.27,2201.09,2541.75,2199.81,9979.60,2726.14,5323.00,2191.73,8851.14,1556.75,4869.83,733.41,2695.99,3037.80,1493.97,5770.39,1580.39,2543.56,2274.38,1783.26,6130.37
high,2988.26,3736.00,2246.90,4606.52,3985.54,7397.02,21276.16,1633.15,2293.32,8518.00,2356.97,2225.67,2594.23,2227.21,10124.43,2743.66,5372.17,2212.48,8947.87,1572.08,4996.36,756.01,2775.13,3070.99,1514.62,5874.78,1594.36,2567.03,2297.26,1795.42,6218.96
amount,9713.93,26862.30,3752.99,45165.08,84815.82,11022.15,19248.44,3987.57,11124.96,40266.99,17279.00,9743.31,12695.38,8828.02,7113.15,1046.79,5709.45,14002.76,55688.33,25558.24,84595.03,43158.59,49080.81,10985.26,15531.68,61568.36,57763.81,5027.93,4530.66,4691.76,2122.95
number,1102.20,2353.62,1063.28,3965.86,5704.33,944.37,575.44,568.10,956.85,2499.53,2341.93,1259.70,3769.52,934.99,648.71,156.33,521.90,1839.94,3166.00,1544.52,4350.72,3601.15,2372.48,1993.14,1449.19,4375.99,4549.40,676.58,715.76,555.96,157.92
