fund_id,fund_nm,index_id,fee,m_fee,t_fee,creation_unit,issuer_nm,urls,eval_flg,ex_dt,ex_info,amount,amount_notes,unit_total,unit_incr,price,volume,last_dt,last_time,increase_rt,estimate_value,last_est_time,discount_rt,fund_nav,nav_dt,index_nm,index_increase_rt,idx_price_dt,owned,holded,pe,pb
159531,中证2000,-,0.60,0.50,0.10,400.0,南方基金,https://www.nffund.com/main/jjcp/fundproduct/159531.shtml,Y,,,17261,,1.73,0.00,1.000,5828.26,2023-09-28,15:14:24,1.52,1.0014,15:37:54,-0.14,0.9881,2023-09-27,中证2000,1.35,2023-09-28,0,0,-,-
159532,2000E,-,0.60,0.50,0.10,200.0,易方达,https://www.efunds.com.cn/fund/159532.shtml,Y,,,50356,,5.12,-0.26,1.016,17918.41,2023-09-28,15:14:27,1.80,1.0121,15:37:54,0.39,0.9986,2023-09-27,中证2000,1.35,2023-09-28,0,0,-,-
159535,2000指数,-,0.60,0.50,0.10,300.0,嘉实基金,https://www.efunds.com.cn/fund/159532.shtml,Y,,,28998,,2.93,-0.30,1.012,7161.61,2023-09-28,15:14:27,1.00,1.0158,15:37:54,-0.38,1.0023,2023-09-27,中证2000,1.35,2023-09-28,0,0,-,-
159536,CSI2000,-,0.60,0.50,0.10,400.0,汇添富,https://www.99fund.com/main/products/pofund/159536/fundgk.shtml,Y,,,64126,,6.48,-1.01,1.010,19804.92,2023-09-28,15:14:30,1.00,1.0126,15:37:54,-0.26,1.0121,2023-09-28,中证2000,1.35,2023-09-28,0,0,-,-
159601,A50,-,0.60,0.50,0.10,260.0,华夏基金,https://www.chinaamc.com/fund/159601/index.shtml,Y,,,531939,,40.06,-0.02,0.753,8935.29,2023-09-28,15:14:24,-0.66,0.7522,15:37:54,0.10,0.7566,2023-09-27,中国A50互联互通,-0.58,2023-09-28,0,0,-,-
159602,中国A50,-,0.60,0.50,0.10,200.0,南方基金,http://www.nffund.com/main/jjcp/fundproduct/159602.shtml,Y,,,190654,,14.32,0.00,0.751,2595.15,2023-09-28,15:14:36,-0.66,0.7504,15:37:54,0.08,0.7548,2023-09-27,中国A50互联互通,-0.58,2023-09-28,0,0,-,-
159603,双创天弘,-,0.60,0.50,0.10,100.0,天弘基金,http://www.thfund.com.cn/fundinfo/159603,Y,,,242907,,19.14,0.00,0.788,238.78,2023-09-28,15:14:39,0.13,0.7891,15:37:54,-0.14,0.7891,2023-09-28,科创创业50,0.24,2023-09-28,0,0,-,-
159606,500成长,-,0.60,0.50,0.10,100.0,易方达,https://www.efunds.com.cn/fund/159606.shtml,Y,,,63022,,4.95,0.01,0.785,472.79,2023-09-28,15:14:45,0.26,0.7852,15:37:54,-0.02,0.7844,2023-09-27,500质量,0.10,2023-09-28,0,0,-,-
159608,稀有金属,-,0.60,0.50,0.10,80.0,广发基金,http://www.gffunds.com.cn/funds/?fundcode=159608&fromSearch=1,Y,,,43601,,2.55,0.00,0.584,848.90,2023-09-28,15:14:45,0.69,0.5823,15:37:54,0.30,0.5800,2023-09-27,CS稀金属,0.39,2023-09-28,0,0,-,-
159609,光伏龙头,-,0.60,0.50,0.10,0.0,浦银安盛,https://www.py-axa.com/productDetails?fundCode=159609,Y,,,46690,,2.75,-0.11,0.588,828.82,2023-09-28,15:14:27,0.34,0.5878,15:37:54,0.04,0.5878,2023-09-28,光伏产业,0.05,2023-09-28,0,0,-,-
