,nlmy,jchg,gt,ysjs,dz,jydq,spyl,fzfs,qgzz,yysw,gysy,jtys,fdc,smls,shfw,zh,jzcl,jzzs,dlsb,gfjg,jsj,cm,tx,yx,fyjr,qc,jxsb,ms,sysh,hb,mrhl
name,农林牧渔,基础化工,钢铁,有色金属,电子,家用电器,食品饮料,纺织服饰,轻工制造,医药生物,公用事业,交通运输,房地产,商贸零售,社会服务,综合,建筑材料,建筑装饰,电力设备,国防军工,计算机,传媒,通信,银行,非银金融,汽车,机械设备,煤炭,石油石化,环保,美容护理
code,801010,801030,801040,801050,801080,801110,801120,801130,801140,801150,801160,801170,801180,801200,801210,801230,801710,801720,801730,801740,801750,801760,801770,801780,801790,801880,801890,801950,801960,801970,801980
open,3006.07,3792.77,2223.85,4622.51,3898.10,7214.53,21103.08,1620.81,2247.78,8420.95,2365.62,2204.52,2521.62,2242.46,10055.71,2721.41,5309.53,2179.00,8997.05,1531.91,4723.12,720.76,2618.25,3046.04,1509.84,5887.23,1565.49,2512.86,2315.43,1792.88,6077.39
close,3022.13,3811.82,2232.95,4653.49,3991.41,7246.97,21528.36,1626.27,2260.79,8505.73,2373.42,2214.97,2536.73,2261.53,10126.03,2725.23,5334.05,2203.43,9049.62,1538.98,4768.23,740.48,2672.93,3072.30,1532.64,5860.22,1570.95,2525.70,2350.38,1804.64,6203.57
low,2999.54,3790.45,2222.64,4622.51,3894.85,7214.51,21103.07,1617.71,2245.99,8420.70,2358.36,2204.52,2521.52,2242.34,9991.05,2713.45,5309.53,2178.98,8997.05,1531.24,4689.93,716.48,2601.27,3038.41,1509.84,5823.03,1557.72,2511.77,2313.04,1792.83,6077.26
high,3023.24,3817.03,2241.92,4678.88,3996.06,7279.93,21557.37,1633.89,2266.70,8514.41,2379.14,2218.61,2541.18,2264.66,10133.12,2735.12,5339.75,2203.92,9147.77,1544.76,4781.68,743.31,2674.96,3074.21,1534.31,5908.94,1572.34,2535.79,2350.97,1808.53,6210.26
amount,9472.67,29777.59,3330.54,40811.12,97389.32,11662.60,33845.71,4542.79,10546.73,42853.75,22836.34,11413.09,9905.63,12015.08,9367.01,891.95,5275.38,17055.63,82863.40,22302.22,82323.96,55068.65,48570.72,13764.72,30293.40,68681.25,52505.69,4792.01,7682.01,5746.09,2940.56
number,1059.32,2559.53,737.07,3512.56,5819.33,914.29,820.33,590.17,1013.24,2226.71,2980.55,1710.17,2478.03,1175.83,1012.45,140.23,585.17,2209.86,4180.21,1532.48,4524.96,4624.71,2214.28,2240.12,2736.38,5148.73,4269.41,594.40,1015.24,725.00,134.91
