,nlmy,jchg,gt,ysjs,dz,jydq,spyl,fzfs,qgzz,yysw,gysy,jtys,fdc,smls,shfw,zh,jzcl,jzzs,dlsb,gfjg,jsj,cm,tx,yx,fyjr,qc,jxsb,ms,sysh,hb,mrhl
name,农林牧渔,基础化工,钢铁,有色金属,电子,家用电器,食品饮料,纺织服饰,轻工制造,医药生物,公用事业,交通运输,房地产,商贸零售,社会服务,综合,建筑材料,建筑装饰,电力设备,国防军工,计算机,传媒,通信,银行,非银金融,汽车,机械设备,煤炭,石油石化,环保,美容护理
code,801010,801030,801040,801050,801080,801110,801120,801130,801140,801150,801160,801170,801180,801200,801210,801230,801710,801720,801730,801740,801750,801760,801770,801780,801790,801880,801890,801950,801960,801970,801980
open,2998.87,3801.79,2221.82,4591.52,4011.18,7179.46,21384.96,1623.70,2252.43,8441.87,2347.21,2207.90,2516.07,2243.40,9994.75,2696.37,5320.60,2201.99,8860.45,1532.71,4863.55,747.63,2753.90,3042.74,1525.31,5772.41,1574.55,2493.40,2347.02,1796.29,6118.55
close,3038.45,3793.58,2205.90,4568.59,4010.96,7160.32,21205.96,1618.90,2260.15,8421.34,2346.05,2208.34,2521.41,2238.54,9955.71,2687.79,5302.98,2203.03,8863.83,1535.87,4867.29,736.27,2777.14,3031.91,1518.60,5765.53,1580.31,2468.11,2336.75,1813.91,6044.59
low,2985.75,3774.84,2196.87,4552.83,3988.67,7096.31,21094.12,1606.99,2231.84,8361.74,2339.39,2193.79,2497.98,2225.34,9892.20,2649.02,5261.71,2182.61,8816.86,1523.20,4846.53,732.97,2750.90,3019.82,1512.53,5711.03,1567.33,2451.46,2322.00,1782.13,6018.65
high,3055.06,3801.82,2221.82,4598.71,4022.23,7179.46,21384.96,1623.73,2260.15,8441.87,2352.99,2208.64,2521.66,2244.30,9995.26,2697.00,5320.65,2203.39,8881.37,1539.18,4916.80,750.11,2808.59,3042.74,1525.31,5772.98,1580.31,2493.40,2347.02,1818.28,6118.55
amount,10686.92,28789.84,3644.57,28231.67,94725.99,10588.63,18526.10,4836.82,9244.37,36539.32,15881.50,10084.13,9338.98,8556.26,7869.48,905.56,4232.36,12988.29,66553.70,21619.41,88723.52,49779.48,50476.37,10210.79,15850.07,50688.23,50888.88,5432.81,5486.68,8312.09,2335.65
number,1132.31,2651.94,864.97,2355.11,5662.59,909.26,651.88,661.29,881.70,2236.52,2285.56,1512.95,2405.02,1180.84,791.95,144.52,503.69,1721.29,3764.30,1345.40,4922.74,4006.56,2806.85,1865.50,1595.21,3976.87,4389.47,624.12,788.08,1020.57,130.81
