fund_id,fund_nm,index_id,fee,m_fee,t_fee,creation_unit,issuer_nm,urls,eval_flg,ex_dt,ex_info,amount,amount_notes,unit_total,unit_incr,price,volume,last_dt,last_time,increase_rt,estimate_value,last_est_time,discount_rt,fund_nav,nav_dt,index_nm,index_increase_rt,idx_price_dt,owned,holded,pe,pb
159601,A50,-,0.60,0.50,0.10,260.0,华夏基金,https://www.chinaamc.com/fund/159601/index.shtml,Y,,,477859,,37.32,-0.02,0.781,4491.15,2023-07-17,15:14:03,-0.64,0.7806,21:35:01,-0.04,0.7813,2023-07-17,中国A50互联互通,-0.86,2023-07-17,0,0,-,-
159602,中国A50,-,0.60,0.50,0.10,200.0,南方基金,http://www.nffund.com/main/jjcp/fundproduct/159602.shtml,Y,,,199654,,15.55,0.00,0.779,705.46,2023-07-17,15:14:06,-0.76,0.7789,21:35:01,-0.08,0.7796,2023-07-17,中国A50互联互通,-0.86,2023-07-17,0,0,-,-
159603,双创天弘,-,0.60,0.50,0.10,100.0,天弘基金,http://www.thfund.com.cn/fundinfo/159603,Y,,,227507,,19.84,0.00,0.872,204.54,2023-07-17,15:14:51,-0.68,0.8719,21:35:01,0.00,0.8720,2023-07-17,科创创业50,-0.72,2023-07-17,0,0,-,-
159606,500成长,-,0.60,0.50,0.10,100.0,易方达,https://www.efunds.com.cn/fund/159606.shtml,Y,,,64722,,5.27,-0.04,0.814,832.73,2023-07-17,15:14:03,0.00,0.8145,21:35:01,-0.07,0.8146,2023-07-17,500质量,-0.41,2023-07-17,0,0,-,-
159608,稀有金属,-,0.60,0.50,0.10,80.0,广发基金,http://www.gffunds.com.cn/funds/?fundcode=159608&fromSearch=1,Y,,,33281,,2.25,0.01,0.675,943.76,2023-07-17,15:14:06,-1.17,0.6738,15:37:51,0.17,0.6848,2023-07-14,CS稀金属,-1.60,2023-07-17,0,0,-,-
159609,光伏龙头,-,0.60,0.50,0.10,0.0,浦银安盛,https://www.py-axa.com/productDetails?fundCode=159609,Y,,,37490,,2.64,0.02,0.703,833.06,2023-07-17,15:14:09,-0.57,0.7020,21:35:01,0.14,0.7020,2023-07-17,光伏产业,-0.53,2023-07-17,0,0,-,-
159610,500增强,000905,0.60,0.50,0.10,100.0,景顺长城,http://www.igwfmc.com/main/jjcp/product/159610/detail.html,Y,,,61057,,5.07,-0.01,0.831,2591.97,2023-07-17,15:14:12,0.00,0.8318,21:35:01,-0.06,0.8315,2023-07-17,中证500,-0.29,2023-07-17,0,0,-,-
159611,电力ETF,-,0.60,0.50,0.10,80.0,广发基金,http://www.gffunds.com.cn/funds/?fundcode=159611&fromSearch=1,Y,,,353836,,33.19,-2.64,0.938,25207.99,2023-07-17,15:14:15,0.11,0.9393,15:37:51,-0.14,0.9397,2023-07-14,电力指数,-0.04,2023-07-17,0,0,-,-
159613,嘉实信安,399994,0.60,0.50,0.10,100.0,嘉实基金,https://www.jsfund.cn/main/fund/159613/fundManager.shtml,Y,,,10059,,0.94,0.00,0.931,1274.32,2023-07-17,15:14:57,0.87,0.9287,15:37:51,0.25,0.9223,2023-07-14,信息安全,0.69,2023-07-17,0,0,-,-
159616,农牧ETF,-,0.60,0.50,0.10,100.0,建信基金,https://www.ccbfund.cn/fund_info/info.jspx?fundCode=159616,Y,,,12656,,1.00,0.00,0.789,351.37,2023-07-17,15:15:00,0.64,0.7893,21:35:01,-0.05,0.7894,2023-07-17,农牧主题,0.66,2023-07-17,0,0,-,-
159617,500价值,-,0.60,0.50,0.10,100.0,华夏基金,http://www.chinaamc.com/fund/159617/index.shtml,Y,,,4642,,0.50,0.00,1.074,37.71,2023-07-17,15:14:03,-0.19,1.0770,21:35:01,-0.26,1.0768,2023-07-17,500价值稳健,-0.08,2023-07-17,0,0,-,-
159618,光伏华安,-,0.60,0.50,0.10,100.0,华安基金,https://www.huaan.com.cn/funds/159618/index.shtml,Y,,,22613,,2.19,0.00,0.969,928.11,2023-07-17,15:14:15,-0.51,0.9680,21:35:01,0.10,0.9680,2023-07-17,光伏产业,-0.53,2023-07-17,0,0,-,-
159619,基建ETF,-,0.60,0.50,0.10,100.0,国泰基金,https://e.gtfund.com/Etrade/Jijin/view/id/159619,Y,,,33998,,3.45,-0.05,1.015,3577.74,2023-07-17,15:14:18,0.00,1.0150,21:35:01,0.01,1.0149,2023-07-17,中证基建,-0.05,2023-07-17,0,0,-,-
159620,500创新,-,0.60,0.50,0.10,100.0,华夏基金,https://www.chinaamc.com/fund/159620/index.shtml,Y,,,3414,,0.32,0.00,0.936,34.39,2023-07-17,15:14:06,-0.43,0.9395,21:35:01,-0.36,0.9394,2023-07-17,500成长创新,-0.13,2023-07-17,0,0,-,-
159623,成渝ETF,-,0.45,0.40,0.05,100.0,博时基金,https://www.bosera.com/fund/159623.html,Y,,,382827,,33.57,0.00,0.877,499.79,2023-07-17,15:14:09,-0.90,0.8818,21:35:01,-0.57,0.8820,2023-07-17,成渝经济圈,-0.60,2023-07-17,0,0,-,-
159625,绿色电力,399438,0.60,0.50,0.10,40.0,嘉实基金,https://www.jsfund.cn/main/fund/159625/fundManager.shtml,Y,,,47491,,5.20,0.00,1.095,3197.29,2023-07-17,15:14:12,-0.09,1.0973,21:35:01,-0.21,1.0973,2023-07-17,绿色电力,-0.07,2023-07-17,0,0,-,-
159627,中证100,000903,0.60,0.50,0.10,200.0,华夏基金,https://www.chinaamc.com/fund/159627/index.shtml,Y,,,3512,,0.36,-0.02,1.025,297.04,2023-07-17,15:14:15,-0.87,1.0264,21:35:01,-0.22,1.0273,2023-07-17,中证100,-0.87,2023-07-17,0,0,-,-
159628,国证2000,399303,0.60,0.50,0.10,300.0,万家基金,https://www.wjasset.com/products/etf/159628/index.html,Y,,,71028,,7.27,-0.03,1.024,6693.46,2023-07-17,15:14:21,-0.19,1.0240,21:35:01,0.04,1.0236,2023-07-17,国证2000,-0.28,2023-07-17,0,0,-,-
