fund_id,fund_nm,index_id,fee,m_fee,t_fee,creation_unit,issuer_nm,urls,eval_flg,ex_dt,ex_info,amount,amount_notes,unit_total,unit_incr,price,volume,last_dt,last_time,increase_rt,estimate_value,last_est_time,discount_rt,fund_nav,nav_dt,index_nm,index_increase_rt,idx_price_dt,owned,holded,pe,pb
159531,中证2000,-,0.60,0.50,0.10,400.0,南方基金,https://www.nffund.com/main/jjcp/fundproduct/159531.shtml,Y,,,6861,,0.73,-0.04,1.070,3418.80,2023-11-20,15:14:12,1.23,1.0675,15:37:58,0.23,1.0564,2023-11-17,中证2000,1.05,2023-11-20,0,0,-,-
159532,2000E,-,0.60,0.50,0.10,200.0,易方达,https://www.efunds.com.cn/fund/159532.shtml,Y,,,8756,,0.95,-0.04,1.083,3761.84,2023-11-20,15:14:51,1.31,1.0812,15:37:58,0.16,1.0700,2023-11-17,中证2000,1.05,2023-11-20,0,0,-,-
159535,2000指数,-,0.60,0.50,0.10,300.0,嘉实基金,https://www.efunds.com.cn/fund/159532.shtml,Y,,,6498,,0.70,0.00,1.073,2637.06,2023-11-20,15:14:06,1.04,1.0734,15:37:58,-0.03,1.0622,2023-11-17,中证2000,1.05,2023-11-20,0,0,-,-
159536,CSI2000,-,0.60,0.50,0.10,400.0,汇添富,https://www.99fund.com/main/products/pofund/159536/fundgk.shtml,Y,,,18526,,2.00,0.04,1.080,5705.91,2023-11-20,15:14:09,0.37,1.0774,15:37:58,0.24,1.0662,2023-11-17,中证2000,1.05,2023-11-20,0,0,-,-
159601,A50,-,0.60,0.50,0.10,260.0,华夏基金,https://www.chinaamc.com/fund/159601/index.shtml,Y,,,538959,,38.64,0.17,0.717,4566.05,2023-11-20,15:14:21,-0.14,0.7177,15:37:58,-0.10,0.7170,2023-11-17,中国A50互联互通,0.10,2023-11-20,0,0,-,-
159602,中国A50,-,0.60,0.50,0.10,200.0,南方基金,http://www.nffund.com/main/jjcp/fundproduct/159602.shtml,Y,,,189054,,13.54,0.00,0.716,887.32,2023-11-20,15:14:42,0.00,0.7159,15:37:58,0.01,0.7152,2023-11-17,中国A50互联互通,0.10,2023-11-20,0,0,-,-
159603,双创天弘,-,0.60,0.50,0.10,100.0,天弘基金,http://www.thfund.com.cn/fundinfo/159603,Y,,,244907,,19.45,0.02,0.794,295.35,2023-11-20,15:14:15,0.38,0.7942,15:37:58,-0.02,0.7933,2023-11-17,科创创业50,0.11,2023-11-20,0,0,-,-
159606,500成长,-,0.60,0.50,0.10,100.0,易方达,https://www.efunds.com.cn/fund/159606.shtml,Y,,,61922,,4.76,0.00,0.768,770.33,2023-11-20,15:14:48,0.39,0.7678,15:37:58,0.02,0.7650,2023-11-17,500质量,0.37,2023-11-20,0,0,-,-
159608,稀有金属,-,0.60,0.50,0.10,80.0,广发基金,http://www.gffunds.com.cn/funds/?fundcode=159608&fromSearch=1,Y,,,44561,,2.62,0.02,0.589,1945.86,2023-11-20,15:15:00,0.68,0.5884,15:37:58,0.10,0.5852,2023-11-17,CS稀金属,0.55,2023-11-20,0,0,-,-
159609,光伏龙头,-,0.60,0.50,0.10,0.0,浦银安盛,https://www.py-axa.com/productDetails?fundCode=159609,Y,,,48690,,2.66,0.01,0.546,783.56,2023-11-20,15:14:54,0.37,0.5446,15:37:58,0.25,0.5442,2023-11-17,光伏产业,0.08,2023-11-20,0,0,-,-
159610,500增强,000905,0.60,0.50,0.10,100.0,景顺长城,http://www.igwfmc.com/main/jjcp/product/159610/detail.html,Y,,,59257,,4.62,-0.01,0.780,2074.44,2023-11-20,15:14:18,0.78,0.7800,15:37:58,0.00,0.7761,2023-11-17,中证500,0.50,2023-11-20,0,0,-,-
