name,code,close,rate,premium,tag,mtexp,fundfirm,listdate,index,avgamount,m1,y0,y1,y3,y5,scale
黄金ETF,518880,4.609,10022,10000,商品，黄金,0.60%,华安基金,2013-07-29,黄金9999指数,74768.85,10390,11563,12065,11827,16778,120.91
纳指ETF,513100,1.055,10019,10000,跨境，美国,0.80%,国泰基金,2013-05-15,纳斯达克100指数,48018.04,9769,13204,13009,12409,21539,92.22
医疗ETF,512170,0.42,10319,9975,行业，医药,0.60%,华宝基金,2019-06-17,中证医疗指数,86546.87,10072,8268,8624,5615,10000,270.03
创新药ETF,159992,0.88,10304,10001,行业，医药,0.55%,银华基金,2020-04-10,CS创新药指数,53105.09,10414,9392,9649,6504,10000,85.4
沪深300ETF,510300,3.652,10044,9993,宽基，大盘股,0.60%,华泰柏瑞基金,2012-05-28,沪深300指数,478593.38,9702,9419,10292,8024,12471,1200.4
豆粕ETF,159985,2.291,10178,10016,商品，农产品,0.60%,华夏基金,2019-12-05,大商所豆粕期货价格指数,6305.75,10035,11398,13062,20510,10000,9.25
酒ETF,512690,0.76,10120,10004,行业，食品饮料，酒,0.60%,鹏华基金,2019-05-06,中证酒指数,55781.95,9769,8941,11550,10237,10000,134.54
医药ETF,512010,0.438,10282,10003,行业，医药,0.60%,易方达基金,2013-10-28,300医药指数,90325.07,10234,9163,9733,6280,12235,205.11
通信ETF,515880,1.017,10150,10005,行业，TMT，通信,0.60%,国泰基金,2019-09-06,通信设备指数,12783.43,9105,12357,12136,9322,10000,25.79
科创50ETF,588000,0.92,10155,9979,宽基，中小盘，科创板,0.60%,华夏基金,2020-11-16,科创50指数,321191.39,9871,9172,8863,10000,10000,946.73
半导体ETF,512480,0.854,10453,9996,行业，半导体，芯片,0.60%,国联安基金,2019-06-12,半导体指数,130179.52,10543,10364,10203,8489,10000,268.12
恒生科技指数ETF,513180,0.529,10076,10000,跨境，香港，科技,0.65%,华夏基金,2021-05-25,恒生科技指数,260193.82,10115,9636,13461,10000,10000,215.86
证券ETF,512880,0.943,9958,10016,行业，金融，证券,0.60%,国泰基金,2016-08-08,证券公司指数,123530.86,9958,10852,11729,8207,12392,316.75
煤炭ETF,515220,2.174,9900,10006,行业，煤炭，资源,0.60%,国泰基金,2020-03-02,中证煤炭指数,10264.52,9564,10211,9380,20926,10000,26.93
港股创新药ETF,513120,0.895,10443,10000,跨境，香港，医药,0.60%,广发基金,2022-07-12,港股创新药港币指数,150905.28,10982,9123,11445,10000,10000,40.66
光伏ETF,515790,0.939,10108,10005,主题，光伏，新兴产业,0.60%,华泰柏瑞基金,2020-12-18,光伏产业指数,46416.78,9288,6834,6264,10000,10000,136.18
恒生医疗ETF,513060,0.497,10311,10000,跨境，香港，医药，医疗保健,0.65%,博时基金,2021-03-29,恒生医疗保健指数,179690.17,10485,8297,10758,10000,10000,131.11
芯片ETF,159995,0.996,10440,9999,行业，半导体，芯片,0.60%,华夏基金,2020-02-10,国证芯片指数,56402.16,10529,9960,9842,8768,10000,266.56
中概互联网ETF,513050,0.995,10010,10000,跨境，中概股,0.85%,易方达基金,2017-01-18,中国互联网50指数,80686.21,9960,9558,12194,4641,9256,348.42
创业板ETF,159915,1.926,10239,9993,宽基，中小盘,0.60%,易方达基金,2011-12-09,创业板指,200522.94,9862,8451,8807,7515,15997,397.92
