,nlmy,jchg,gt,ysjs,dz,jydq,spyl,fzfs,qgzz,yysw,gysy,jtys,fdc,smls,shfw,zh,jzcl,jzzs,dlsb,gfjg,jsj,cm,tx,yx,fyjr,qc,jxsb,ms,sysh,hb,mrhl
name,农林牧渔,基础化工,钢铁,有色金属,电子,家用电器,食品饮料,纺织服饰,轻工制造,医药生物,公用事业,交通运输,房地产,商贸零售,社会服务,综合,建筑材料,建筑装饰,电力设备,国防军工,计算机,传媒,通信,银行,非银金融,汽车,机械设备,煤炭,石油石化,环保,美容护理
code,801010,801030,801040,801050,801080,801110,801120,801130,801140,801150,801160,801170,801180,801200,801210,801230,801710,801720,801730,801740,801750,801760,801770,801780,801790,801880,801890,801950,801960,801970,801980
open,2948.36,3713.57,2216.51,4514.19,3937.99,7259.12,20903.49,1610.52,2281.34,8384.73,2338.01,2205.21,2576.50,2201.36,9992.96,2735.06,5319.81,2191.44,8852.42,1555.04,4907.28,733.25,2727.95,3037.91,1492.70,5821.87,1577.19,2551.05,2283.57,1785.00,6108.18
close,3005.30,3704.78,2224.12,4522.89,3896.83,7219.50,20847.94,1619.25,2278.42,8388.78,2358.19,2222.89,2574.43,2201.92,9967.08,2731.20,5290.46,2195.38,8750.16,1539.28,4827.51,730.46,2702.59,3042.44,1505.42,5809.52,1570.83,2572.35,2291.53,1789.88,6097.02
low,2943.72,3688.44,2210.44,4459.31,3863.49,7199.76,20844.81,1604.87,2274.72,8354.57,2337.13,2203.32,2567.43,2186.72,9913.66,2708.64,5261.76,2180.53,8749.25,1535.09,4755.81,712.67,2652.96,3033.63,1492.16,5801.15,1566.51,2549.23,2270.34,1783.85,6087.94
high,3021.82,3724.25,2235.47,4560.37,3941.23,7273.55,21011.23,1622.50,2292.12,8427.10,2364.11,2229.54,2604.66,2213.18,10040.62,2742.98,5322.25,2207.96,8852.85,1555.08,4907.32,738.27,2736.48,3056.63,1514.99,5876.53,1581.23,2581.21,2305.05,1796.01,6131.30
amount,14930.15,24316.74,3130.45,39302.29,76275.54,12653.69,16077.24,3832.08,11084.74,34169.22,23447.44,11742.17,14244.35,9208.92,7364.94,1118.60,5308.59,13468.89,52295.10,23008.82,86799.16,41170.58,48914.06,9052.32,19690.57,61490.17,54206.72,5722.72,4302.31,4926.70,1616.43
number,1771.48,2166.16,862.74,3740.96,5473.61,1065.74,595.72,538.92,952.11,2148.11,3153.78,1648.73,4591.76,1036.48,669.95,163.90,525.78,1742.85,2965.07,1359.50,4659.35,3583.89,2208.88,1574.26,1899.70,4629.50,4208.64,877.08,643.58,597.82,109.78
