name,code,close,rate,premium,tag,mtexp,fundfirm,listdate,index,avgamount,m1,y0,y1,y3,y5,scale
纳指ETF,513100,1.118,10164,10000,跨境，美国,0.80%,国泰基金,2013-05-15,纳斯达克100指数,41561.52,10719,13992,13992,14703,22333,62.11
通信ETF,515880,1.296,9893,9995,行业，TMT，通信,0.60%,国泰基金,2019-09-06,通信设备指数,27100.8,11419,15747,14056,10675,10000,19.35
沪深300ETF,510300,3.927,10116,9996,宽基，大盘股,0.60%,华泰柏瑞基金,2012-05-28,沪深300指数,167871.9,10166,10128,8877,9209,12386,670.98
科创50ETF,588000,1.055,10029,10010,宽基，中小盘，科创板,0.60%,华夏基金,2020-11-16,科创50指数,256308.6,9591,10518,9238,10000,10000,560.59
酒ETF,512690,0.784,10262,10004,行业，食品饮料，酒,0.60%,鹏华基金,2019-05-06,中证酒指数,61826.64,10038,9224,8467,13342,10000,122.16
医疗ETF,512170,0.424,10024,10002,行业，医药,0.60%,华宝基金,2019-06-17,中证医疗指数,43248.04,9443,8346,7374,6373,10000,190.7
光伏ETF,515790,1.248,10040,10010,主题，光伏，新兴产业,0.60%,华泰柏瑞基金,2020-12-18,光伏产业指数,70835.03,10585,9083,7478,10000,10000,167.47
游戏ETF,159869,1.356,9231,9928,主题，游戏,0.60%,华夏基金,2021-03-05,动漫游戏指数,106988.79,8915,17772,16700,10000,10000,14.37
半导体ETF,512480,0.899,10056,10016,行业，半导体，芯片,0.60%,国联安基金,2019-06-12,半导体指数,122890.16,9544,10910,8901,8386,10000,194.83
人工智能ETF,159819,0.909,10011,10006,主题，新兴产业，人工智能,0.20%,易方达基金,2020-09-23,CS人工智能指数,29328.44,9924,13507,11594,10000,10000,25.32
中概互联网ETF,513050,1.02,10210,10000,跨境，中概股,0.85%,易方达基金,2017-01-18,中国互联网50指数,80449.42,10079,9798,8816,5440,6827,384.27
豆粕ETF,159985,2.052,10794,10000,商品，农产品,0.60%,华夏基金,2019-12-05,大商所豆粕期货价格指数,6748.4,11958,10209,13438,20398,10000,5.53
创业板ETF,159915,2.171,10032,9993,宽基，中小盘,0.60%,易方达基金,2011-12-09,创业板指,136833.33,9982,9526,8044,9122,14283,336.25
电力ETF,159611,0.948,10085,10014,行业，电力,0.60%,广发基金,2022-01-07,电力指数,32587.01,10021,10985,10522,10000,10000,20.28
标普500ETF,513500,1.522,10126,10000,跨境，美国,0.85%,博时基金,2014-01-15,标准普尔500指数,18803.41,10779,12127,12779,14698,18022,61.88
新能源车ETF,515030,1.545,10039,9980,主题，新兴产业，新能源车,0.60%,华夏基金,2020-03-04,CS新能车指数,28804.81,10026,9207,6522,15267,10000,116.54
军工ETF,512660,1.132,10071,9985,行业，军工,0.60%,国泰基金,2016-08-08,中证军工指数,45900.6,10481,10520,9700,13209,15744,109.42
创业板50ETF,159949,0.942,10053,9990,宽基，中小盘,0.60%,华安基金,2016-07-22,创业板50指数,51275.2,10000,9155,7659,9895,15939,175.46
黄金ETF,518880,4.358,10021,9992,商品，黄金,0.60%,华安基金,2013-07-29,黄金9999指数,69665.95,9961,10933,11517,11132,16353,101.12
恒生科技指数ETF,513180,0.554,10355,10000,跨境，香港，科技,0.65%,华夏基金,2021-05-25,恒生科技指数,174878.76,10778,10091,8950,10000,10000,196.92
5GETF,515050,1.07,10019,10015,主题，新兴产业，5G,0.60%,华夏基金,2019-10-16,5G通信指数,10344.98,10952,13544,11456,8250,10000,89.74
传媒ETF,512980,0.86,9620,10005,行业，TMT，传媒,0.60%,广发基金,2018-01-19,中证传媒指数,22782.1,9208,14357,13608,8996,10412,48.01
恒生互联网ETF,513330,0.426,10290,10000,跨境，香港，互联网,0.65%,华夏基金,2021-02-08,恒生互联网科技业指数,199691.87,10315,9201,8130,10000,10000,294.43
教育ETF,513360,0.544,10187,10000,跨境，教育,0.65%,博时基金,2021-06-17,中国教育人民币指数,6579.62,9837,10323,13703,10000,10000,4.65
证券ETF,512880,0.891,10137,9987,行业，金融，证券,0.60%,国泰基金,2016-08-08,证券公司指数,73534.7,9911,10253,9252,7256,11976,321.48
纳指ETF,159941,0.843,10181,10000,跨境，美国,1.05%,广发基金,2015-07-13,纳斯达克100指数,48104.53,10725,14050,14228,14873,21461,147.59
软件ETF,515230,0.988,9970,9992,主题，新兴产业，软件,0.60%,国泰基金,2021-03-02,软件指数,13137.61,9630,12586,12650,10000,10000,10.73
医药ETF,512010,0.429,10094,10030,行业，医药,0.60%,易方达基金,2013-10-28,300医药指数,46164.99,9684,8975,7857,6804,8937,145.47
恒生ETF,159920,1.139,10197,10000,跨境，香港,0.75%,华夏基金,2012-10-22,香港恒生指数,62686.69,10430,10152,9644,7850,7801,167.13
云计算ETF,516510,1.194,9900,9996,主题，TMT，互联网,0.20%,易方达基金,2021-04-07,云计算指数,15272.04,10025,14888,15466,10000,10000,6.37
恒生医疗ETF,513060,0.491,10020,10000,跨境，香港，医药，医疗保健,0.65%,博时基金,2021-03-29,恒生医疗保健指数,100188.01,9590,8197,8480,10000,10000,79.55
恒生科技ETF,513130,0.553,10375,10000,跨境，香港，科技,0.25%,华泰柏瑞基金,2021-06-01,恒生科技指数,113671.22,10822,10110,8948,10000,10000,112.17
创业板成长ETF,159967,0.533,9963,10015,策略，动量，成长,0.60%,华夏基金,2019-07-15,创成长指数,12250.3,10019,9467,7758,11139,10000,37.01
游戏ETF,516010,1.341,9204,9927,主题，游戏,0.60%,国泰基金,2021-03-05,动漫游戏指数,25971.48,8940,17529,16494,10000,10000,6.03
科创芯片ETF,588200,1.257,10096,10000,行业，半导体，芯片，科创板,0.60%,嘉实基金,2022-10-26,科创芯片指数,44087.53,9297,12228,10000,10000,10000,14.89
德国ETF,513030,1.26,10153,10000,跨境，德国,1.00%,华安基金,2014-09-05,德国DAX指数,2418.91,10518,12197,13846,11966,11943,3.68
消费ETF,159928,0.944,10194,10018,行业，消费，必选消费,0.60%,汇添富基金,2013-09-16,中证消费指数,18071.59,10118,9042,8223,9670,17449,107.59
家电ETF,159996,1.173,10043,9989,行业，家电,0.60%,国泰基金,2020-03-16,家用电器指数,16248.3,10831,11660,10227,10952,10000,29.88
银行ETF,512800,1.09,10149,10010,行业，金融，银行,0.60%,华宝基金,2017-08-03,中证银行指数,18933.21,10046,10111,9620,10312,12674,65.23
房地产ETF,512200,0.617,10065,10003,行业，金融，房地产,0.60%,南方基金,2017-09-25,房地产指数,17356.16,9763,8569,7931,6481,8065,40.34
煤炭ETF,515220,2.107,10208,10021,行业，煤炭，资源,0.60%,国泰基金,2020-03-02,中证煤炭指数,14784.45,10451,9897,8619,21144,10000,38.64
日经ETF,513520,1.284,10166,10000,跨境，日本,0.25%,华夏基金,2019-06-25,日经225指数,6573.4,10499,12515,13237,11944,10000,0.701
芯片ETF,512760,1.02,10059,10012,行业，半导体，芯片,0.60%,国泰基金,2019-06-12,中华半导体人民币指数,46935.08,9488,10921,8733,8677,10000,161.53
大数据ETF,515400,0.996,9980,10007,主题，新兴产业,0.60%,富国基金,2021-01-20,中证数据指数,14293.83,9803,13423,13423,10000,10000,10.84
上证50ETF,510050,2.58,10149,9996,宽基，大盘股,0.60%,华夏基金,2005-02-23,上证50指数,137274.49,10126,9740,8557,8437,11567,539.98
创新药ETF,159992,0.827,10073,10019,行业，医药,0.55%,银华基金,2020-04-10,CS创新药指数,18920.95,9419,8826,7672,6527,10000,50.12
养殖ETF,159865,0.692,10029,9984,行业，畜牧养殖,0.60%,国泰基金,2021-03-08,中证畜牧指数,17033.81,10117,8838,8278,10000,10000,34.86
基建50ETF,516970,1.238,10206,10022,主题，基建,0.60%,广发基金,2021-07-05,基建工程指数,22740.03,10032,11603,10456,10000,10000,59.37
国防ETF,512670,0.828,10061,9986,行业，军工,0.40%,鹏华基金,2019-08-01,中证国防指数,15362.43,10468,9335,8598,13195,10000,29.56
新能源ETF,516160,0.884,10057,10018,主题，新能源，新兴产业,0.20%,南方基金,2021-02-04,中证新能指数,23797.82,10184,8956,6692,10000,10000,40.2
工业母机ETF,159667,1.031,9838,9971,行业，机床,0.60%,国泰基金,2022-10-26,中证机床指数,10782.87,10796,11367,10000,10000,10000,4.07
芯片ETF,159995,1.055,10038,10009,行业，半导体，芯片,0.60%,华夏基金,2020-02-10,国证芯片指数,57406.21,9617,10550,8210,8577,10000,258.68
中证1000ETF,512100,2.653,9977,9983,宽基，中小盘,0.60%,南方基金,2016-11-04,中证1000指数,139039.56,10000,10582,9471,11290,14583,98.99
旅游ETF,159766,0.919,10491,10038,主题，旅游,0.60%,富国基金,2021-07-23,中证旅游指数,20927.25,10234,8140,8637,10000,10000,22.99
纳斯达克ETF,513300,1.397,10175,10000,跨境，美国,0.80%,华夏基金,2020-11-05,纳斯达克100指数,11054.39,10746,13900,14197,10000,10000,16.81
中概互联ETF,159605,0.772,10293,10000,跨境，中概股,0.60%,广发基金,2021-12-02,中国互联网30人民币指数,112467.64,10489,9602,9104,10000,10000,60.42
H股ETF,510900,0.822,10249,10000,跨境，香港，中概股,0.75%,易方达基金,2012-10-22,恒生中国企业指数,31164.81,10566,10173,9536,6805,7313,98.41
中药ETF,159647,1.161,9831,10005,行业，医药,0.60%,鹏华基金,2022-07-28,中证中药指数,9313.34,9462,11099,10000,10000,10000,7.82
中韩半导体ETF,513310,1.202,10152,10000,跨境，韩国,0.95%,华泰柏瑞基金,2022-12-22,中韩半导体指数,3120.07,10256,12521,10000,10000,10000,0.494
香港证券ETF,513090,1.099,10157,10107,跨境，香港,0.20%,易方达基金,2020-03-26,香港证券港元指数,21496.13,10046,10223,9590,8566,10000,11.04
农业ETF,159825,0.763,10039,10026,行业，农业,0.60%,富国基金,2020-12-29,中证农业指数,10622.71,10201,8893,7547,10000,10000,20.96
红利ETF,510880,2.973,10119,10011,策略，红利,0.60%,华泰柏瑞基金,2007-01-18,红利指数,25690.27,9963,10902,10512,13128,14134,143.51
中证500ETF,510500,6.124,10048,9990,宽基，中小盘,0.60%,南方基金,2013-03-15,中证500指数,141808.35,9951,10403,9565,10586,12756,499.19
电池ETF,159755,0.827,10085,10005,主题，新兴产业，新能源车，电池,0.60%,广发基金,2021-06-24,新能电池指数,18242.94,10049,9334,6600,10000,10000,38.03
软件ETF,159852,0.983,9899,9985,主题，新兴产业，软件,0.60%,嘉实基金,2021-02-09,软件服务指数,8970.66,9685,12061,12151,10000,10000,7.88
机器人ETF,562500,0.862,9885,9997,主题，新兴产业，机器人,0.60%,华夏基金,2021-12-29,机器人指数,8921.94,10590,12547,10525,10000,10000,2.59
证券保险ETF,512070,0.635,10225,9984,行业，金融,0.60%,易方达基金,2014-07-18,300非银指数,19292.23,9953,10393,9891,7713,11796,52.69
锂电池ETF,561160,0.661,10138,9989,主题，新兴产业，新能源车,0.60%,富国基金,2022-07-08,CS电池指数,4467.29,10264,9092,10000,10000,10000,8.31
日经225ETF易方达,513000,1.296,10157,10000,跨境，日本,0.25%,易方达基金,2019-06-25,日经225指数,2677.09,10528,12474,13279,11967,10000,0.693
有色金属ETF,512400,1.052,10174,10011,行业，资源，有色金属,0.60%,南方基金,2017-09-01,有色金属指数,9091.99,9813,9897,7839,14027,14352,38.99
汽车ETF,516110,1.065,10182,10024,行业，汽车,0.60%,国泰基金,2021-05-07,800汽车指数,12261.9,10946,10946,8787,10000,10000,9.78
城投债ETF,511220,9.84,10000,9973,债券，企业债，信用债,0.40%,海富通基金,2014-12-16,沪城投债指数,27127.17,10015,10351,10250,11231,12876,13.92
新能车ETF,515700,2.029,10059,9997,主题，新兴产业，新能源车,0.20%,平安基金,2020-02-10,新能源车指数,16154.45,10055,9316,6637,16727,10000,61.28
中概互联网ETF,159607,0.772,10321,10000,跨境，中概股,0.60%,嘉实基金,2021-12-02,中国互联网30人民币指数,56471.27,10489,9578,9050,10000,10000,18.73
信息技术ETF,159939,0.598,10034,10007,行业，信息技术,0.60%,广发基金,2015-02-05,全指信息,7989.88,9901,11760,10473,8294,12589,25.58
国债ETF,511010,131.589,10005,10000,债券，国债，利率债,0.40%,国泰基金,2013-03-25,5年国债指数,29851.13,10034,10192,10288,10773,11668,5.01
深红利ETF,159905,1.941,10136,10013,策略，红利,0.60%,工银瑞信基金,2011-01-11,深证红利指数,4011.7,10308,10010,9113,8936,13349,22.08
能源化工ETF,159981,1.464,10027,10000,商品，化工,0.60%,建信基金,2020-01-17,易盛能化A,1886.82,10139,9683,9173,17244,10000,4.66
科技ETF,515000,1.322,9977,9992,主题，新兴产业，科技,0.60%,华宝基金,2019-08-16,科技龙头指数,10452.82,10161,11367,10015,7832,10000,36.12
人工智能ETF,515980,1.013,9980,10009,主题，新兴产业，人工智能,0.60%,华富基金,2020-02-10,人工智能指数,6593.33,9941,13543,11590,8599,10000,5.22
中证红利ETF,515080,1.448,10098,9997,策略，红利,0.30%,招商基金,2019-12-27,中证红利指数,10769.74,9972,10690,10516,15497,10000,18.2
恒生科技30ETF,513010,0.564,10387,10000,跨境，香港，科技,0.25%,易方达基金,2021-05-25,恒生科技指数,33842.53,10805,10162,9082,10000,10000,43.02
消费50ETF,515650,1.181,10164,10009,行业，消费,0.60%,富国基金,2019-11-11,CS消费50指数,6519.33,10234,9343,8370,9509,10000,20.58
机器人ETF,159770,0.879,9899,10006,主题，新兴产业，机器人,0.60%,天弘基金,2021-11-08,机器人指数,2079.93,10565,12468,10489,10000,10000,1.17
