,nlmy,jchg,gt,ysjs,dz,jydq,spyl,fzfs,qgzz,yysw,gysy,jtys,fdc,smls,shfw,zh,jzcl,jzzs,dlsb,gfjg,jsj,cm,tx,yx,fyjr,qc,jxsb,ms,sysh,hb,mrhl
name,农林牧渔,基础化工,钢铁,有色金属,电子,家用电器,食品饮料,纺织服饰,轻工制造,医药生物,公用事业,交通运输,房地产,商贸零售,社会服务,综合,建筑材料,建筑装饰,电力设备,国防军工,计算机,传媒,通信,银行,非银金融,汽车,机械设备,煤炭,石油石化,环保,美容护理
code,801010,801030,801040,801050,801080,801110,801120,801130,801140,801150,801160,801170,801180,801200,801210,801230,801710,801720,801730,801740,801750,801760,801770,801780,801790,801880,801890,801950,801960,801970,801980
open,3006.86,3773.74,2234.97,4563.98,3952.80,7226.29,21003.93,1631.96,2278.50,8475.01,2363.58,2235.16,2559.58,2251.97,10068.65,2742.06,5358.43,2212.83,8968.40,1563.80,4842.23,735.63,2698.47,3051.73,1510.46,5964.78,1582.51,2521.92,2301.11,1810.81,6096.15
close,3009.15,3785.67,2217.72,4567.25,3880.66,7202.66,20990.75,1619.13,2244.20,8390.16,2365.62,2202.90,2517.57,2231.24,10030.16,2717.90,5288.60,2171.25,8982.20,1531.98,4710.79,717.33,2598.50,3060.84,1500.28,5906.27,1561.62,2514.43,2308.19,1793.90,6044.66
low,2993.52,3763.02,2216.65,4556.14,3875.29,7189.48,20960.10,1618.27,2243.76,8382.19,2352.32,2200.91,2512.29,2228.57,10011.65,2713.26,5285.03,2170.22,8886.06,1531.34,4705.39,715.76,2595.61,3051.52,1498.11,5894.99,1560.42,2503.21,2297.09,1792.24,6039.44
high,3031.61,3814.30,2234.97,4606.53,3965.67,7296.79,21123.90,1634.74,2283.05,8477.45,2373.03,2236.25,2559.58,2263.38,10114.94,2745.51,5358.46,2215.57,9062.40,1564.09,4857.17,739.97,2701.45,3080.19,1518.15,6050.94,1589.85,2529.66,2321.54,1810.96,6096.15
amount,10822.38,33516.84,2839.26,35440.51,82879.63,13569.76,17913.43,4482.00,10070.52,32852.98,23769.10,12200.34,12571.79,11377.15,8862.35,1083.88,6045.99,16628.89,85270.13,26468.68,94748.49,44893.84,52360.13,12219.95,17978.71,91722.19,57261.48,5211.13,6236.73,5455.50,2022.06
number,1191.77,2853.73,665.83,2814.73,5128.64,1122.33,660.50,629.37,925.51,2094.15,3152.82,1831.86,3351.33,1169.97,946.32,156.07,718.79,2229.48,4520.80,1723.78,5357.88,4083.79,2654.43,1801.52,1743.28,6515.54,4462.34,658.73,858.48,614.26,142.08
