name,code,close,rate,premium,tag,mtexp,fundfirm,listdate,index,avgamount,m1,y0,y1,y3,y5,scale
纳指ETF,513100,1.128,10089,10000,跨境，美国,0.80%,国泰基金,2013-05-15,纳斯达克100指数,60868.91,10089,14118,12731,14395,20873,85.5
酒ETF,512690,0.847,10000,9984,行业，食品饮料，酒,0.60%,鹏华基金,2019-05-06,中证酒指数,88676.44,10804,9965,10267,13109,10000,126.68
豆粕ETF,159985,2.175,10102,9985,商品，农产品,0.60%,华夏基金,2019-12-05,大商所豆粕期货价格指数,11407.25,10599,10821,13969,21178,10000,5.06
证券ETF,512880,1.063,10085,9982,行业，金融，证券,0.60%,国泰基金,2016-08-08,证券公司指数,308012.35,11930,12232,12275,8357,15014,329.09
沪深300ETF,510300,4.094,10052,10008,宽基，大盘股,0.60%,华泰柏瑞基金,2012-05-28,沪深300指数,480129.49,10425,10559,10088,8868,13146,718.71
医疗ETF,512170,0.427,9953,10036,行业，医药,0.60%,华宝基金,2019-06-17,中证医疗指数,66322.98,10071,8406,8227,5618,10000,226.83
科创50ETF,588000,1.021,10059,10006,宽基，中小盘，科创板,0.60%,华夏基金,2020-11-16,科创50指数,257166.6,9678,10179,8863,10000,10000,671.92
黄金ETF,518880,4.401,9989,10000,商品，黄金,0.60%,华安基金,2013-07-29,黄金9999指数,40125.31,10099,11041,11708,10479,16526,104.07
房地产ETF,512200,0.711,9903,10000,行业，金融，房地产,0.60%,南方基金,2017-09-25,房地产指数,43500.1,11524,9875,10216,7353,9780,44.15
通信ETF,515880,1.23,10336,10010,行业，TMT，通信,0.60%,国泰基金,2019-09-06,通信设备指数,19718.58,9491,14945,13240,9440,10000,32.82
半导体ETF,512480,0.885,9944,10003,行业，半导体，芯片,0.60%,国联安基金,2019-06-12,半导体指数,133147.31,9844,10740,9171,7227,10000,247.29
光伏ETF,515790,1.181,10060,9989,主题，光伏，新兴产业,0.60%,华泰柏瑞基金,2020-12-18,光伏产业指数,58426.17,9463,8595,7051,10000,10000,164.95
上证50ETF,510050,2.725,10007,9990,宽基，大盘股,0.60%,华夏基金,2005-02-23,上证50指数,235184.27,10562,10287,10050,8533,11984,576.21
恒生科技指数ETF,513180,0.608,10050,10000,跨境，香港，科技,0.65%,华夏基金,2021-05-25,恒生科技指数,298862.41,10975,11075,11136,10000,10000,185.95
煤炭ETF,515220,2.096,9962,9996,行业，煤炭，资源,0.60%,国泰基金,2020-03-02,中证煤炭指数,10552.32,9948,9845,9191,19939,10000,38.25
中概互联网ETF,513050,1.1,10046,10000,跨境，中概股,0.85%,易方达基金,2017-01-18,中国互联网50指数,163132.66,10784,10567,10859,5604,7618,345.76
标普500ETF,513500,1.526,10020,10000,跨境，美国,0.85%,博时基金,2014-01-15,标准普尔500指数,22684.95,10026,12159,11685,14288,16918,71.88
消费ETF,159928,0.987,9990,9995,行业，消费，必选消费,0.60%,汇添富基金,2013-09-16,中证消费指数,30000.09,10456,9454,9355,8772,18651,108.93
医药ETF,512010,0.431,9931,9985,行业，医药,0.60%,易方达基金,2013-10-28,300医药指数,89296.43,10047,9017,8887,5594,9867,185.87
军工ETF,512660,1.071,9991,10018,行业，军工,0.60%,国泰基金,2016-08-08,中证军工指数,29122.28,9461,9954,8736,9154,16105,103.31
养殖ETF,159865,0.716,9944,10009,行业，畜牧养殖,0.60%,国泰基金,2021-03-08,中证畜牧指数,16630.22,10347,9144,8658,10000,10000,57.95
创业板ETF,159915,2.204,10078,9985,宽基，中小盘,0.60%,易方达基金,2011-12-09,创业板指,126232.86,10152,9671,8633,7945,15587,390.03
新能源车ETF,515030,1.549,10078,9987,主题，新兴产业，新能源车,0.60%,华夏基金,2020-03-04,CS新能车指数,23562.4,10026,9231,7063,13855,10000,116.5
创业板50ETF,159949,0.967,10115,10002,宽基，中小盘,0.60%,华安基金,2016-07-22,创业板50指数,65684.66,10265,9397,8380,8409,17841,175.15
纳指ETF,159941,0.85,10083,10000,跨境，美国,1.05%,广发基金,2015-07-13,纳斯达克100指数,69054.95,10083,14167,12668,14346,20238,170.26
电力ETF,159611,0.931,9957,9985,行业，电力,0.60%,广发基金,2022-01-07,电力指数,15469.47,9821,10788,10863,10000,10000,36.52
恒生科技ETF,513130,0.607,10050,10000,跨境，香港，科技,0.25%,华泰柏瑞基金,2021-06-01,恒生科技指数,233977.07,10976,11097,11097,10000,10000,91.5
银行ETF,512800,1.16,10035,10002,行业，金融，银行,0.60%,华宝基金,2017-08-03,中证银行指数,33494.97,10642,10761,11219,11090,12747,77.45
德国ETF,513030,1.238,10032,10000,跨境，德国,1.00%,华安基金,2014-09-05,德国DAX指数,3201.75,9825,11985,13283,11368,10831,4.29
能源化工ETF,159981,1.576,10051,10000,商品，化工,0.60%,建信基金,2020-01-17,易盛能化A,2268.79,10765,10423,10348,18519,10000,4.28
恒生ETF,159920,1.152,9965,10000,跨境，香港,0.75%,华夏基金,2012-10-22,香港恒生指数,58663.73,10114,10267,10637,8403,7853,159.88
恒生医疗ETF,513060,0.509,9941,10000,跨境，香港，医药，医疗保健,0.65%,博时基金,2021-03-29,恒生医疗保健指数,180225.56,10367,8497,9550,10000,10000,98.11
恒生互联网ETF,513330,0.465,10087,10000,跨境，香港，互联网,0.65%,华夏基金,2021-02-08,恒生互联网科技业指数,300185.01,10915,10043,10065,10000,10000,289.87
游戏ETF,159869,1.223,10243,10006,主题，游戏,0.60%,华夏基金,2021-03-05,动漫游戏指数,59207.46,9019,16029,16199,10000,10000,80.38
汽车ETF,516110,1.129,10080,9989,行业，汽车,0.60%,国泰基金,2021-05-07,800汽车指数,24161.21,10601,11603,9083,10000,10000,18.53
日经ETF,513520,1.228,10082,10000,跨境，日本,0.25%,华夏基金,2019-06-25,日经225指数,5679.24,9564,11969,11774,11434,10000,4.36
芯片ETF,159995,1.047,9962,10016,行业，半导体，芯片,0.60%,华夏基金,2020-02-10,国证芯片指数,54084.5,9924,10470,8754,7484,10000,249.82
人工智能ETF,159819,0.896,10252,10008,主题，新兴产业，人工智能,0.20%,易方达基金,2020-09-23,CS人工智能指数,23057.36,9857,13314,12043,10000,10000,38.84
旅游ETF,159766,0.938,9958,9999,主题，旅游,0.60%,富国基金,2021-07-23,中证旅游指数,22066.71,10207,8308,9812,10000,10000,29.51
券商ETF,512000,1.022,10109,10015,行业，金融，证券,0.60%,华宝基金,2016-09-14,证券公司指数,203687.52,11953,12284,12298,8432,15141,238.4
香港证券ETF,513090,1.237,10008,10031,跨境，香港,0.20%,易方达基金,2020-03-26,香港证券港元指数,203633.77,11256,11507,12021,9508,10000,15.32
创业板成长ETF,159967,0.506,10202,9991,策略，动量，成长,0.60%,华夏基金,2019-07-15,创成长指数,13845.02,9493,8988,7737,8660,10000,36.53
传媒ETF,512980,0.841,10269,10020,行业，TMT，传媒,0.60%,广发基金,2018-01-19,中证传媒指数,16659.51,9779,14040,14575,8261,11095,50.19
新能源ETF,516160,0.864,10070,9994,主题，新能源，新兴产业,0.20%,南方基金,2021-02-04,中证新能指数,22453.44,9774,8754,6884,10000,10000,64.43
基建50ETF,516970,1.283,9992,9994,主题，基建,0.60%,广发基金,2021-07-05,基建工程指数,18806.14,10363,12024,11935,10000,10000,69.09
农业ETF,159825,0.786,9949,10007,行业，农业,0.60%,富国基金,2020-12-29,中证农业指数,11983.68,10301,9161,8326,10000,10000,29.05
钢铁ETF,515210,1.366,9906,9991,行业，钢铁,0.60%,国泰基金,2020-03-02,中证钢铁指数,10954.28,10790,10655,9769,12475,10000,15.49
创新药ETF,159992,0.829,9893,10015,行业，医药,0.55%,银华基金,2020-04-10,CS创新药指数,45679.8,10024,8847,8690,5240,10000,77.31
证券保险ETF,512070,0.721,10000,9979,行业，金融,0.60%,易方达基金,2014-07-18,300非银指数,55587.36,11354,11800,12649,8495,13502,52.7
智能汽车ETF,515250,0.925,10143,10010,主题，智能汽车,0.60%,富国基金,2021-01-08,CS智汽车指数,10518.42,10232,11889,9204,10000,10000,7.42
纳斯达克ETF,513300,1.406,10079,10000,跨境，美国,0.80%,华夏基金,2020-11-05,纳斯达克100指数,25145.08,10064,13990,12793,10000,10000,19.96
中证500ETF,510500,6.241,10066,10004,宽基，中小盘,0.60%,南方基金,2013-03-15,中证500指数,124143.54,10191,10601,10189,9663,13655,483.95
芯片ETF,512760,1.008,9951,10002,行业，半导体，芯片,0.60%,国泰基金,2019-06-12,中华半导体人民币指数,43736.04,9882,10792,9089,7545,10000,195.06
十年国债ETF,511260,122.715,10000,10000,债券，国债，利率债,0.40%,国泰基金,2017-08-24,10年国债指数,43395.16,10042,10283,10309,11111,11879,5.88
中韩半导体ETF,513310,1.208,9902,10000,跨境，韩国,0.95%,华泰柏瑞基金,2022-12-22,中韩半导体指数,4547.65,10050,12583,10000,10000,10000,1.06
中概互联ETF,159605,0.849,10083,10000,跨境，中概股,0.60%,广发基金,2021-12-02,中国互联网30人民币指数,155155.6,10997,10560,11396,10000,10000,60.64
中证红利ETF,515080,1.517,9954,10013,策略，红利,0.30%,招商基金,2019-12-27,中证红利指数,12868.36,10477,11200,11614,14539,10000,24.1
红利ETF,510880,3.076,9964,9994,策略，红利,0.60%,华泰柏瑞基金,2007-01-18,红利指数,29324.78,10346,11279,11463,12786,14372,159.31
国债ETF,511010,131.927,10003,10000,债券，国债，利率债,0.40%,国泰基金,2013-03-25,5年国债指数,39079.71,10026,10219,10240,10844,11583,12.94
5GETF,515050,1.047,10195,10015,主题，新兴产业，5G,0.60%,华夏基金,2019-10-16,5G通信指数,7175.71,9785,13253,11493,7522,10000,80.87
软件ETF,515230,0.975,10220,10009,主题，新兴产业，软件,0.60%,国泰基金,2021-03-02,软件指数,12872.71,9868,12420,12983,10000,10000,14.29
家电ETF,159996,1.157,10017,9992,行业，家电,0.60%,国泰基金,2020-03-16,家用电器指数,13145.37,9864,11501,10743,9407,10000,30.31
新能车ETF,515700,2.029,10084,9984,主题，新兴产业，新能源车,0.20%,平安基金,2020-02-10,新能源车指数,17992.46,10000,9316,7149,14767,10000,55.21
教育ETF,513360,0.598,10050,10000,跨境，教育,0.65%,博时基金,2021-06-17,中国教育人民币指数,11496.44,10993,11347,14950,10000,10000,3.66
